EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SKATTUNGBYN (STAID: 6501).
Blended and updated with sources: 139574 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139574,19790101,    0,    0
139574,19790102,    3,    0
139574,19790103,    0,    0
139574,19790104,    1,    0
139574,19790105,    2,    0
139574,19790106,   10,    0
139574,19790107,   14,    0
139574,19790108,    0,    0
139574,19790109,    1,    0
139574,19790110,    0,    0
139574,19790111,    7,    0
139574,19790112,   41,    0
139574,19790113,   41,    0
139574,19790114,   30,    0
139574,19790115,    0,    0
139574,19790116,    0,    0
139574,19790117,    0,    0
139574,19790118,    0,    0
139574,19790119,    0,    0
139574,19790120,    3,    0
139574,19790121,    2,    0
139574,19790122,   29,    0
139574,19790123,   37,    0
139574,19790124,   14,    0
139574,19790125,    7,    0
139574,19790126,   19,    0
139574,19790127,    0,    0
139574,19790128,    5,    0
139574,19790129,    1,    0
139574,19790130,    1,    0
139574,19790131,   15,    0
139574,19790201,   30,    0
139574,19790202,    5,    0
139574,19790203,   51,    0
139574,19790204,    0,    0
139574,19790205,    0,    0
139574,19790206,    0,    0
139574,19790207,   16,    0
139574,19790208,    0,    0
139574,19790209,    1,    0
139574,19790210,    0,    0
139574,19790211,    0,    0
139574,19790212,    5,    0
139574,19790213,    1,    0
139574,19790214,    0,    0
139574,19790215,    0,    0
139574,19790216,    0,    0
139574,19790217,    0,    0
139574,19790218,    0,    0
139574,19790219,   60,    0
