EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, ALVDALEN (STAID: 6504).
Blended and updated with sources: 139580 139582 139584 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139584,19790101,    0,    0
139584,19790102,    1,    0
139584,19790103,    0,    0
139584,19790104,    1,    0
139584,19790105,    0,    0
139584,19790106,    6,    0
139584,19790107,    8,    0
139584,19790108,    0,    0
139584,19790109,    0,    0
139584,19790110,    0,    0
139584,19790111,   18,    0
139584,19790112,   33,    0
139584,19790113,   11,    0
139584,19790114,    0,    0
139584,19790115,    0,    0
139584,19790116,    0,    0
139584,19790117,    0,    0
139584,19790118,    0,    0
139584,19790119,    0,    0
139584,19790120,    0,    0
139584,19790121,    2,    0
139584,19790122,    7,    0
139584,19790123,   32,    0
139584,19790124,    9,    0
139584,19790125,    5,    0
139584,19790126,   16,    0
139584,19790127,    2,    0
139584,19790128,    0,    0
139584,19790129,    0,    0
139584,19790130,    0,    0
139584,19790131,    3,    0
139584,19790201,   37,    0
139584,19790202,   14,    0
139584,19790203,   19,    0
139584,19790204,    0,    0
139584,19790205,    0,    0
139584,19790206,    0,    0
139584,19790207,    6,    0
139584,19790208,    0,    0
139584,19790209,    0,    0
139584,19790210,    0,    0
139584,19790211,    0,    0
139584,19790212,    4,    0
139584,19790213,    0,    0
139584,19790214,    0,    0
139584,19790215,    0,    0
139584,19790216,    0,    0
139584,19790217,    0,    0
139584,19790218,    0,    0
139584,19790219,   22,    0
139584,19790220,    0,    0
139584,19790221,    0,    0
139584,19790222,    7,    0
139584,19790223,    0,    0
139584,19790224,    0,    0
139584,19790225,    0,    0
139584,19790226,    0,    0
139584,19790227,    4,    0
139584,19790228,    0,    0
139584,19790301,    6,    0
139584,19790302,    4,    0
139584,19790303,    0,    0
139584,19790304,    0,    0
139584,19790305,    0,    0
139584,19790306,    0,    0
139584,19790307,   25,    0
139584,19790308,    9,    0
139584,19790309,   96,    0
139584,19790310,   54,    0
139584,19790311,   13,    0
139584,19790312,    6,    0
139584,19790313,    0,    0
139584,19790314,    0,    0
