EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, AKROKEN (STAID: 6609).
Blended and updated with sources: 139918 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139918,19790101,    0,    0
139918,19790102,    0,    0
139918,19790103,    0,    0
139918,19790104,    0,    0
139918,19790105,    1,    0
139918,19790106,    0,    0
139918,19790107,    2,    0
139918,19790108,    0,    0
139918,19790109,    0,    0
139918,19790110,    3,    0
139918,19790111,    1,    0
139918,19790112,   56,    0
139918,19790113,    2,    0
139918,19790114,    5,    0
139918,19790115,   19,    0
139918,19790116,    0,    0
139918,19790117,    1,    0
139918,19790118,    0,    0
139918,19790119,    0,    0
139918,19790120,    0,    0
139918,19790121,    0,    0
139918,19790122,    1,    0
139918,19790123,    9,    0
139918,19790124,   28,    0
139918,19790125,   17,    0
139918,19790126,   14,    0
139918,19790127,    8,    0
139918,19790128,    0,    0
139918,19790129,    0,    0
139918,19790130,    0,    0
139918,19790131,   13,    0
139918,19790201,   51,    0
139918,19790202,    2,    0
139918,19790203,    1,    0
139918,19790204,    0,    0
139918,19790205,    9,    0
139918,19790206,    0,    0
139918,19790207,    0,    0
139918,19790208,    0,    0
139918,19790209,    0,    0
139918,19790210,    1,    0
139918,19790211,   21,    0
139918,19790212,   11,    0
139918,19790213,    0,    0
139918,19790214,    0,    0
139918,19790215,    0,    0
139918,19790216,    0,    0
139918,19790217,    0,    0
139918,19790218,    0,    0
139918,19790219,    9,    0
139918,19790220,    0,    0
139918,19790221,    0,    0
139918,19790222,    1,    0
139918,19790223,    0,    0
139918,19790224,    1,    0
139918,19790225,    0,    0
139918,19790226,    0,    0
139918,19790227,   21,    0
139918,19790228,    0,    0
139918,19790301,    0,    0
139918,19790302,    2,    0
139918,19790303,    5,    0
139918,19790304,    0,    0
139918,19790305,    0,    0
139918,19790306,    0,    0
139918,19790307,    8,    0
139918,19790308,    0,    0
139918,19790309,   18,    0
139918,19790310,  104,    0
139918,19790311,   23,    0
139918,19790312,   26,    0
139918,19790313,   39,    0
139918,19790314,   19,    0
139918,19790315,    6,    0
139918,19790316,    5,    0
139918,19790317,    0,    0
139918,19790318,    3,    0
139918,19790319,    0,    0
139918,19790320,    0,    0
139918,19790321,    0,    0
139918,19790322,   35,    0
139918,19790323,   11,    0
139918,19790324,   14,    0
139918,19790325,   11,    0
139918,19790326,   51,    0
139918,19790327,   49,    0
139918,19790328,    5,    0
139918,19790329,    6,    0
139918,19790330,    0,    0
139918,19790331,    0,    0
139918,19790401,   49,    0
139918,19790402,   21,    0
139918,19790403,   29,    0
139918,19790404,    0,    0
139918,19790405,    0,    0
139918,19790406,    0,    0
139918,19790407,    0,    0
139918,19790408,    0,    0
139918,19790409,    1,    0
139918,19790410,    5,    0
139918,19790411,    0,    0
139918,19790412,    0,    0
139918,19790413,   39,    0
139918,19790414,    1,    0
139918,19790415,    0,    0
139918,19790416,    0,    0
139918,19790417,    0,    0
139918,19790418,   31,    0
139918,19790419,    1,    0
139918,19790420,    2,    0
139918,19790421,   25,    0
139918,19790422,   11,    0
139918,19790423,    0,    0
139918,19790424,    0,    0
139918,19790425,   76,    0
139918,19790426,    1,    0
139918,19790427,   13,    0
139918,19790428,    0,    0
139918,19790429,   31,    0
139918,19790430,   56,    0
139918,19790501,    1,    0
139918,19790502,   95,    0
139918,19790503,   88,    0
139918,19790504,    0,    0
139918,19790505,    0,    0
139918,19790506,    0,    0
139918,19790507,    0,    0
139918,19790508,    5,    0
139918,19790509,    0,    0
139918,19790510,    1,    0
139918,19790511,    0,    0
139918,19790512,    0,    0
139918,19790513,    0,    0
139918,19790514,    0,    0
139918,19790515,    0,    0
139918,19790516,   53,    0
139918,19790517,    0,    0
139918,19790518,    0,    0
139918,19790519,   11,    0
139918,19790520,    0,    0
139918,19790521,    7,    0
139918,19790522,    0,    0
139918,19790523,    0,    0
139918,19790524,   11,    0
