EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, MULTRA (STAID: 6626).
Blended and updated with sources: 139978 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139978,19790101,    0,    0
139978,19790102,    0,    0
139978,19790103,    0,    0
139978,19790104,    0,    0
139978,19790105,    0,    0
139978,19790106,    0,    0
139978,19790107,    3,    0
139978,19790108,    0,    0
139978,19790109,    0,    0
139978,19790110,    0,    0
139978,19790111,   25,    0
139978,19790112,   25,    0
139978,19790113,    2,    0
139978,19790114,    0,    0
139978,19790115,   20,    0
139978,19790116,    0,    0
139978,19790117,    0,    0
139978,19790118,    0,    0
139978,19790119,    0,    0
139978,19790120,    0,    0
139978,19790121,    0,    0
139978,19790122,    0,    0
139978,19790123,   21,    0
139978,19790124,   48,    0
139978,19790125,   15,    0
139978,19790126,   12,    0
139978,19790127,    5,    0
139978,19790128,    0,    0
139978,19790129,    0,    0
139978,19790130,    0,    0
139978,19790131,    6,    0
139978,19790201,   58,    0
139978,19790202,    0,    0
139978,19790203,    0,    0
139978,19790204,    5,    0
139978,19790205,   21,    0
139978,19790206,    2,    0
139978,19790207,    0,    0
139978,19790208,   15,    0
139978,19790209,    0,    0
139978,19790210,    1,    0
139978,19790211,    9,    0
139978,19790212,   12,    0
139978,19790213,    0,    0
139978,19790214,    0,    0
139978,19790215,    0,    0
139978,19790216,    0,    0
139978,19790217,    0,    0
139978,19790218,    0,    0
139978,19790219,    6,    0
139978,19790220,    0,    0
139978,19790221,    0,    0
139978,19790222,    0,    0
139978,19790223,    0,    0
139978,19790224,    0,    0
139978,19790225,    2,    0
139978,19790226,    0,    0
139978,19790227,   18,    0
139978,19790228,    0,    0
139978,19790301,    0,    0
139978,19790302,    0,    0
139978,19790303,    1,    0
139978,19790304,    0,    0
139978,19790305,    0,    0
139978,19790306,    0,    0
139978,19790307,    0,    0
139978,19790308,    0,    0
139978,19790309,   13,    0
139978,19790310,   75,    0
139978,19790311,   18,    0
139978,19790312,   10,    0
139978,19790313,   27,    0
139978,19790314,    1,    0
139978,19790315,    6,    0
139978,19790316,    0,    0
139978,19790317,    0,    0
139978,19790318,    0,    0
139978,19790319,    0,    0
139978,19790320,    0,    0
139978,19790321,    0,    0
139978,19790322,   38,    0
139978,19790323,    5,    0
139978,19790324,   18,    0
139978,19790325,   15,    0
139978,19790326,   24,    0
139978,19790327,   37,    0
139978,19790328,    2,    0
139978,19790329,    4,    0
139978,19790330,    0,    0
139978,19790331,    0,    0
139978,19790401,   24,    0
139978,19790402,    6,    0
139978,19790403,    2,    0
139978,19790404,    0,    0
139978,19790405,    0,    0
139978,19790406,    0,    0
139978,19790407,    0,    0
139978,19790408,    0,    0
139978,19790409,   10,    0
139978,19790410,    8,    0
139978,19790411,    0,    0
139978,19790412,    0,    0
139978,19790413,    5,    0
139978,19790414,    0,    0
139978,19790415,    0,    0
139978,19790416,    0,    0
139978,19790417,    0,    0
139978,19790418,   26,    0
139978,19790419,    5,    0
139978,19790420,    0,    0
139978,19790421,   28,    0
139978,19790422,   13,    0
139978,19790423,    0,    0
139978,19790424,    0,    0
139978,19790425,   54,    0
139978,19790426,    2,    0
139978,19790427,  113,    0
139978,19790428,    0,    0
139978,19790429,   30,    0
139978,19790430,   43,    0
139978,19790501,    0,    0
139978,19790502,   95,    0
139978,19790503,   88,    0
139978,19790504,    0,    0
139978,19790505,    0,    0
139978,19790506,    0,    0
139978,19790507,    0,    0
139978,19790508,    0,    0
139978,19790509,    0,    0
139978,19790510,    0,    0
139978,19790511,    0,    0
139978,19790512,    0,    0
139978,19790513,    5,    0
139978,19790514,    0,    0
139978,19790515,    0,    0
139978,19790516,   39,    0
139978,19790517,   20,    0
139978,19790518,    0,    0
139978,19790519,    2,    0
139978,19790520,    0,    0
139978,19790521,   21,    0
139978,19790522,    2,    0
139978,19790523,    0,    0
139978,19790524,   11,    0
139978,19790525,    8,    0
139978,19790526,    8,    0
139978,19790527,    0,    0
139978,19790528,   49,    0
139978,19790529,    3,    0
139978,19790530,    0,    0
139978,19790531,    0,    0
139978,19790601,    0,    0
139978,19790602,    0,    0
139978,19790603,    0,    0
139978,19790604,    0,    0
139978,19790605,    0,    0
139978,19790606,    0,    0
139978,19790607,    0,    0
139978,19790608,  130,    0
139978,19790609,    2,    0
139978,19790610,    0,    0
139978,19790611,    0,    0
139978,19790612,    0,    0
139978,19790613,    5,    0
139978,19790614,    0,    0
139978,19790615,    0,    0
139978,19790616,   22,    0
139978,19790617,   10,    0
139978,19790618,    0,    0
139978,19790619,    0,    0
139978,19790620,    0,    0
139978,19790621,    0,    0
139978,19790622,    0,    0
139978,19790623,    0,    0
139978,19790624,    0,    0
139978,19790625,    6,    0
139978,19790626,    0,    0
139978,19790627,   30,    0
139978,19790628,   38,    0
139978,19790629,   29,    0
139978,19790630,    0,    0
139978,19790701,    0,    0
139978,19790702,   29,    0
139978,19790703,   36,    0
139978,19790704,    0,    0
139978,19790705,   29,    0
139978,19790706,   15,    0
139978,19790707,  138,    0
139978,19790708,   78,    0
139978,19790709,   35,    0
139978,19790710,   34,    0
139978,19790711,   33,    0
139978,19790712,   25,    0
139978,19790713,    1,    0
139978,19790714,  161,    0
139978,19790715,   17,    0
139978,19790716,   13,    0
139978,19790717,    0,    0
139978,19790718,    0,    0
139978,19790719,    0,    0
139978,19790720,   60,    0
139978,19790721,   66,    0
139978,19790722,   39,    0
139978,19790723,  114,    0
139978,19790724,  120,    0
139978,19790725,   19,    0
139978,19790726,    0,    0
139978,19790727,  118,    0
139978,19790728,   14,    0
139978,19790729,    0,    0
139978,19790730,    0,    0
139978,19790731,   26,    0
139978,19790801,    1,    0
139978,19790802,    0,    0
139978,19790803,    0,    0
139978,19790804,    0,    0
139978,19790805,    0,    0
139978,19790806,    0,    0
139978,19790807,    0,    0
139978,19790808,    0,    0
139978,19790809,  102,    0
139978,19790810,    0,    0
139978,19790811,  280,    0
139978,19790812,    0,    0
139978,19790813,    0,    0
139978,19790814,    0,    0
139978,19790815,   23,    0
139978,19790816,    0,    0
139978,19790817,    0,    0
139978,19790818,    0,    0
139978,19790819,    0,    0
139978,19790820,    1,    0
139978,19790821,    0,    0
139978,19790822,   83,    0
139978,19790823,    2,    0
139978,19790824,    0,    0
139978,19790825,    0,    0
139978,19790826,   85,    0
139978,19790827,  379,    0
139978,19790828,   60,    0
139978,19790829,    0,    0
139978,19790830,    1,    0
139978,19790831,    0,    0
139978,19790901,    0,    0
139978,19790902,    0,    0
139978,19790903,   49,    0
139978,19790904,    2,    0
139978,19790905,    0,    0
139978,19790906,    0,    0
139978,19790907,    0,    0
139978,19790908,   53,    0
139978,19790909,    0,    0
139978,19790910,   11,    0
139978,19790911,   97,    0
139978,19790912,    1,    0
139978,19790913,  160,    0
139978,19790914,    0,    0
139978,19790915,    0,    0
139978,19790916,    0,    0
139978,19790917,    0,    0
139978,19790918,    2,    0
139978,19790919,    0,    0
139978,19790920,    4,    0
139978,19790921,   74,    0
139978,19790922,    2,    0
139978,19790923,    0,    0
139978,19790924,    0,    0
139978,19790925,    1,    0
139978,19790926,    5,    0
139978,19790927,    0,    0
139978,19790928,    1,    0
139978,19790929,    0,    0
139978,19790930,   10,    0
139978,19791001,    0,    0
139978,19791002,    0,    0
139978,19791003,    2,    0
139978,19791004,    0,    0
139978,19791005,    0,    0
139978,19791006,    0,    0
139978,19791007,    0,    0
139978,19791008,    0,    0
139978,19791009,   39,    0
139978,19791010,   25,    0
139978,19791011,  215,    0
139978,19791012,    1,    0
139978,19791013,    1,    0
139978,19791014,   67,    0
139978,19791015,   73,    0
139978,19791016,  218,    0
139978,19791017,    3,    0
139978,19791018,    1,    0
139978,19791019,    0,    0
139978,19791020,    3,    0
139978,19791021,    0,    0
139978,19791022,    0,    0
139978,19791023,    0,    0
139978,19791024,    0,    0
139978,19791025,    0,    0
139978,19791026,    0,    0
139978,19791027,    9,    0
139978,19791028,   12,    0
139978,19791029,   19,    0
139978,19791030,   17,    0
139978,19791031,    3,    0
139978,19791101,    1,    0
139978,19791102,    1,    0
139978,19791103,  102,    0
139978,19791104,   47,    0
139978,19791105,    0,    0
139978,19791106,   82,    0
139978,19791107,   46,    0
139978,19791108,    0,    0
139978,19791109,    0,    0
139978,19791110,    0,    0
139978,19791111,   10,    0
139978,19791112,   43,    0
139978,19791113,   75,    0
139978,19791114,   70,    0
139978,19791115,    0,    0
139978,19791116,   25,    0
139978,19791117,    0,    0
139978,19791118,    0,    0
139978,19791119,  121,    0
139978,19791120,    0,    0
139978,19791121,    1,    0
139978,19791122,    1,    0
139978,19791123,    0,    0
139978,19791124,    0,    0
139978,19791125,    0,    0
139978,19791126,   29,    0
139978,19791127,    0,    0
139978,19791128,   10,    0
139978,19791129,  153,    0
139978,19791130,    0,    0
139978,19791201,    1,    0
139978,19791202,    0,    0
139978,19791203,    0,    0
139978,19791204,   14,    0
139978,19791205,    0,    0
139978,19791206,  130,    0
139978,19791207,   61,    0
139978,19791208,    0,    0
139978,19791209,    0,    0
139978,19791210,    0,    0
139978,19791211,    0,    0
139978,19791212,    0,    0
139978,19791213,    0,    0
139978,19791214,   11,    0
139978,19791215,   24,    0
139978,19791216,    2,    0
139978,19791217,   12,    0
139978,19791218,    0,    0
139978,19791219,    0,    0
139978,19791220,    0,    0
139978,19791221,    0,    0
139978,19791222,    0,    0
139978,19791223,   65,    0
139978,19791224,    0,    0
139978,19791225,   41,    0
139978,19791226,   26,    0
139978,19791227,   29,    0
139978,19791228,    1,    0
139978,19791229,   71,    0
139978,19791230,    6,    0
139978,19791231,   26,    0
139978,19800101,    7,    0
139978,19800102,    0,    0
139978,19800103,    0,    0
139978,19800104,    1,    0
139978,19800105,    0,    0
139978,19800106,   14,    0
139978,19800107,    0,    0
139978,19800108,    1,    0
139978,19800109,    4,    0
139978,19800110,    0,    0
139978,19800111,    0,    0
139978,19800112,   25,    0
139978,19800113,    0,    0
139978,19800114,    0,    0
139978,19800115,    0,    0
139978,19800116,    0,    0
139978,19800117,    0,    0
139978,19800118,    0,    0
139978,19800119,    0,    0
139978,19800120,    0,    0
139978,19800121,    0,    0
139978,19800122,    5,    0
139978,19800123,    0,    0
139978,19800124,    7,    0
139978,19800125,    0,    0
139978,19800126,    8,    0
139978,19800127,    0,    0
139978,19800128,    0,    0
139978,19800129,    0,    0
139978,19800130,   16,    0
139978,19800131,    1,    0
139978,19800201,    0,    0
139978,19800202,    0,    0
139978,19800203,    0,    0
139978,19800204,    0,    0
139978,19800205,    0,    0
139978,19800206,   12,    0
139978,19800207,    1,    0
139978,19800208,    0,    0
139978,19800209,    0,    0
139978,19800210,    0,    0
139978,19800211,    1,    0
139978,19800212,    0,    0
139978,19800213,    0,    0
139978,19800214,    0,    0
139978,19800215,   48,    0
139978,19800216,    0,    0
139978,19800217,    0,    0
139978,19800218,    0,    0
139978,19800219,    0,    0
139978,19800220,    0,    0
139978,19800221,    0,    0
139978,19800222,    0,    0
139978,19800223,    0,    0
139978,19800224,    0,    0
139978,19800225,    0,    0
139978,19800226,    0,    0
