EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, LITSNASET (STAID: 6635).
Blended and updated with sources: 140010 140018 140040 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140040,19790101,    0,    0
140040,19790102,    0,    0
140040,19790103,    0,    0
140040,19790104,    0,    0
140040,19790105,    0,    0
140040,19790106,    0,    0
140040,19790107,    0,    0
140040,19790108,    0,    0
140040,19790109,    0,    0
140040,19790110,    0,    0
140040,19790111,    0,    0
140040,19790112,   71,    0
140040,19790113,   29,    0
140040,19790114,    4,    0
140040,19790115,    0,    0
140040,19790116,    0,    0
140040,19790117,    0,    0
140040,19790118,    0,    0
140040,19790119,    0,    0
140040,19790120,    0,    0
140040,19790121,   15,    0
140040,19790122,    0,    0
140040,19790123,   13,    0
140040,19790124,   22,    0
140040,19790125,    0,    0
140040,19790126,    0,    0
140040,19790127,    0,    0
140040,19790128,   17,    0
140040,19790129,    0,    0
140040,19790130,    0,    0
140040,19790131,   48,    0
140040,19790201,   27,    0
140040,19790202,   24,    0
140040,19790203,    5,    0
140040,19790204,    0,    0
140040,19790205,   13,    0
140040,19790206,    0,    0
140040,19790207,    0,    0
140040,19790208,    0,    0
140040,19790209,    0,    0
140040,19790210,    0,    0
140040,19790211,   12,    0
140040,19790212,    4,    0
140040,19790213,    0,    0
140040,19790214,    0,    0
140040,19790215,    0,    0
140040,19790216,    0,    0
140040,19790217,    0,    0
140040,19790218,    0,    0
140040,19790219,    5,    0
140040,19790220,    0,    0
140040,19790221,    0,    0
140040,19790222,    0,    0
140040,19790223,    5,    0
140040,19790224,    0,    0
140040,19790225,    0,    0
140040,19790226,    0,    0
140040,19790227,   24,    0
140040,19790228,    0,    0
140040,19790301,    0,    0
140040,19790302,   12,    0
140040,19790303,    5,    0
140040,19790304,    0,    0
140040,19790305,   73,    0
140040,19790306,    0,    0
140040,19790307,    5,    0
140040,19790308,    0,    0
140040,19790309,    3,    0
140040,19790310,   49,    0
140040,19790311,    3,    0
140040,19790312,    3,    0
140040,19790313,    1,    0
140040,19790314,    0,    0
140040,19790315,   17,    0
140040,19790316,    0,    0
140040,19790317,    0,    0
140040,19790318,    4,    0
140040,19790319,   17,    0
140040,19790320,    0,    0
140040,19790321,    0,    0
140040,19790322,   45,    0
140040,19790323,   36,    0
140040,19790324,    0,    0
140040,19790325,    0,    0
140040,19790326,    5,    0
140040,19790327,   24,    0
140040,19790328,    0,    0
140040,19790329,    0,    0
140040,19790330,    0,    0
140040,19790331,    0,    0
140040,19790401,   55,    0
140040,19790402,    8,    0
140040,19790403,    0,    0
140040,19790404,    0,    0
140040,19790405,    0,    0
140040,19790406,    0,    0
140040,19790407,    0,    0
140040,19790408,    0,    0
140040,19790409,    0,    0
140040,19790410,    0,    0
140040,19790411,    0,    0
140040,19790412,    0,    0
140040,19790413,   27,    0
140040,19790414,    0,    0
140040,19790415,    0,    0
140040,19790416,    0,    0
140040,19790417,   10,    0
140040,19790418,   53,    0
140040,19790419,    0,    0
140040,19790420,   31,    0
140040,19790421,   12,    0
140040,19790422,    5,    0
140040,19790423,   34,    0
140040,19790424,   15,    0
140040,19790425,   93,    0
140040,19790426,   12,    0
140040,19790427,    0,    0
140040,19790428,    0,    0
140040,19790429,   85,    0
140040,19790430,    0,    0
140040,19790501,    0,    0
140040,19790502,   62,    0
140040,19790503,   77,    0
140040,19790504,    0,    0
140040,19790505,    0,    0
140040,19790506,    0,    0
140040,19790507,    0,    0
140040,19790508,   21,    0
140040,19790509,    0,    0
140040,19790510,    0,    0
140040,19790511,    0,    0
140040,19790512,    0,    0
140040,19790513,   21,    0
140040,19790514,    4,    0
140040,19790515,    0,    0
140040,19790516,    5,    0
140040,19790517,    5,    0
140040,19790518,   32,    0
140040,19790519,   62,    0
140040,19790520,    0,    0
140040,19790521,    0,    0
140040,19790522,   16,    0
140040,19790523,   24,    0
140040,19790524,   16,    0
140040,19790525,   36,    0
140040,19790526,    1,    0
140040,19790527,   15,    0
140040,19790528,  106,    0
140040,19790529,    8,    0
140040,19790530,    0,    0
140040,19790531,    0,    0
140040,19790601,    9,    0
140040,19790602,    0,    0
140040,19790603,    0,    0
140040,19790604,    0,    0
140040,19790605,    0,    0
140040,19790606,    0,    0
140040,19790607,   14,    0
140040,19790608,  109,    0
140040,19790609,    0,    0
140040,19790610,    0,    0
140040,19790611,    0,    0
140040,19790612,    0,    0
140040,19790613,    0,    0
140040,19790614,   26,    0
140040,19790615,   20,    0
140040,19790616,   81,    0
140040,19790617,   19,    0
140040,19790618,    0,    0
140040,19790619,   26,    0
140040,19790620,    0,    0
140040,19790621,    0,    0
140040,19790622,    0,    0
140040,19790623,    0,    0
140040,19790624,    0,    0
140040,19790625,   33,    0
140040,19790626,   10,    0
140040,19790627,   21,    0
140040,19790628,   22,    0
140040,19790629,  180,    0
140040,19790630,   11,    0
140040,19790701,    0,    0
140040,19790702,    9,    0
140040,19790703,    0,    0
140040,19790704,    0,    0
140040,19790705,    0,    0
140040,19790706,    0,    0
140040,19790707,  111,    0
140040,19790708,  160,    0
140040,19790709,   67,    0
140040,19790710,    0,    0
140040,19790711,   19,    0
140040,19790712,   22,    0
140040,19790713,    6,    0
140040,19790714,  260,    0
140040,19790715,  300,    0
140040,19790716,    4,    0
140040,19790717,    0,    0
140040,19790718,   86,    0
140040,19790719,   85,    0
140040,19790720,  131,    0
140040,19790721,  147,    0
140040,19790722,   17,    0
140040,19790723,   68,    0
140040,19790724,   85,    0
140040,19790725,   87,    0
140040,19790726,    3,    0
140040,19790727,   10,    0
140040,19790728,    0,    0
140040,19790729,    0,    0
140040,19790730,   55,    0
140040,19790731,    6,    0
140040,19790801,    0,    0
140040,19790802,    0,    0
140040,19790803,    0,    0
140040,19790804,    0,    0
140040,19790805,    0,    0
140040,19790806,    0,    0
140040,19790807,    0,    0
140040,19790808,    0,    0
140040,19790809,   47,    0
140040,19790810,    0,    0
140040,19790811,   54,    0
140040,19790812,    0,    0
140040,19790813,    0,    0
140040,19790814,    0,    0
140040,19790815,    0,    0
140040,19790816,   24,    0
140040,19790817,    0,    0
140040,19790818,    0,    0
140040,19790819,    0,    0
140040,19790820,    0,    0
140040,19790821,    0,    0
140040,19790822,   16,    0
140040,19790823,   13,    0
140040,19790824,   38,    0
140040,19790825,  225,    0
140040,19790826,    0,    0
140040,19790827,    0,    0
140040,19790828,    0,    0
140040,19790829,   10,    0
140040,19790830,    0,    0
140040,19790831,    0,    0
140040,19790901,    0,    0
140040,19790902,    0,    0
140040,19790903,  118,    0
140040,19790904,   75,    0
140040,19790905,    0,    0
140040,19790906,    0,    0
140040,19790907,    0,    0
140040,19790908,   76,    0
140040,19790909,    5,    0
140040,19790910,   72,    0
140040,19790911,   68,    0
140040,19790912,   66,    0
140040,19790913,   28,    0
140040,19790914,    0,    0
140040,19790915,    0,    0
140040,19790916,    0,    0
140040,19790917,    0,    0
140040,19790918,   33,    0
140040,19790919,    0,    0
140040,19790920,   54,    0
140040,19790921,   40,    0
140040,19790922,    0,    0
140040,19790923,    0,    0
140040,19790924,    0,    0
140040,19790925,   53,    0
140040,19790926,   35,    0
140040,19790927,    7,    0
140040,19790928,   28,    0
140040,19790929,    0,    0
140040,19790930,    0,    0
140040,19791001,    0,    0
140040,19791002,    0,    0
140040,19791003,  118,    0
140040,19791004,   75,    0
140040,19791005,    0,    0
140040,19791006,    0,    0
140040,19791007,    0,    0
140040,19791008,   76,    0
140040,19791009,    5,    0
140040,19791010,   72,    0
140040,19791011,   68,    0
140040,19791012,   66,    0
140040,19791013,   28,    0
140040,19791014,   74,    0
140040,19791015,   29,    0
140040,19791016,   76,    0
140040,19791017,    0,    0
140040,19791018,    0,    0
140040,19791019,   33,    0
140040,19791020,   54,    0
140040,19791021,   40,    0
140040,19791022,    0,    0
140040,19791023,    0,    0
140040,19791024,    0,    0
140040,19791025,   53,    0
140040,19791026,   35,    0
140040,19791027,    7,    0
140040,19791028,   28,    0
140040,19791029,    0,    0
140040,19791030,    0,    0
140040,19791031,    0,    0
140040,19791101,    0,    0
140040,19791102,    0,    0
140040,19791103,  125,    0
140040,19791104,    0,    0
140040,19791105,    0,    0
140040,19791106,   34,    0
140040,19791107,   72,    0
140040,19791108,    0,    0
140040,19791109,    0,    0
140040,19791110,    0,    0
140040,19791111,    0,    0
140040,19791112,   93,    0
140040,19791113,   46,    0
140040,19791114,    9,    0
140040,19791115,    0,    0
140040,19791116,  119,    0
140040,19791117,    5,    0
140040,19791118,    0,    0
140040,19791119,   18,    0
140040,19791120,    0,    0
140040,19791121,   45,    0
140040,19791122,    4,    0
140040,19791123,    0,    0
140040,19791124,    0,    0
140040,19791125,    0,    0
140040,19791126,   23,    0
140040,19791127,    0,    0
140040,19791128,   36,    0
140040,19791129,   47,    0
140040,19791130,    0,    0
140040,19791201,   29,    0
140040,19791202,    0,    0
140040,19791203,    0,    0
140040,19791204,    0,    0
140040,19791205,   34,    0
140040,19791206,    0,    0
140040,19791207,    0,    0
140040,19791208,    0,    0
140040,19791209,    0,    0
140040,19791210,    0,    0
140040,19791211,    0,    0
140040,19791212,    0,    0
140040,19791213,    0,    0
140040,19791214,    2,    0
140040,19791215,   10,    0
140040,19791216,   16,    0
140040,19791217,   15,    0
140040,19791218,    0,    0
140040,19791219,   11,    0
140040,19791220,    0,    0
140040,19791221,    0,    0
140040,19791222,    0,    0
140040,19791223,   42,    0
140040,19791224,    0,    0
140040,19791225,    9,    0
140040,19791226,   11,    0
140040,19791227,    0,    0
140040,19791228,    0,    0
140040,19791229,   56,    0
140040,19791230,    0,    0
140040,19791231,   25,    0
140040,19800101,    0,    0
140040,19800102,    0,    0
140040,19800103,    0,    0
140040,19800104,    0,    0
140040,19800105,    0,    0
140040,19800106,    0,    0
140040,19800107,    0,    0
140040,19800108,    0,    0
140040,19800109,    0,    0
140040,19800110,    0,    0
140040,19800111,   10,    0
140040,19800112,    0,    0
140040,19800113,    0,    0
140040,19800114,    0,    0
140040,19800115,   31,    0
140040,19800116,    3,    0
140040,19800117,    4,    0
140040,19800118,    0,    0
140040,19800119,    0,    0
140040,19800120,    0,    0
140040,19800121,    0,    0
140040,19800122,    5,    0
140040,19800123,   22,    0
140040,19800124,    0,    0
