EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, VALSJON (STAID: 6716).
Blended and updated with sources: 140246 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140246,19790101,    0,    0
140246,19790102,    5,    0
140246,19790103,    0,    0
140246,19790104,    0,    0
140246,19790105,    0,    0
140246,19790106,   16,    0
140246,19790107,   35,    0
140246,19790108,    6,    0
140246,19790109,    0,    0
140246,19790110,    0,    0
140246,19790111,   13,    0
140246,19790112,   14,    0
140246,19790113,   26,    0
140246,19790114,    6,    0
140246,19790115,    2,    0
140246,19790116,    0,    0
140246,19790117,    7,    0
140246,19790118,    0,    0
140246,19790119,    0,    0
140246,19790120,    0,    0
140246,19790121,    9,    0
140246,19790122,   24,    0
140246,19790123,   19,    0
140246,19790124,    9,    0
140246,19790125,    5,    0
140246,19790126,    0,    0
140246,19790127,    0,    0
140246,19790128,    5,    0
140246,19790129,    0,    0
140246,19790130,    7,    0
140246,19790131,   18,    0
140246,19790201,   41,    0
140246,19790202,   38,    0
140246,19790203,    2,    0
140246,19790204,    1,    0
140246,19790205,   19,    0
140246,19790206,   13,    0
140246,19790207,    0,    0
140246,19790208,   19,    0
140246,19790209,    5,    0
140246,19790210,    2,    0
140246,19790211,   11,    0
140246,19790212,    2,    0
140246,19790213,    0,    0
140246,19790214,    0,    0
140246,19790215,    5,    0
140246,19790216,    0,    0
140246,19790217,    0,    0
140246,19790218,    0,    0
140246,19790219,    9,    0
140246,19790220,    0,    0
140246,19790221,    0,    0
140246,19790222,    2,    0
140246,19790223,   12,    0
140246,19790224,    5,    0
140246,19790225,    1,    0
140246,19790226,    8,    0
140246,19790227,   10,    0
140246,19790228,    0,    0
140246,19790301,    0,    0
140246,19790302,    9,    0
140246,19790303,   24,    0
140246,19790304,   12,    0
140246,19790305,    5,    0
140246,19790306,    8,    0
140246,19790307,   18,    0
140246,19790308,    0,    0
140246,19790309,   23,    0
140246,19790310,   48,    0
140246,19790311,   31,    0
140246,19790312,   12,    0
140246,19790313,    0,    0
140246,19790314,    2,    0
140246,19790315,    8,    0
140246,19790316,    2,    0
140246,19790317,    0,    0
140246,19790318,    9,    0
140246,19790319,   41,    0
140246,19790320,    0,    0
140246,19790321,    0,    0
140246,19790322,   18,    0
140246,19790323,   20,    0
140246,19790324,    0,    0
140246,19790325,   12,    0
140246,19790326,   67,    0
140246,19790327,   39,    0
140246,19790328,    7,    0
140246,19790329,    0,    0
140246,19790330,    0,    0
140246,19790331,    0,    0
140246,19790401,    6,    0
140246,19790402,    0,    0
140246,19790403,    0,    0
140246,19790404,    0,    0
140246,19790405,    0,    0
140246,19790406,    0,    0
140246,19790407,   10,    0
