EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, LEIPIKVATTNET (STAID: 6772).
Blended and updated with sources: 140410 140430 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140430,19790101,    0,    0
140430,19790102,    0,    0
140430,19790103,    0,    0
140430,19790104,    0,    0
140430,19790105,    0,    0
140430,19790106,   50,    0
140430,19790107,  167,    0
140430,19790108,   68,    0
140430,19790109,    8,    0
140430,19790110,    0,    0
140430,19790111,    6,    0
140430,19790112,    0,    0
140430,19790113,    0,    0
140430,19790114,    0,    0
140430,19790115,    0,    0
140430,19790116,    0,    0
140430,19790117,    0,    0
140430,19790118,    0,    0
140430,19790119,   13,    0
140430,19790120,    0,    0
140430,19790121,   13,    0
140430,19790122,   31,    0
140430,19790123,   15,    0
140430,19790124,    0,    0
140430,19790125,    0,    0
140430,19790126,    0,    0
140430,19790127,    0,    0
140430,19790128,   17,    0
140430,19790129,    0,    0
140430,19790130,    0,    0
140430,19790131,    0,    0
140430,19790201,   24,    0
140430,19790202,    6,    0
140430,19790203,    0,    0
140430,19790204,    7,    0
140430,19790205,   28,    0
140430,19790206,  100,    0
140430,19790207,   67,    0
140430,19790208,   52,    0
140430,19790209,    0,    0
140430,19790210,   13,    0
140430,19790211,    5,    0
140430,19790212,    0,    0
140430,19790213,    0,    0
140430,19790214,    2,    0
140430,19790215,   27,    0
140430,19790216,   13,    0
140430,19790217,    0,    0
140430,19790218,    0,    0
140430,19790219,    2,    0
140430,19790220,    0,    0
140430,19790221,    0,    0
140430,19790222,    0,    0
140430,19790223,   23,    0
140430,19790224,   30,    0
140430,19790225,   62,    0
140430,19790226,   90,    0
140430,19790227,   46,    0
140430,19790228,    8,    0
140430,19790301,    0,    0
140430,19790302,  113,    0
140430,19790303,   30,    0
140430,19790304,   22,    0
140430,19790305,   45,    0
140430,19790306,   76,    0
140430,19790307,   19,    0
140430,19790308,    0,    0
140430,19790309,    5,    0
140430,19790310,    8,    0
140430,19790311,    3,    0
140430,19790312,    0,    0
140430,19790313,    0,    0
140430,19790314,    0,    0
140430,19790315,    0,    0
140430,19790316,    0,    0
140430,19790317,    0,    0
140430,19790318,   10,    0
140430,19790319,  130,    0
140430,19790320,   35,    0
140430,19790321,    0,    0
140430,19790322,   12,    0
140430,19790323,    5,    0
140430,19790324,    0,    0
140430,19790325,    0,    0
140430,19790326,   60,    0
140430,19790327,    5,    0
140430,19790328,   18,    0
140430,19790329,    0,    0
140430,19790330,    0,    0
140430,19790331,    0,    0
140430,19790401,    0,    0
140430,19790402,    0,    0
140430,19790403,    0,    0
140430,19790404,    0,    0
140430,19790405,    0,    0
140430,19790406,    0,    0
140430,19790407,    3,    0
140430,19790408,    0,    0
140430,19790409,    0,    0
140430,19790410,    0,    0
140430,19790411,   26,    0
140430,19790412,    6,    0
140430,19790413,    0,    0
140430,19790414,    0,    0
140430,19790415,    0,    0
140430,19790416,    0,    0
140430,19790417,    0,    0
140430,19790418,   40,    0
140430,19790419,    0,    0
140430,19790420,    0,    0
140430,19790421,   20,    0
140430,19790422,    0,    0
140430,19790423,    5,    0
140430,19790424,    0,    0
140430,19790425,    0,    0
140430,19790426,    0,    0
140430,19790427,    0,    0
140430,19790428,   90,    0
140430,19790429,   84,    0
140430,19790430,    0,    0
140430,19790501,   25,    0
140430,19790502,    0,    0
140430,19790503,   70,    0
140430,19790504,    0,    0
140430,19790505,    0,    0
140430,19790506,    0,    0
140430,19790507,    0,    0
140430,19790508,   60,    0
140430,19790509,    0,    0
140430,19790510,    0,    0
140430,19790511,    0,    0
140430,19790512,    0,    0
140430,19790513,  220,    0
140430,19790514,  213,    0
140430,19790515,   26,    0
140430,19790516,   20,    0
140430,19790517,   50,    0
140430,19790518,   26,    0
140430,19790519,    0,    0
140430,19790520,    0,    0
140430,19790521,   23,    0
140430,19790522,   86,    0
140430,19790523,    0,    0
140430,19790524,   75,    0
140430,19790525,  115,    0
140430,19790526,    0,    0
140430,19790527,   50,    0
140430,19790528,   95,    0
140430,19790529,    5,    0
140430,19790530,    0,    0
140430,19790531,    0,    0
140430,19790601,   64,    0
140430,19790602,    0,    0
140430,19790603,    0,    0
140430,19790604,    0,    0
140430,19790605,    0,    0
140430,19790606,    0,    0
140430,19790607,    0,    0
