EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, KARUNGI (STAID: 6835).
Blended and updated with sources: 140668 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140668,19790101,    0,    0
140668,19790102,    0,    0
140668,19790103,    0,    0
140668,19790104,    0,    0
140668,19790105,    0,    0
140668,19790106,   41,    0
140668,19790107,   46,    0
140668,19790108,    0,    0
140668,19790109,    0,    0
140668,19790110,    0,    0
140668,19790111,    8,    0
140668,19790112,    0,    0
140668,19790113,  112,    0
140668,19790114,    0,    0
140668,19790115,   26,    0
140668,19790116,    0,    0
140668,19790117,   38,    0
140668,19790118,    0,    0
140668,19790119,    0,    0
140668,19790120,    0,    0
140668,19790121,   10,    0
140668,19790122,    8,    0
140668,19790123,   29,    0
140668,19790124,    0,    0
140668,19790125,   10,    0
140668,19790126,    0,    0
140668,19790127,   24,    0
140668,19790128,    0,    0
140668,19790129,    0,    0
140668,19790130,    0,    0
140668,19790131,    0,    0
140668,19790201,    0,    0
140668,19790202,   10,    0
140668,19790203,    9,    0
140668,19790204,   11,    0
140668,19790205,    0,    0
140668,19790206,   68,    0
140668,19790207,   44,    0
140668,19790208,   17,    0
140668,19790209,    0,    0
140668,19790210,    0,    0
140668,19790211,    0,    0
140668,19790212,    0,    0
140668,19790213,    0,    0
140668,19790214,    0,    0
140668,19790215,    0,    0
140668,19790216,    0,    0
140668,19790217,    0,    0
140668,19790218,    0,    0
140668,19790219,    8,    0
140668,19790220,    7,    0
140668,19790221,    0,    0
140668,19790222,    0,    0
140668,19790223,    0,    0
140668,19790224,   25,    0
140668,19790225,   41,    0
140668,19790226,    0,    0
140668,19790227,    7,    0
140668,19790228,   55,    0
140668,19790301,    0,    0
140668,19790302,    0,    0
140668,19790303,   68,    0
140668,19790304,    0,    0
140668,19790305,    0,    0
140668,19790306,    0,    0
140668,19790307,   21,    0
140668,19790308,   14,    0
140668,19790309,   47,    0
140668,19790310,    0,    0
140668,19790311,   14,    0
140668,19790312,    8,    0
140668,19790313,    0,    0
140668,19790314,    0,    0
140668,19790315,    0,    0
140668,19790316,    0,    0
140668,19790317,    0,    0
140668,19790318,    0,    0
140668,19790319,   22,    0
140668,19790320,    0,    0
140668,19790321,    0,    0
140668,19790322,    0,    0
140668,19790323,    0,    0
140668,19790324,   26,    0
140668,19790325,    0,    0
140668,19790326,   32,    0
140668,19790327,   10,    0
140668,19790328,    0,    0
140668,19790329,    0,    0
140668,19790330,    0,    0
140668,19790331,    0,    0
140668,19790401,    0,    0
140668,19790402,   20,    0
140668,19790403,    0,    0
140668,19790404,    0,    0
140668,19790405,    9,    0
140668,19790406,    0,    0
140668,19790407,    0,    0
140668,19790408,   10,    0
140668,19790409,    0,    0
140668,19790410,    0,    0
140668,19790411,   24,    0
140668,19790412,    0,    0
140668,19790413,    0,    0
140668,19790414,   20,    0
140668,19790415,    0,    0
140668,19790416,    0,    0
140668,19790417,    0,    0
140668,19790418,    0,    0
140668,19790419,    0,    0
140668,19790420,    0,    0
140668,19790421,    0,    0
140668,19790422,    0,    0
140668,19790423,    0,    0
140668,19790424,    0,    0
140668,19790425,   16,    0
140668,19790426,    0,    0
140668,19790427,    0,    0
140668,19790428,   19,    0
140668,19790429,  224,    0
140668,19790430,  150,    0
140668,19790501,    0,    0
140668,19790502,   37,    0
