EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SODERHAMN A (STAID: 11215).
Blended and updated with sources: 139588 139592 171404 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
171404,19790101,    4,    0
171404,19790102,    0,    0
171404,19790103,    0,    0
171404,19790104,   36,    0
171404,19790105,    0,    0
171404,19790106,    0,    0
171404,19790107,    2,    0
171404,19790108,    0,    0
171404,19790109,    0,    0
171404,19790110,    0,    0
171404,19790111,    1,    0
171404,19790112,  172,    0
171404,19790113,   13,    0
171404,19790114,   14,    0
171404,19790115,   10,    0
171404,19790116,    0,    0
171404,19790117,    0,    0
171404,19790118,    0,    0
171404,19790119,    0,    0
171404,19790120,    0,    0
171404,19790121,    0,    0
171404,19790122,    0,    0
171404,19790123,   12,    0
171404,19790124,   75,    0
171404,19790125,   21,    0
171404,19790126,   52,    0
171404,19790127,    5,    0
171404,19790128,    0,    0
171404,19790129,    0,    0
171404,19790130,    1,    0
171404,19790131,  115,    0
171404,19790201,   27,    0
171404,19790202,    5,    0
171404,19790203,   23,    0
171404,19790204,    0,    0
171404,19790205,    0,    0
171404,19790206,    0,    0
171404,19790207,    0,    0
171404,19790208,    0,    0
171404,19790209,    0,    0
171404,19790210,    0,    0
171404,19790211,    0,    0
171404,19790212,    4,    0
171404,19790213,    0,    0
