EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, VELIKI DOLENCI (STAID: 3325).
Blended and updated with sources: 115096 912910 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
115096,19790101,   66,    0
115096,19790102,    0,    0
115096,19790103,    0,    0
115096,19790104,    0,    0
115096,19790105,    0,    0
115096,19790106,    0,    0
115096,19790107,    0,    0
115096,19790108,    0,    0
115096,19790109,  148,    0
115096,19790110,   43,    0
115096,19790111,   78,    0
115096,19790112,    0,    0
115096,19790113,    0,    0
115096,19790114,    0,    0
115096,19790115,    0,    0
115096,19790116,   16,    0
115096,19790117,    4,    0
115096,19790118,    0,    0
115096,19790119,    0,    0
115096,19790120,    0,    0
115096,19790121,    0,    0
115096,19790122,    0,    0
115096,19790123,    0,    0
115096,19790124,   64,    0
115096,19790125,    0,    0
115096,19790126,    0,    0
115096,19790127,    0,    0
115096,19790128,   36,    0
115096,19790129,  125,    0
115096,19790130,    0,    0
115096,19790131,    0,    0
115096,19790201,    0,    0
115096,19790202,    0,    0
115096,19790203,    0,    0
115096,19790204,    0,    0
115096,19790205,    0,    0
115096,19790206,    0,    0
115096,19790207,    0,    0
115096,19790208,    0,    0
115096,19790209,   50,    0
115096,19790210,   76,    0
115096,19790211,   30,    0
115096,19790212,    0,    0
115096,19790213,    1,    0
115096,19790214,   32,    0
115096,19790215,   93,    0
115096,19790216,  123,    0
115096,19790217,   78,    0
115096,19790218,   65,    0
115096,19790219,    3,    0
115096,19790220,    0,    0
115096,19790221,    0,    0
115096,19790222,    0,    0
115096,19790223,    0,    0
115096,19790224,    0,    0
115096,19790225,    1,    0
115096,19790226,    1,    0
115096,19790227,    3,    0
115096,19790228,    3,    0
115096,19790301,    0,    0
115096,19790302,    0,    0
115096,19790303,    0,    0
115096,19790304,    0,    0
115096,19790305,    0,    0
115096,19790306,    0,    0
115096,19790307,   47,    0
115096,19790308,   42,    0
115096,19790309,    0,    0
115096,19790310,    0,    0
115096,19790311,    0,    0
115096,19790312,    4,    0
115096,19790313,    0,    0
115096,19790314,    0,    0
115096,19790315,    0,    0
115096,19790316,   30,    0
115096,19790317,    0,    0
115096,19790318,    0,    0
115096,19790319,    0,    0
115096,19790320,    0,    0
115096,19790321,    0,    0
115096,19790322,  130,    0
115096,19790323,    0,    0
115096,19790324,    3,    0
115096,19790325,    0,    0
115096,19790326,    3,    0
115096,19790327,   30,    0
115096,19790328,    1,    0
115096,19790329,  108,    0
115096,19790330,    0,    0
115096,19790331,    8,    0
115096,19790401,    1,    0
115096,19790402,    0,    0
115096,19790403,    0,    0
115096,19790404,    7,    0
115096,19790405,  116,    0
115096,19790406,   70,    0
115096,19790407,    0,    0
115096,19790408,    0,    0
115096,19790409,    0,    0
115096,19790410,    0,    0
115096,19790411,    0,    0
115096,19790412,    0,    0
115096,19790413,    0,    0
115096,19790414,    0,    0
115096,19790415,    0,    0
115096,19790416,    0,    0
115096,19790417,    3,    0
115096,19790418,    0,    0
115096,19790419,    0,    0
115096,19790420,    0,    0
115096,19790421,    8,    0
115096,19790422,    0,    0
115096,19790423,    0,    0
115096,19790424,   95,    0
115096,19790425,   16,    0
115096,19790426,   64,    0
