EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, MALAGA AEROPUERTO (STAID: 231).
Blended and updated with sources: 100713 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100713,19790101,    0,    0
100713,19790102,    0,    0
100713,19790103,    0,    0
100713,19790104,  115,    0
100713,19790105,   47,    0
100713,19790106,   12,    0
100713,19790107,    0,    0
100713,19790108,    0,    0
100713,19790109,    0,    0
100713,19790110,    0,    0
100713,19790111,    0,    0
100713,19790112,    0,    0
100713,19790113,    0,    0
100713,19790114,    0,    0
100713,19790115,    0,    0
100713,19790116,    0,    0
100713,19790117,  123,    0
100713,19790118, 1215,    0
100713,19790119,  253,    0
100713,19790120,    0,    0
100713,19790121,  190,    0
100713,19790122,    0,    0
100713,19790123,    0,    0
100713,19790124,  218,    0
100713,19790125,   82,    0
100713,19790126,   78,    0
100713,19790127,  328,    0
100713,19790128,    0,    0
100713,19790129,    0,    0
100713,19790130,    0,    0
100713,19790131,    0,    0
100713,19790201,   66,    0
100713,19790202,   77,    0
100713,19790203,    0,    0
100713,19790204,    0,    0
100713,19790205,    0,    0
100713,19790206,    0,    0
100713,19790207,    0,    0
100713,19790208,    0,    0
100713,19790209,    0,    0
100713,19790210,  224,    0
100713,19790211,   10,    0
100713,19790212,  113,    0
100713,19790213,   41,    0
100713,19790214,   84,    0
100713,19790215,    0,    0
100713,19790216,    0,    0
100713,19790217,    0,    0
100713,19790218,    0,    0
100713,19790219,    0,    0
100713,19790220,    0,    0
100713,19790221,   78,    0
100713,19790222,    0,    0
100713,19790223,    0,    0
100713,19790224,    0,    0
100713,19790225,    0,    0
100713,19790226,   17,    0
100713,19790227,    0,    0
100713,19790228,   46,    0
100713,19790301,    2,    0
100713,19790302,    0,    0
100713,19790303,    0,    0
100713,19790304,    0,    0
100713,19790305,    0,    0
100713,19790306,    0,    0
100713,19790307,    0,    0
100713,19790308,    0,    0
100713,19790309,    0,    0
100713,19790310,    0,    0
100713,19790311,    0,    0
100713,19790312,    0,    0
100713,19790313,    0,    0
100713,19790314,   27,    0
100713,19790315,    0,    0
100713,19790316,    0,    0
100713,19790317,  106,    0
100713,19790318,  272,    0
100713,19790319,    0,    0
100713,19790320,  156,    0
100713,19790321,    0,    0
100713,19790322,    0,    0
100713,19790323,    0,    0
100713,19790324,    0,    0
100713,19790325,    0,    0
100713,19790326,    0,    0
