EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, ZARAGOZA AEROPUERTO (STAID: 238).
Blended and updated with sources: 100735 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100735,19790101,    0,    0
100735,19790102,    0,    0
100735,19790103,   79,    0
100735,19790104,    0,    0
100735,19790105,    0,    0
100735,19790106,    0,    0
100735,19790107,   74,    0
100735,19790108,    0,    0
100735,19790109,    0,    0
100735,19790110,    0,    0
100735,19790111,   63,    0
100735,19790112,    4,    0
100735,19790113,    0,    0
100735,19790114,    0,    0
100735,19790115,    0,    0
100735,19790116,    0,    0
100735,19790117,    0,    0
100735,19790118,   80,    0
100735,19790119,   16,    0
100735,19790120,    0,    0
100735,19790121,   96,    0
100735,19790122,    0,    0
100735,19790123,    0,    0
100735,19790124,    0,    0
100735,19790125,    0,    0
100735,19790126,   35,    0
100735,19790127,   21,    0
100735,19790128,    0,    0
100735,19790129,    0,    0
100735,19790130,    0,    0
100735,19790131,    0,    0
100735,19790201,   13,    0
100735,19790202,   22,    0
100735,19790203,    0,    0
100735,19790204,   14,    0
100735,19790205,   36,    0
100735,19790206,   10,    0
100735,19790207,   37,    0
100735,19790208,    4,    0
100735,19790209,    0,    0
100735,19790210,   18,    0
100735,19790211,    0,    0
100735,19790212,    0,    0
100735,19790213,    0,    0
100735,19790214,    5,    0
100735,19790215,    0,    0
100735,19790216,    0,    0
100735,19790217,    0,    0
100735,19790218,    0,    0
100735,19790219,    0,    0
100735,19790220,    0,    0
100735,19790221,    0,    0
100735,19790222,    0,    0
100735,19790223,    0,    0
100735,19790224,    0,    0
100735,19790225,    0,    0
100735,19790226,    0,    0
100735,19790227,    0,    0
100735,19790228,    0,    0
100735,19790301,    0,    0
100735,19790302,    0,    0
100735,19790303,    0,    0
100735,19790304,    0,    0
100735,19790305,    0,    0
100735,19790306,    1,    0
100735,19790307,    0,    0
100735,19790308,    4,    0
100735,19790309,    0,    0
100735,19790310,    0,    0
100735,19790311,    0,    0
100735,19790312,    0,    0
100735,19790313,    0,    0
100735,19790314,    0,    0
100735,19790315,    0,    0
100735,19790316,    0,    0
100735,19790317,    2,    0
100735,19790318,    0,    0
100735,19790319,    0,    0
100735,19790320,    0,    0
100735,19790321,    0,    0
100735,19790322,    4,    0
100735,19790323,    0,    0
100735,19790324,    0,    0
100735,19790325,    0,    0
100735,19790326,    8,    0
100735,19790327,    0,    0
100735,19790328,    3,    0
100735,19790329,    0,    0
100735,19790330,    0,    0
100735,19790331,    0,    0
100735,19790401,    0,    0
100735,19790402,    0,    0
100735,19790403,    0,    0
100735,19790404,   62,    0
100735,19790405,    0,    0
100735,19790406,    0,    0
100735,19790407,    0,    0
100735,19790408,    0,    0
100735,19790409,   53,    0
100735,19790410,    0,    0
100735,19790411,    0,    0
100735,19790412,    0,    0
100735,19790413,    9,    0
100735,19790414,  187,    0
100735,19790415,    0,    0
100735,19790416,    0,    0
100735,19790417,    0,    0
100735,19790418,    0,    0
100735,19790419,    0,    0
100735,19790420,    0,    0
100735,19790421,    4,    0
100735,19790422,    0,    0
100735,19790423,    0,    0
100735,19790424,    0,    0
100735,19790425,    0,    0
100735,19790426,    0,    0
100735,19790427,    0,    0
100735,19790428,    0,    0
100735,19790429,    0,    0
100735,19790430,    0,    0
100735,19790501,    0,    0
100735,19790502,    0,    0
100735,19790503,    0,    0
100735,19790504,    0,    0
100735,19790505,    0,    0
100735,19790506,    0,    0
100735,19790507,   21,    0
100735,19790508,   63,    0
100735,19790509,    0,    0
100735,19790510,    0,    0
100735,19790511,    0,    0
100735,19790512,    0,    0
100735,19790513,    0,    0
100735,19790514,    0,    0
100735,19790515,    0,    0
100735,19790516,    0,    0
100735,19790517,    0,    0
100735,19790518,    7,    0
100735,19790519,    0,    0
100735,19790520,    3,    0
100735,19790521,    0,    0
100735,19790522,    0,    0
100735,19790523,   80,    0
100735,19790524,    0,    0
100735,19790525,    0,    0
100735,19790526,    4,    0
100735,19790527,    0,    0
100735,19790528,    0,    0
100735,19790529,    0,    0
100735,19790530,   66,    0
100735,19790531,  607,    0
100735,19790601,   71,    0
100735,19790602,    0,    0
100735,19790603,   10,    0
100735,19790604,    0,    0
100735,19790605,    0,    0
100735,19790606,    0,    0
100735,19790607,    0,    0
100735,19790608,    0,    0
100735,19790609,    0,    0
100735,19790610,    0,    0
100735,19790611,    0,    0
100735,19790612,    0,    0
