EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, HUESCA (STAID: 419).
Blended and updated with sources: 120161 908094 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
120161,19790101,    0,    0
120161,19790102,    0,    0
120161,19790103,  247,    0
120161,19790104,    0,    0
120161,19790105,    0,    0
120161,19790106,    0,    0
120161,19790107,  244,    0
120161,19790108,   24,    0
120161,19790109,    0,    0
120161,19790110,   50,    0
120161,19790111,  123,    0
120161,19790112,    0,    0
120161,19790113,    0,    0
120161,19790114,    0,    0
120161,19790115,    0,    0
120161,19790116,    0,    0
120161,19790117,    4,    0
120161,19790118,  268,    0
120161,19790119,  158,    0
120161,19790120,    0,    0
120161,19790121,  163,    0
120161,19790122,   38,    0
120161,19790123,    0,    0
120161,19790124,    0,    0
120161,19790125,    0,    0
120161,19790126,  128,    0
120161,19790127,   89,    0
120161,19790128,    0,    0
120161,19790129,   14,    0
120161,19790130,    0,    0
120161,19790131,    0,    0
120161,19790201,    0,    0
120161,19790202,   88,    0
120161,19790203,    7,    0
120161,19790204,  162,    0
120161,19790205,   34,    0
120161,19790206,   28,    0
120161,19790207,   29,    0
120161,19790208,   32,    0
120161,19790209,    6,    0
120161,19790210,   35,    0
120161,19790211,    0,    0
120161,19790212,   12,    0
120161,19790213,   27,    0
120161,19790214,   26,    0
120161,19790215,    0,    0
120161,19790216,    0,    0
120161,19790217,    0,    0
120161,19790218,    0,    0
120161,19790219,    0,    0
120161,19790220,    0,    0
120161,19790221,    0,    0
120161,19790222,    0,    0
120161,19790223,    0,    0
120161,19790224,    0,    0
120161,19790225,    0,    0
120161,19790226,    0,    0
120161,19790227,    0,    0
120161,19790228,    0,    0
120161,19790301,    0,    0
120161,19790302,    0,    0
120161,19790303,    0,    0
120161,19790304,    0,    0
120161,19790305,    0,    0
120161,19790306,    4,    0
120161,19790307,    0,    0
120161,19790308,   44,    0
120161,19790309,    0,    0
120161,19790310,    0,    0
120161,19790311,    0,    0
120161,19790312,    0,    0
120161,19790313,    0,    0
120161,19790314,  136,    0
120161,19790315,    0,    0
