EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, MURCIA/SAN JAVIER (STAID: 1404).
Blended and updated with sources: 120341 908433 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
120341,19790101,   13,    0
120341,19790102,   20,    0
120341,19790103,    0,    0
120341,19790104,    0,    0
120341,19790105,    0,    0
120341,19790106,    0,    0
120341,19790107,    9,    0
120341,19790108,    9,    0
120341,19790109,    0,    0
120341,19790110,    0,    0
120341,19790111,    0,    0
120341,19790112,    0,    0
120341,19790113,    0,    0
120341,19790114,    0,    0
120341,19790115,    0,    0
120341,19790116,    0,    0
120341,19790117,    2,    0
120341,19790118,   27,    0
120341,19790119,    0,    0
120341,19790120,    1,    0
120341,19790121,   69,    0
120341,19790122,   21,    0
120341,19790123,    0,    0
120341,19790124,    0,    0
120341,19790125,   44,    0
120341,19790126,    0,    0
120341,19790127,    0,    0
120341,19790128,    0,    0
120341,19790129,    0,    0
120341,19790130,    0,    0
120341,19790131,    0,    0
120341,19790201,   32,    0
120341,19790202,   46,    0
120341,19790203,    0,    0
120341,19790204,    0,    0
120341,19790205,    0,    0
120341,19790206,    0,    0
120341,19790207,    0,    0
120341,19790208,    0,    0
120341,19790209,    0,    0
120341,19790210,   12,    0
120341,19790211,    0,    0
120341,19790212,    9,    0
120341,19790213,    0,    0
120341,19790214,    0,    0
120341,19790215,    0,    0
120341,19790216,    0,    0
120341,19790217,    0,    0
120341,19790218,    0,    0
120341,19790219,    0,    0
120341,19790220,    0,    0
120341,19790221,    0,    0
120341,19790222,    0,    0
120341,19790223,    0,    0
120341,19790224,    0,    0
120341,19790225,    0,    0
120341,19790226,    8,    0
120341,19790227,    0,    0
120341,19790228,   13,    0
120341,19790301,    0,    0
120341,19790302,    0,    0
120341,19790303,    0,    0
120341,19790304,    0,    0
120341,19790305,    0,    0
120341,19790306,    0,    0
120341,19790307,    0,    0
120341,19790308,    0,    0
120341,19790309,    2,    0
120341,19790310,    0,    0
120341,19790311,    0,    0
120341,19790312,    0,    0
120341,19790313,    0,    0
120341,19790314,    0,    0
120341,19790315,    0,    0
120341,19790316,    0,    0
120341,19790317,    0,    0
120341,19790318,    0,    0
120341,19790319,    3,    0
120341,19790320,   12,    0
120341,19790321,    1,    0
120341,19790322,    0,    0
120341,19790323,    0,    0
120341,19790324,    0,    0
120341,19790325,    0,    0
120341,19790326,    0,    0
120341,19790327,    0,    0
120341,19790328,    0,    0
120341,19790329,    0,    0
120341,19790330,    0,    0
120341,19790331,    0,    0
120341,19790401,    1,    0
120341,19790402,    0,    0
120341,19790403,    0,    0
120341,19790404,    0,    0
120341,19790405,    0,    0
120341,19790406,    0,    0
120341,19790407,    0,    0
120341,19790408,    0,    0
120341,19790409,    0,    0
120341,19790410,    3,    0
120341,19790411,    0,    0
120341,19790412,    0,    0
120341,19790413,    0,    0
120341,19790414,    0,    0
120341,19790415,    5,    0
120341,19790416,    0,    0
120341,19790417,    0,    0
120341,19790418,    0,    0
120341,19790419,    0,    0
120341,19790420,    0,    0
120341,19790421,    0,    0
120341,19790422,    0,    0
120341,19790423,    0,    0
120341,19790424,    0,    0
120341,19790425,    0,    0
120341,19790426,    0,    0
120341,19790427,    0,    0
120341,19790428,    0,    0
120341,19790429,    0,    0
120341,19790430,    0,    0
120341,19790501,    0,    0
120341,19790502,    0,    0
120341,19790503,    0,    0
120341,19790504,    0,    0
120341,19790505,    0,    0
120341,19790506,    0,    0
120341,19790507,    0,    0
120341,19790508,   10,    0
120341,19790509,    0,    0
120341,19790510,    0,    0
120341,19790511,    0,    0
120341,19790512,    0,    0
120341,19790513,    0,    0
120341,19790514,    0,    0
120341,19790515,    0,    0
120341,19790516,    0,    0
120341,19790517,    0,    0
120341,19790518,    0,    0
120341,19790519,    0,    0
120341,19790520,    0,    0
120341,19790521,    0,    0
120341,19790522,    0,    0
120341,19790523,    0,    0
120341,19790524,    0,    0
120341,19790525,    0,    0
120341,19790526,    0,    0
120341,19790527,    0,    0
120341,19790528,    0,    0
120341,19790529,    0,    0
120341,19790530,    0,    0
120341,19790531,  100,    0
120341,19790601,    0,    0
120341,19790602,    0,    0
120341,19790603,    0,    0
120341,19790604,   40,    0
120341,19790605,    0,    0
120341,19790606,    0,    0
120341,19790607,    0,    0
120341,19790608,    0,    0
120341,19790609,    0,    0
120341,19790610,    0,    0
120341,19790611,    0,    0
120341,19790612,    0,    0
120341,19790613,    0,    0
120341,19790614,   75,    0
120341,19790615,    0,    0
120341,19790616,    0,    0
120341,19790617,    0,    0
120341,19790618,    0,    0
120341,19790619,    0,    0
120341,19790620,    0,    0
120341,19790621,    0,    0
120341,19790622,    0,    0
120341,19790623,    0,    0
120341,19790624,    0,    0
120341,19790625,    0,    0
120341,19790626,    0,    0
120341,19790627,    0,    0
120341,19790628,    0,    0
120341,19790629,    0,    0
120341,19790630,    0,    0
120341,19790701,    0,    0
120341,19790702,   16,    0
120341,19790703,   92,    0
120341,19790704,    2,    0
120341,19790705,    0,    0
120341,19790706,    0,    0
120341,19790707,    0,    0
120341,19790708,    0,    0
120341,19790709,    0,    0
120341,19790710,    0,    0
120341,19790711,    0,    0
120341,19790712,    0,    0
120341,19790713,    0,    0
120341,19790714,    0,    0
120341,19790715,    0,    0
120341,19790716,    0,    0
120341,19790717,    0,    0
120341,19790718,    0,    0
120341,19790719,    0,    0
120341,19790720,    0,    0
120341,19790721,    0,    0
120341,19790722,    0,    0
120341,19790723,    0,    0
120341,19790724,    0,    0
120341,19790725,    0,    0
120341,19790726,    0,    0
120341,19790727,    0,    0
120341,19790728,    0,    0
120341,19790729,    0,    0
120341,19790730,    0,    0
120341,19790731,    0,    0
120341,19790801,    0,    0
120341,19790802,    0,    0
120341,19790803,    0,    0
120341,19790804,    0,    0
120341,19790805,    0,    0
120341,19790806,    0,    0
120341,19790807,    0,    0
120341,19790808,    0,    0
120341,19790809,    0,    0
120341,19790810,    0,    0
120341,19790811,    0,    0
120341,19790812,    0,    0
120341,19790813,    0,    0
120341,19790814,    0,    0
120341,19790815,    0,    0
120341,19790816,    0,    0
120341,19790817,    0,    0
120341,19790818,    0,    0
120341,19790819,    0,    0
120341,19790820,    0,    0
120341,19790821,    0,    0
120341,19790822,    0,    0
120341,19790823,    0,    0
120341,19790824,    0,    0
120341,19790825,    0,    0
120341,19790826,    0,    0
120341,19790827,    0,    0
120341,19790828,    0,    0
120341,19790829,    0,    0
120341,19790830,    0,    0
120341,19790831,    0,    0
120341,19790901,    0,    0
120341,19790902,    0,    0
120341,19790903,    0,    0
120341,19790904,    0,    0
120341,19790905,    0,    0
120341,19790906,    0,    0
120341,19790907,    0,    0
120341,19790908,    0,    0
120341,19790909,    0,    0
120341,19790910,    0,    0
120341,19790911,  127,    0
120341,19790912,    2,    0
120341,19790913,    0,    0
120341,19790914,    6,    0
120341,19790915,    0,    0
120341,19790916,    0,    0
120341,19790917,    0,    0
120341,19790918,    0,    0
120341,19790919,  250,    0
120341,19790920,    0,    0
120341,19790921,   40,    0
120341,19790922,    0,    0
120341,19790923,    0,    0
120341,19790924,    0,    0
120341,19790925,    0,    0
120341,19790926,    0,    0
120341,19790927,    0,    0
120341,19790928,    0,    0
120341,19790929,    0,    0
120341,19790930,    0,    0
120341,19791001,    0,    0
120341,19791002,    0,    0
120341,19791003,    0,    0
120341,19791004,    0,    0
120341,19791005,    0,    0
120341,19791006,    0,    0
120341,19791007,    0,    0
120341,19791008,    0,    0
120341,19791009,    4,    0
120341,19791010,    5,    0
120341,19791011,    0,    0
120341,19791012,    0,    0
120341,19791013,    5,    0
120341,19791014,    0,    0
120341,19791015,   25,    0
120341,19791016,   30,    0
120341,19791017,    0,    0
120341,19791018,    0,    0
120341,19791019,    0,    0
120341,19791020,  110,    0
120341,19791021,  285,    0
120341,19791022,    0,    0
120341,19791023,    0,    0
120341,19791024,    0,    0
120341,19791025,    0,    0
120341,19791026,   40,    0
120341,19791027,    0,    0
120341,19791028,    0,    0
120341,19791029,    0,    0
120341,19791030,    0,    0
120341,19791031,    0,    0
120341,19791101,    0,    0
120341,19791102,    0,    0
120341,19791103,    0,    0
120341,19791104,    0,    0
120341,19791105,    0,    0
120341,19791106,    0,    0
120341,19791107,    0,    0
120341,19791108,    0,    0
120341,19791109,    0,    0
120341,19791110,    0,    0
120341,19791111,    0,    0
120341,19791112,    0,    0
120341,19791113,   20,    0
120341,19791114,    0,    0
120341,19791115,    0,    0
120341,19791116,    0,    0
120341,19791117,    0,    0
120341,19791118,    0,    0
120341,19791119,    0,    0
120341,19791120,    0,    0
120341,19791121,  223,    0
120341,19791122,   33,    0
120341,19791123,   13,    0
120341,19791124,    0,    0
120341,19791125,    0,    0
120341,19791126,    0,    0
120341,19791127,    0,    0
120341,19791128,    0,    0
120341,19791129,    0,    0
120341,19791130,    0,    0
120341,19791201,    0,    0
120341,19791202,    0,    0
120341,19791203,    0,    0
120341,19791204,    0,    0
120341,19791205,    0,    0
120341,19791206,    0,    0
120341,19791207,    0,    0
120341,19791208,    0,    0
120341,19791209,    0,    0
120341,19791210,    0,    0
120341,19791211,    0,    0
120341,19791212,    0,    0
120341,19791213,    0,    0
120341,19791214,    0,    0
120341,19791215,    0,    0
120341,19791216,    0,    0
120341,19791217,    0,    0
120341,19791218,    0,    0
120341,19791219,    0,    0
120341,19791220,    0,    0
120341,19791221,    0,    0
120341,19791222,    0,    0
120341,19791223,    0,    0
120341,19791224,    0,    0
120341,19791225,    0,    0
120341,19791226,    0,    0
120341,19791227,    0,    0
120341,19791228,    0,    0
120341,19791229,    0,    0
120341,19791230,    0,    0
120341,19791231,    0,    0
120341,19800101,    0,    0
120341,19800102,    0,    0
120341,19800103,    0,    0
120341,19800104,    0,    0
120341,19800105,    0,    0
120341,19800106,    0,    0
120341,19800107,    0,    0
120341,19800108,    0,    0
120341,19800109,    1,    0
