EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, AVILA-AYUNTAMIENTO (STAID: 3915).
Blended and updated with sources: 119837 119846 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
119846,19790101,   16,    0
119846,19790102,    0,    0
119846,19790103,   43,    0
119846,19790104,    1,    0
119846,19790105,    0,    0
119846,19790106,    6,    0
119846,19790107,   38,    0
119846,19790108,    0,    0
119846,19790109,    0,    0
119846,19790110,    0,    0
119846,19790111,    0,    0
119846,19790112,    0,    0
119846,19790113,    0,    0
119846,19790114,    0,    0
119846,19790115,    0,    0
119846,19790116,    0,    0
119846,19790117,   13,    0
119846,19790118,    2,    0
119846,19790119,   56,    0
119846,19790120,    0,    0
119846,19790121,    2,    0
119846,19790122,   17,    0
119846,19790123,    0,    0
119846,19790124,    0,    0
119846,19790125,    3,    0
119846,19790126,   14,    0
119846,19790127,   48,    0
119846,19790128,    3,    0
119846,19790129,    5,    0
119846,19790130,    0,    0
119846,19790131,    0,    0
119846,19790201,   42,    0
119846,19790202,   10,    0
119846,19790203,    1,    0
119846,19790204,    4,    0
119846,19790205,    0,    0
119846,19790206,   18,    0
119846,19790207,   38,    0
119846,19790208,    0,    0
119846,19790209,  114,    0
119846,19790210,   53,    0
119846,19790211,   12,    0
119846,19790212,   41,    0
119846,19790213,   30,    0
119846,19790214,   23,    0
119846,19790215,    6,    0
119846,19790216,    3,    0
119846,19790217,    0,    0
119846,19790218,    2,    0
119846,19790219,    0,    0
119846,19790220,    0,    0
119846,19790221,  125,    0
119846,19790222,    0,    0
119846,19790223,    0,    0
119846,19790224,    0,    0
119846,19790225,    0,    0
119846,19790226,    0,    0
119846,19790227,    0,    0
119846,19790228,    6,    0
119846,19790301,    1,    0
119846,19790302,    0,    0
119846,19790303,    0,    0
119846,19790304,    0,    0
119846,19790305,    0,    0
119846,19790306,   12,    0
119846,19790307,   63,    0
119846,19790308,   72,    0
119846,19790309,    0,    0
119846,19790310,    0,    0
119846,19790311,    0,    0
119846,19790312,    0,    0
119846,19790313,    0,    0
119846,19790314,   32,    0
119846,19790315,    1,    0
119846,19790316,    1,    0
119846,19790317,   66,    0
119846,19790318,    0,    0
119846,19790319,    0,    0
119846,19790320,    5,    0
119846,19790321,    2,    0
119846,19790322,   17,    0
119846,19790323,    8,    0
119846,19790324,    3,    0
119846,19790325,    5,    0
119846,19790326,    0,    0
119846,19790327,    0,    0
119846,19790328,    8,    0
119846,19790329,    1,    0
119846,19790330,    7,    0
119846,19790331,    2,    0
119846,19790401,    0,    0
119846,19790402,    2,    0
119846,19790403,    6,    0
119846,19790404,   69,    0
119846,19790405,    0,    0
119846,19790406,    0,    0
119846,19790407,    0,    0
119846,19790408,   13,    0
119846,19790409,   97,    0
119846,19790410,    6,    0
119846,19790411,    0,    0
119846,19790412,    0,    0
119846,19790413,   74,    0
119846,19790414,    0,    0
119846,19790415,   21,    0
119846,19790416,    0,    0
119846,19790417,    0,    0
119846,19790418,    0,    0
119846,19790419,    0,    0
119846,19790420,    0,    0
119846,19790421,    0,    0
119846,19790422,    0,    0
119846,19790423,    0,    0
119846,19790424,    0,    0
119846,19790425,    0,    0
119846,19790426,    0,    0
119846,19790427,    0,    0
119846,19790428,    0,    0
119846,19790429,    0,    0
119846,19790430,    0,    0
119846,19790501,    0,    0
119846,19790502,    0,    0
119846,19790503,    0,    0
119846,19790504,    0,    0
119846,19790505,   72,    0
119846,19790506,    7,    0
119846,19790507,    5,    0
119846,19790508,    0,    0
119846,19790509,    0,    0
119846,19790510,    0,    0
119846,19790511,    0,    0
119846,19790512,    0,    0
119846,19790513,    0,    0
119846,19790514,    0,    0
119846,19790515,    0,    0
119846,19790516,    0,    0
119846,19790517,   52,    0
119846,19790518,    2,    0
119846,19790519,   29,    0
119846,19790520,    0,    0
119846,19790521,    0,    0
119846,19790522,    0,    0
119846,19790523,    0,    0
119846,19790524,    0,    0
119846,19790525,    0,    0
119846,19790526,    0,    0
119846,19790527,    0,    0
119846,19790528,    1,    0
119846,19790529,    0,    0
119846,19790530,    0,    0
119846,19790531,    0,    0
119846,19790601,    0,    0
119846,19790602,    0,    0
119846,19790603,    2,    0
119846,19790604,   14,    0
119846,19790605,    0,    0
119846,19790606,    0,    0
119846,19790607,    0,    0
119846,19790608,   44,    0
119846,19790609,    1,    0
119846,19790610,    0,    0
119846,19790611,    0,    0
119846,19790612,    0,    0
119846,19790613,    0,    0
119846,19790614,    0,    0
119846,19790615,    0,    0
119846,19790616,    0,    0
119846,19790617,    0,    0
119846,19790618,    0,    0
119846,19790619,    0,    0
119846,19790620,    0,    0
119846,19790621,    0,    0
119846,19790622,    0,    0
119846,19790623,    0,    0
119846,19790624,    0,    0
119846,19790625,    2,    0
119846,19790626,   76,    0
119846,19790627,   24,    0
119846,19790628,   34,    0
119846,19790629,    4,    0
119846,19790630,   92,    0
119846,19790701,    0,    0
119846,19790702,    0,    0
119846,19790703,    0,    0
119846,19790704,    0,    0
119846,19790705,    0,    0
119846,19790706,    0,    0
119846,19790707,    0,    0
119846,19790708,    0,    0
119846,19790709,    0,    0
119846,19790710,   25,    0
119846,19790711,    9,    0
119846,19790712,    0,    0
119846,19790713,    0,    0
119846,19790714,    0,    0
119846,19790715,    0,    0
119846,19790716,    0,    0
119846,19790717,    0,    0
119846,19790718,    0,    0
119846,19790719,    0,    0
119846,19790720,    0,    0
119846,19790721,    0,    0
119846,19790722,    0,    0
119846,19790723,    0,    0
119846,19790724,    0,    0
119846,19790725,    0,    0
119846,19790726,    0,    0
119846,19790727,    0,    0
119846,19790728,    0,    0
119846,19790729,    0,    0
119846,19790730,    0,    0
119846,19790731,    0,    0
119846,19790801,    0,    0
119846,19790802,    0,    0
119846,19790803,    0,    0
119846,19790804,    0,    0
119846,19790805,    0,    0
119846,19790806,    0,    0
119846,19790807,    0,    0
119846,19790808,    0,    0
119846,19790809,    0,    0
119846,19790810,    0,    0
119846,19790811,    0,    0
119846,19790812,    0,    0
119846,19790813,    0,    0
119846,19790814,    0,    0
119846,19790815,    0,    0
119846,19790816,    0,    0
119846,19790817,    0,    0
119846,19790818,    0,    0
119846,19790819,    0,    0
119846,19790820,    0,    0
119846,19790821,    0,    0
119846,19790822,    0,    0
119846,19790823,    0,    0
119846,19790824,    0,    0
119846,19790825,    0,    0
119846,19790826,    0,    0
119846,19790827,    0,    0
119846,19790828,    0,    0
119846,19790829,    0,    0
119846,19790830,    0,    0
119846,19790831,   24,    0
119846,19790901,    0,    0
119846,19790902,    0,    0
119846,19790903,    0,    0
119846,19790904,    3,    0
119846,19790905,    7,    0
119846,19790906,    0,    0
119846,19790907,    0,    0
119846,19790908,    0,    0
119846,19790909,   25,    0
119846,19790910,    0,    0
119846,19790911,    0,    0
119846,19790912,  237,    0
119846,19790913,  103,    0
119846,19790914,    1,    0
119846,19790915,    2,    0
119846,19790916,    0,    0
119846,19790917,   11,    0
119846,19790918,  113,    0
119846,19790919,   35,    0
119846,19790920,   32,    0
119846,19790921,    2,    0
119846,19790922,    0,    0
119846,19790923,    1,    0
119846,19790924,    0,    0
119846,19790925,    0,    0
119846,19790926,    0,    0
119846,19790927,    0,    0
119846,19790928,    0,    0
119846,19790929,    0,    0
119846,19790930,    0,    0
119846,19791001,    0,    0
119846,19791002,    0,    0
119846,19791003,    0,    0
119846,19791004,    0,    0
119846,19791005,   23,    0
119846,19791006,  145,    0
119846,19791007,    0,    0
119846,19791008,  404,    0
119846,19791009,  240,    0
119846,19791010,   19,    0
119846,19791011,    3,    0
119846,19791012,   70,    0
119846,19791013,   16,    0
119846,19791014,   28,    0
119846,19791015,   88,    0
119846,19791016,   23,    0
119846,19791017,    0,    0
119846,19791018,    0,    0
119846,19791019,    0,    0
119846,19791020,    8,    0
119846,19791021,    1,    0
119846,19791022,    0,    0
119846,19791023,   10,    0
119846,19791024,    7,    0
119846,19791025,   39,    0
119846,19791026,   43,    0
119846,19791027,    6,    0
119846,19791028,    3,    0
119846,19791029,    0,    0
119846,19791030,    0,    0
119846,19791031,    0,    0
119846,19791101,    0,    0
119846,19791102,    0,    0
119846,19791103,    0,    0
119846,19791104,    0,    0
119846,19791105,    0,    0
119846,19791106,    0,    0
119846,19791107,    0,    0
119846,19791108,    0,    0
119846,19791109,   12,    0
119846,19791110,    0,    0
119846,19791111,   36,    0
119846,19791112,    0,    0
119846,19791113,    7,    0
119846,19791114,   84,    0
119846,19791115,    1,    0
119846,19791116,    3,    0
119846,19791117,    0,    0
119846,19791118,    0,    0
119846,19791119,    0,    0
119846,19791120,    0,    0
119846,19791121,    0,    0
119846,19791122,    0,    0
119846,19791123,    0,    0
119846,19791124,    0,    0
119846,19791125,    0,    0
119846,19791126,    0,    0
119846,19791127,    0,    0
119846,19791128,    0,    0
119846,19791129,    0,    0
119846,19791130,    0,    0
119846,19791201,    0,    0
119846,19791202,    0,    0
119846,19791203,    0,    0
119846,19791204,    0,    0
119846,19791205,    0,    0
119846,19791206,    0,    0
119846,19791207,    0,    0
119846,19791208,    3,    0
119846,19791209,    0,    0
119846,19791210,    0,    0
119846,19791211,    0,    0
119846,19791212,    0,    0
119846,19791213,    0,    0
119846,19791214,    0,    0
119846,19791215,    1,    0
119846,19791216,    0,    0
119846,19791217,    0,    0
119846,19791218,    0,    0
119846,19791219,    0,    0
119846,19791220,    0,    0
119846,19791221,    0,    0
119846,19791222,   11,    0
119846,19791223,    0,    0
119846,19791224,   88,    0
119846,19791225,   10,    0
119846,19791226,    0,    0
119846,19791227,    5,    0
119846,19791228,    0,    0
119846,19791229,    0,    0
119846,19791230,    0,    0
119846,19791231,    1,    0
119846,19800101,    0,    0
119846,19800102,    0,    0
119846,19800103,    0,    0
119846,19800104,    0,    0
119846,19800105,    1,    0
119846,19800106,    0,    0
119846,19800107,    0,    0
119846,19800108,    9,    0
119846,19800109,   12,    0
119846,19800110,    0,    0
119846,19800111,    0,    0
119846,19800112,    0,    0
119846,19800113,   44,    0
119846,19800114,    0,    0
119846,19800115,    0,    0
119846,19800116,   29,    0
119846,19800117,    0,    0
119846,19800118,    0,    0
119846,19800119,    1,    0
119846,19800120,    2,    0
119846,19800121,    0,    0
119846,19800122,    0,    0
119846,19800123,    0,    0
119846,19800124,    0,    0
119846,19800125,    0,    0
119846,19800126,    0,    0
119846,19800127,    0,    0
119846,19800128,    0,    0
119846,19800129,    0,    0
119846,19800130,    1,    0
119846,19800131,    3,    0
119846,19800201,    0,    0
119846,19800202,    0,    0
119846,19800203,    0,    0
119846,19800204,    0,    0
119846,19800205,    0,    0
119846,19800206,    0,    0
119846,19800207,    0,    0
119846,19800208,    0,    0
119846,19800209,    0,    0
119846,19800210,    0,    0
119846,19800211,    0,    0
119846,19800212,    0,    0
119846,19800213,    0,    0
119846,19800214,    0,    0
119846,19800215,   48,    0
119846,19800216,    0,    0
119846,19800217,    0,    0
119846,19800218,    4,    0
119846,19800219,   10,    0
119846,19800220,   25,    0
119846,19800221,   24,    0
119846,19800222,    0,    0
119846,19800223,    4,    0
119846,19800224,    0,    0
119846,19800225,   25,    0
119846,19800226,    3,    0
119846,19800227,   35,    0
119846,19800228,    0,    0
119846,19800229,    0,    0
119846,19800301,    0,    0
119846,19800302,   11,    0
119846,19800303,    1,    0
119846,19800304,    0,    0
119846,19800305,    0,    0
119846,19800306,    0,    0
119846,19800307,    0,    0
119846,19800308,    0,    0
119846,19800309,    0,    0
119846,19800310,    0,    0
119846,19800311,    0,    0
119846,19800312,    0,    0
119846,19800313,    0,    0
119846,19800314,    9,    0
119846,19800315,    0,    0
119846,19800316,    0,    0
119846,19800317,    0,    0
119846,19800318,  204,    0
119846,19800319,   19,    0
119846,19800320,    3,    0
119846,19800321,   63,    0
119846,19800322,   10,    0
119846,19800323,    0,    0
119846,19800324,    3,    0
119846,19800325,    0,    0
119846,19800326,    0,    0
119846,19800327,    0,    0
119846,19800328,    0,    0
119846,19800329,    0,    0
119846,19800330,    0,    0
119846,19800331,    0,    0
119846,19800401,    0,    0
119846,19800402,    0,    0
119846,19800403,    0,    0
119846,19800404,    0,    0
119846,19800405,    0,    0
119846,19800406,    0,    0
119846,19800407,    0,    0
119846,19800408,    0,    0
119846,19800409,    0,    0
119846,19800410,    0,    0
119846,19800411,    0,    0
119846,19800412,    8,    0
119846,19800413,   13,    0
119846,19800414,   35,    0
119846,19800415,   13,    0
119846,19800416,    0,    0
119846,19800417,   13,    0
119846,19800418,   41,    0
119846,19800419,    0,    0
119846,19800420,    0,    0
119846,19800421,    0,    0
119846,19800422,    0,    0
119846,19800423,    0,    0
119846,19800424,    0,    0
119846,19800425,    0,    0
119846,19800426,    0,    0
119846,19800427,    0,    0
119846,19800428,   52,    0
119846,19800429,  154,    0
119846,19800430,   10,    0
119846,19800501,    0,    0
119846,19800502,   10,    0
119846,19800503,   75,    0
119846,19800504,    0,    0
119846,19800505,   50,    0
119846,19800506,    0,    0
119846,19800507,   13,    0
119846,19800508,    0,    0
119846,19800509,    0,    0
119846,19800510,    0,    0
