EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, IBIZA/ESCODOLA (STAID: 3916).
Blended and updated with sources: 119855 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
119855,19790101,    0,    0
119855,19790102,    0,    0
119855,19790103,    0,    0
119855,19790104,    0,    0
119855,19790105,    0,    0
119855,19790106,    0,    0
119855,19790107,   32,    0
119855,19790108,   30,    0
119855,19790109,    0,    0
119855,19790110,    0,    0
119855,19790111,    0,    0
119855,19790112,    0,    0
119855,19790113,    0,    0
119855,19790114,    0,    0
119855,19790115,    0,    0
119855,19790116,    0,    0
119855,19790117,    0,    0
119855,19790118,    9,    0
119855,19790119,    0,    0
119855,19790120,    0,    0
119855,19790121,   42,    0
119855,19790122,  157,    0
119855,19790123,    0,    0
119855,19790124,    0,    0
119855,19790125,    0,    0
119855,19790126,    0,    0
119855,19790127,    0,    0
119855,19790128,    2,    0
119855,19790129,    0,    0
119855,19790130,    0,    0
119855,19790131,    0,    0
119855,19790201,    3,    0
119855,19790202,   15,    0
119855,19790203,    0,    0
119855,19790204,    0,    0
119855,19790205,    0,    0
119855,19790206,    0,    0
119855,19790207,    0,    0
119855,19790208,    0,    0
119855,19790209,    0,    0
119855,19790210,    0,    0
119855,19790211,    0,    0
119855,19790212,   31,    0
119855,19790213,    0,    0
119855,19790214,    0,    0
119855,19790215,    0,    0
119855,19790216,    0,    0
119855,19790217,    0,    0
119855,19790218,    0,    0
119855,19790219,    0,    0
119855,19790220,   14,    0
119855,19790221,    0,    0
119855,19790222,    0,    0
119855,19790223,    0,    0
119855,19790224,    0,    0
119855,19790225,    2,    0
119855,19790226,  158,    0
119855,19790227,    0,    0
119855,19790228,   40,    0
119855,19790301,  209,    0
119855,19790302,    0,    0
119855,19790303,    0,    0
119855,19790304,    0,    0
119855,19790305,    0,    0
119855,19790306,    0,    0
119855,19790307,    0,    0
119855,19790308,    0,    0
119855,19790309,    0,    0
119855,19790310,    0,    0
119855,19790311,    0,    0
119855,19790312,    0,    0
119855,19790313,    0,    0
119855,19790314,    0,    0
119855,19790315,    0,    0
119855,19790316,    0,    0
119855,19790317,    0,    0
119855,19790318,    0,    0
119855,19790319,   25,    0
119855,19790320,   30,    0
119855,19790321,   30,    0
119855,19790322,    0,    0
119855,19790323,    0,    0
119855,19790324,    0,    0
119855,19790325,    0,    0
119855,19790326,    0,    0
119855,19790327,    0,    0
119855,19790328,    8,    0
119855,19790329,    0,    0
119855,19790330,    0,    0
119855,19790331,   35,    0
119855,19790401,    0,    0
119855,19790402,    0,    0
119855,19790403,    0,    0
119855,19790404,    0,    0
119855,19790405,    0,    0
119855,19790406,    0,    0
119855,19790407,    0,    0
119855,19790408,    0,    0
119855,19790409,    0,    0
119855,19790410,    0,    0
119855,19790411,    0,    0
119855,19790412,    0,    0
119855,19790413,   76,    0
119855,19790414,    7,    0
119855,19790415,  152,    0
119855,19790416,    0,    0
119855,19790417,    0,    0
119855,19790418,    0,    0
119855,19790419,   32,    0
119855,19790420,   10,    0
119855,19790421,    0,    0
119855,19790422,    0,    0
119855,19790423,    0,    0
119855,19790424,   50,    0
119855,19790425,    0,    0
119855,19790426,    0,    0
119855,19790427,    0,    0
119855,19790428,    0,    0
119855,19790429,    0,    0
119855,19790430,    0,    0
119855,19790501,    0,    0
119855,19790502,    0,    0
119855,19790503,    0,    0
119855,19790504,    0,    0
119855,19790505,    0,    0
119855,19790506,    0,    0
119855,19790507,    0,    0
119855,19790508,    0,    0
119855,19790509,    0,    0
119855,19790510,    0,    0
119855,19790511,    0,    0
119855,19790512,    0,    0
119855,19790513,    0,    0
119855,19790514,    0,    0
119855,19790515,    0,    0
119855,19790516,    0,    0
119855,19790517,    0,    0
119855,19790518,    0,    0
119855,19790519,   17,    0
119855,19790520,    0,    0
119855,19790521,    0,    0
119855,19790522,    0,    0
119855,19790523,    0,    0
119855,19790524,    0,    0
119855,19790525,    0,    0
