EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, CACERES CIUDAD (STAID: 3921).
Blended and updated with sources: 119927 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
119927,19790101,   78,    0
119927,19790102,    0,    0
119927,19790103,  121,    0
119927,19790104,    9,    0
119927,19790105,    0,    0
119927,19790106,   33,    0
119927,19790107,   46,    0
119927,19790108,    0,    0
119927,19790109,    0,    0
119927,19790110,    0,    0
119927,19790111,    0,    0
119927,19790112,    0,    0
119927,19790113,    0,    0
119927,19790114,    0,    0
119927,19790115,    0,    0
119927,19790116,    0,    0
119927,19790117,  129,    0
119927,19790118,  114,    0
119927,19790119,   31,    0
119927,19790120,   17,    0
119927,19790121,   65,    0
119927,19790122,    6,    0
119927,19790123,    0,    0
119927,19790124,   30,    0
119927,19790125,   28,    0
119927,19790126,  184,    0
119927,19790127,   83,    0
119927,19790128,    0,    0
119927,19790129,    3,    0
119927,19790130,    0,    0
119927,19790131,   17,    0
119927,19790201,  156,    0
119927,19790202,   76,    0
119927,19790203,    4,    0
119927,19790204,  100,    0
119927,19790205,    4,    0
119927,19790206,   51,    0
119927,19790207,   11,    0
119927,19790208,    0,    0
119927,19790209,  137,    0
119927,19790210,  350,    0
119927,19790211,   35,    0
119927,19790212,   42,    0
119927,19790213,   46,    0
119927,19790214,   20,    0
119927,19790215,    0,    0
119927,19790216,    0,    0
119927,19790217,    2,    0
119927,19790218,    0,    0
119927,19790219,    0,    0
119927,19790220,    0,    0
119927,19790221,   10,    0
119927,19790222,    0,    0
119927,19790223,    0,    0
119927,19790224,    0,    0
119927,19790225,    0,    0
119927,19790226,    0,    0
119927,19790227,    0,    0
119927,19790228,   68,    0
119927,19790301,    0,    0
119927,19790302,    0,    0
119927,19790303,    0,    0
119927,19790304,    0,    0
119927,19790305,    0,    0
119927,19790306,    5,    0
119927,19790307,   79,    0
119927,19790308,   11,    0
119927,19790309,    0,    0
119927,19790310,    0,    0
119927,19790311,    0,    0
119927,19790312,    0,    0
119927,19790313,    0,    0
119927,19790314,   43,    0
119927,19790315,    0,    0
119927,19790316,   57,    0
119927,19790317,   54,    0
119927,19790318,   55,    0
119927,19790319,   53,    0
119927,19790320,   17,    0
119927,19790321,    0,    0
119927,19790322,   16,    0
119927,19790323,    0,    0
119927,19790324,   43,    0
119927,19790325,    2,    0
119927,19790326,   57,    0
119927,19790327,    9,    0
119927,19790328,    0,    0
119927,19790329,    0,    0
119927,19790330,    4,    0
119927,19790331,    0,    0
119927,19790401,    0,    0
119927,19790402,    0,    0
119927,19790403,    0,    0
119927,19790404,   74,    0
119927,19790405,    0,    0
119927,19790406,    0,    0
119927,19790407,    0,    0
119927,19790408,  450,    0
119927,19790409,  177,    0
119927,19790410,   56,    0
119927,19790411,    6,    0
119927,19790412,    0,    0
119927,19790413,   97,    0
119927,19790414,    0,    0
