EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, CASTELLON (STAID: 3924).
Blended and updated with sources: 119999 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
119999,19790101,   43,    0
119999,19790102,   60,    0
119999,19790103,   88,    0
119999,19790104,   17,    0
119999,19790105,    0,    0
119999,19790106,    0,    0
119999,19790107,  159,    0
119999,19790108,    0,    0
119999,19790109,    0,    0
119999,19790110,    0,    0
119999,19790111,    0,    0
119999,19790112,    0,    0
119999,19790113,    0,    0
119999,19790114,    0,    0
119999,19790115,    0,    0
119999,19790116,    0,    0
119999,19790117,   46,    0
119999,19790118,  105,    0
119999,19790119,    8,    0
119999,19790120,    0,    0
119999,19790121,  492,    0
119999,19790122,    0,    0
119999,19790123,    0,    0
119999,19790124,    0,    0
119999,19790125,    0,    0
119999,19790126,    0,    0
119999,19790127,    0,    0
119999,19790128,   18,    0
119999,19790129,    0,    0
119999,19790130,    0,    0
119999,19790131,    0,    0
119999,19790201,    0,    0
119999,19790202,    1,    0
119999,19790203,    0,    0
119999,19790204,    0,    0
119999,19790205,    0,    0
119999,19790206,    0,    0
119999,19790207,    0,    0
119999,19790208,    0,    0
119999,19790209,    0,    0
119999,19790210,    0,    0
119999,19790211,    0,    0
119999,19790212,    0,    0
119999,19790213,    0,    0
119999,19790214,    0,    0
119999,19790215,    0,    0
119999,19790216,    0,    0
119999,19790217,    0,    0
119999,19790218,    0,    0
119999,19790219,    0,    0
119999,19790220,    0,    0
119999,19790221,    0,    0
119999,19790222,    0,    0
119999,19790223,    0,    0
119999,19790224,    0,    0
119999,19790225,    0,    0
119999,19790226,    0,    0
119999,19790227,    0,    0
119999,19790228,    1,    0
119999,19790301,    0,    0
119999,19790302,    0,    0
119999,19790303,    0,    0
119999,19790304,    0,    0
119999,19790305,    0,    0
119999,19790306,    0,    0
119999,19790307,    0,    0
119999,19790308,   18,    0
119999,19790309,    0,    0
119999,19790310,    0,    0
119999,19790311,    0,    0
119999,19790312,    0,    0
119999,19790313,    0,    0
119999,19790314,   67,    0
119999,19790315,    0,    0
119999,19790316,    0,    0
119999,19790317,    0,    0
119999,19790318,    0,    0
119999,19790319,   39,    0
119999,19790320,    0,    0
119999,19790321,    0,    0
119999,19790322,    3,    0
119999,19790323,    0,    0
119999,19790324,    0,    0
119999,19790325,    0,    0
119999,19790326,    0,    0
119999,19790327,    0,    0
119999,19790328,    0,    0
119999,19790329,    0,    0
119999,19790330,    0,    0
119999,19790331,    0,    0
119999,19790401,    0,    0
119999,19790402,    0,    0
119999,19790403,    0,    0
119999,19790404,    3,    0
119999,19790405,    0,    0
119999,19790406,    0,    0
119999,19790407,    0,    0
119999,19790408,    0,    0
119999,19790409,    4,    0
119999,19790410,   57,    0
119999,19790411,    0,    0
119999,19790412,    0,    0
119999,19790413,    1,    0
119999,19790414,   46,    0
119999,19790415,   25,    0
119999,19790416,    4,    0
119999,19790417,    0,    0
119999,19790418,    0,    0
119999,19790419,    0,    0
119999,19790420,    0,    0
119999,19790421,    0,    0
119999,19790422,    0,    0
119999,19790423,    0,    0
119999,19790424,    0,    0
119999,19790425,    0,    0
119999,19790426,    0,    0
119999,19790427,    0,    0
119999,19790428,    0,    0
119999,19790429,    0,    0
119999,19790430,    0,    0
119999,19790501,    0,    0
119999,19790502,    0,    0
119999,19790503,    0,    0
119999,19790504,    0,    0
119999,19790505,    0,    0
119999,19790506,    2,    0
119999,19790507,    0,    0
119999,19790508,    3,    0
119999,19790509,    0,    0
119999,19790510,    0,    0
119999,19790511,    0,    0
119999,19790512,    0,    0
119999,19790513,    0,    0
119999,19790514,    0,    0
119999,19790515,    0,    0
119999,19790516,    0,    0
119999,19790517,    0,    0
119999,19790518,    4,    0
119999,19790519,    0,    0
119999,19790520,    0,    0
119999,19790521,    0,    0
119999,19790522,    0,    0
119999,19790523,    0,    0
119999,19790524,    0,    0
119999,19790525,    0,    0
119999,19790526,    0,    0
119999,19790527,    0,    0
119999,19790528,    4,    0
119999,19790529,    0,    0
119999,19790530,    1,    0
119999,19790531,  257,    0
119999,19790601,   10,    0
119999,19790602,    0,    0
119999,19790603,    0,    0
119999,19790604,    1,    0
119999,19790605,    0,    0
119999,19790606,    2,    0
119999,19790607,    0,    0
119999,19790608,    0,    0
119999,19790609,    0,    0
119999,19790610,    0,    0
119999,19790611,    0,    0
119999,19790612,    0,    0
119999,19790613,    0,    0
119999,19790614,    5,    0
