EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, MADRID/CUATROVIENTOS (STAID: 3947).
Blended and updated with sources: 120287 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
120287,19790101,    6,    0
120287,19790102,    0,    0
120287,19790103,  141,    0
120287,19790104,    0,    0
120287,19790105,    0,    0
120287,19790106,   24,    0
120287,19790107,   56,    0
120287,19790108,    2,    0
120287,19790109,    0,    0
120287,19790110,    0,    0
120287,19790111,    0,    0
120287,19790112,    0,    0
120287,19790113,    0,    0
120287,19790114,    0,    0
120287,19790115,    0,    0
120287,19790116,    0,    0
120287,19790117,   60,    0
120287,19790118,  395,    0
120287,19790119,  131,    0
120287,19790120,    0,    0
120287,19790121,  102,    0
120287,19790122,    0,    0
120287,19790123,    0,    0
120287,19790124,    0,    0
120287,19790125,    7,    0
120287,19790126,  247,    0
120287,19790127,  113,    0
120287,19790128,    9,    0
120287,19790129,    3,    0
120287,19790130,    0,    0
120287,19790131,    1,    0
120287,19790201,   43,    0
120287,19790202,   71,    0
120287,19790203,    1,    0
120287,19790204,   20,    0
120287,19790205,    2,    0
120287,19790206,   29,    0
120287,19790207,   19,    0
120287,19790208,    9,    0
120287,19790209,   84,    0
120287,19790210,  331,    0
120287,19790211,   60,    0
120287,19790212,   97,    0
120287,19790213,   90,    0
120287,19790214,   48,    0
120287,19790215,    0,    0
120287,19790216,    0,    0
120287,19790217,    0,    0
120287,19790218,    0,    0
120287,19790219,    0,    0
120287,19790220,    0,    0
120287,19790221,   12,    0
120287,19790222,    0,    0
120287,19790223,    0,    0
120287,19790224,    0,    0
120287,19790225,    0,    0
120287,19790226,    0,    0
120287,19790227,    0,    0
120287,19790228,   12,    0
120287,19790301,    0,    0
120287,19790302,    0,    0
120287,19790303,    0,    0
120287,19790304,    0,    0
120287,19790305,    0,    0
120287,19790306,   22,    0
120287,19790307,  124,    0
120287,19790308,   32,    0
120287,19790309,    0,    0
120287,19790310,    0,    0
120287,19790311,    0,    0
120287,19790312,    0,    0
120287,19790313,    0,    0
120287,19790314,   32,    0
120287,19790315,    0,    0
120287,19790316,   53,    0
120287,19790317,   54,    0
120287,19790318,   18,    0
120287,19790319,    7,    0
120287,19790320,   28,    0
120287,19790321,    0,    0
120287,19790322,   41,    0
120287,19790323,    4,    0
120287,19790324,   34,    0
120287,19790325,   26,    0
120287,19790326,   12,    0
120287,19790327,    3,    0
120287,19790328,   26,    0
120287,19790329,    0,    0
120287,19790330,    0,    0
120287,19790331,    0,    0
120287,19790401,    0,    0
120287,19790402,    0,    0
120287,19790403,    0,    0
120287,19790404,   50,    0
120287,19790405,    0,    0
120287,19790406,    0,    0
120287,19790407,    0,    0
120287,19790408,  128,    0
120287,19790409,  152,    0
120287,19790410,   15,    0
120287,19790411,    0,    0
120287,19790412,    0,    0
120287,19790413,  126,    0
120287,19790414,    0,    0
120287,19790415,   12,    0
120287,19790416,    0,    0
120287,19790417,    0,    0
120287,19790418,    0,    0
120287,19790419,    0,    0
120287,19790420,    0,    0
120287,19790421,    0,    0
120287,19790422,    0,    0
120287,19790423,    0,    0
120287,19790424,    0,    0
120287,19790425,    0,    0
120287,19790426,    0,    0
120287,19790427,    0,    0
120287,19790428,    0,    0
120287,19790429,    0,    0
120287,19790430,    0,    0
120287,19790501,    0,    0
120287,19790502,    0,    0
120287,19790503,    0,    0
120287,19790504,    0,    0
120287,19790505,   36,    0
120287,19790506,  105,    0
120287,19790507,    7,    0
120287,19790508,   34,    0
120287,19790509,    0,    0
120287,19790510,    0,    0
120287,19790511,    0,    0
120287,19790512,    0,    0
120287,19790513,    0,    0
120287,19790514,    0,    0
120287,19790515,    0,    0
120287,19790516,    0,    0
120287,19790517,    0,    0
120287,19790518,    0,    0
120287,19790519,    0,    0
120287,19790520,    0,    0
120287,19790521,    0,    0
120287,19790522,    0,    0
120287,19790523,    0,    0
120287,19790524,    0,    0
120287,19790525,    0,    0
120287,19790526,    0,    0
120287,19790527,    0,    0
120287,19790528,    5,    0
120287,19790529,    4,    0
120287,19790530,   24,    0
120287,19790531,    0,    0
120287,19790601,    0,    0
120287,19790602,    0,    0
120287,19790603,    0,    0
120287,19790604,    0,    0
120287,19790605,    0,    0
120287,19790606,    0,    0
120287,19790607,    0,    0
120287,19790608,    7,    0
120287,19790609,   13,    0
120287,19790610,    0,    0
120287,19790611,    0,    0
120287,19790612,    0,    0
120287,19790613,    0,    0
120287,19790614,    0,    0
120287,19790615,    0,    0
120287,19790616,    0,    0
120287,19790617,    0,    0
120287,19790618,    0,    0
120287,19790619,    0,    0
120287,19790620,    0,    0
120287,19790621,    0,    0
120287,19790622,    0,    0
120287,19790623,    0,    0
120287,19790624,    0,    0
120287,19790625,    0,    0
120287,19790626,    0,    0
120287,19790627,    0,    0
120287,19790628,    0,    0
120287,19790629,    0,    0
120287,19790630,   65,    0
120287,19790701,  440,    0
120287,19790702,    0,    0
120287,19790703,    0,    0
120287,19790704,    0,    0
120287,19790705,    0,    0
120287,19790706,    0,    0
120287,19790707,    0,    0
120287,19790708,    0,    0
120287,19790709,    0,    0
120287,19790710,    0,    0
120287,19790711,   28,    0
120287,19790712,    0,    0
120287,19790713,    0,    0
120287,19790714,    0,    0
120287,19790715,    0,    0
120287,19790716,    1,    0
120287,19790717,    0,    0
120287,19790718,    0,    0
120287,19790719,   47,    0
120287,19790720,    0,    0
120287,19790721,    0,    0
120287,19790722,    0,    0
120287,19790723,    0,    0
120287,19790724,    0,    0
120287,19790725,    0,    0
120287,19790726,    0,    0
120287,19790727,    0,    0
120287,19790728,    0,    0
120287,19790729,    0,    0
120287,19790730,    0,    0
120287,19790731,    0,    0
120287,19790801,    0,    0
120287,19790802,    0,    0
120287,19790803,    0,    0
120287,19790804,    0,    0
120287,19790805,    0,    0
120287,19790806,    0,    0
120287,19790807,    0,    0
120287,19790808,    0,    0
120287,19790809,    0,    0
120287,19790810,    0,    0
120287,19790811,    0,    0
120287,19790812,    0,    0
120287,19790813,    0,    0
120287,19790814,    0,    0
120287,19790815,    0,    0
120287,19790816,    0,    0
120287,19790817,    0,    0
120287,19790818,    0,    0
120287,19790819,    0,    0
120287,19790820,    0,    0
120287,19790821,    0,    0
120287,19790822,    0,    0
120287,19790823,    0,    0
120287,19790824,    0,    0
120287,19790825,    0,    0
120287,19790826,    0,    0
120287,19790827,    0,    0
120287,19790828,    0,    0
120287,19790829,    0,    0
120287,19790830,    0,    0
120287,19790831,   18,    0
120287,19790901,    0,    0
120287,19790902,    0,    0
120287,19790903,    0,    0
120287,19790904,    0,    0
120287,19790905,   38,    0
120287,19790906,   24,    0
120287,19790907,    0,    0
120287,19790908,    0,    0
120287,19790909,    0,    0
120287,19790910,    0,    0
120287,19790911,    0,    0
120287,19790912,    8,    0
120287,19790913,    4,    0
120287,19790914,   28,    0
120287,19790915,    0,    0
120287,19790916,    4,    0
120287,19790917,    0,    0
120287,19790918,   19,    0
120287,19790919,    0,    0
120287,19790920,    3,    0
120287,19790921,    0,    0
120287,19790922,    0,    0
120287,19790923,    0,    0
120287,19790924,    0,    0
120287,19790925,    0,    0
120287,19790926,    0,    0
120287,19790927,    0,    0
120287,19790928,    0,    0
120287,19790929,    0,    0
120287,19790930,    0,    0
120287,19791001,    0,    0
120287,19791002,    0,    0
120287,19791003,    6,    0
120287,19791004,    0,    0
120287,19791005,    3,    0
120287,19791006,  175,    0
120287,19791007,    3,    0
120287,19791008,    7,    0
120287,19791009,  174,    0
120287,19791010,    6,    0
120287,19791011,   20,    0
120287,19791012,   53,    0
120287,19791013,   80,    0
120287,19791014,   84,    0
120287,19791015,   68,    0
120287,19791016,    0,    0
120287,19791017,    0,    0
120287,19791018,    0,    0
120287,19791019,    0,    0
120287,19791020,    0,    0
120287,19791021,  185,    0
120287,19791022,    0,    0
120287,19791023,    0,    0
120287,19791024,    3,    0
120287,19791025,   57,    0
120287,19791026,   50,    0
120287,19791027,    0,    0
120287,19791028,    0,    0
120287,19791029,    0,    0
120287,19791030,    0,    0
120287,19791031,    0,    0
120287,19791101,    0,    0
120287,19791102,    0,    0
120287,19791103,    0,    0
120287,19791104,    0,    0
120287,19791105,    0,    0
120287,19791106,    0,    0
120287,19791107,    0,    0
120287,19791108,    0,    0
120287,19791109,    9,    0
120287,19791110,    0,    0
120287,19791111,    0,    0
120287,19791112,   74,    0
120287,19791113,   31,    0
120287,19791114,   34,    0
120287,19791115,    0,    0
120287,19791116,    0,    0
120287,19791117,    0,    0
120287,19791118,    0,    0
120287,19791119,    0,    0
120287,19791120,    0,    0
120287,19791121,    0,    0
120287,19791122,    0,    0
120287,19791123,    0,    0
120287,19791124,    0,    0
120287,19791125,    0,    0
120287,19791126,    0,    0
120287,19791127,    0,    0
120287,19791128,    0,    0
120287,19791129,    0,    0
120287,19791130,    0,    0
120287,19791201,    0,    0
120287,19791202,    0,    0
120287,19791203,    0,    0
120287,19791204,    0,    0
120287,19791205,    0,    0
120287,19791206,    0,    0
120287,19791207,    0,    0
120287,19791208,    2,    0
120287,19791209,    0,    0
120287,19791210,    0,    0
120287,19791211,    0,    0
120287,19791212,    0,    0
120287,19791213,   13,    0
120287,19791214,    0,    0
120287,19791215,    0,    0
120287,19791216,    0,    0
120287,19791217,    0,    0
120287,19791218,    0,    0
120287,19791219,    0,    0
120287,19791220,    0,    0
120287,19791221,    0,    0
120287,19791222,    8,    0
120287,19791223,    9,    0
120287,19791224,  107,    0
120287,19791225,    2,    0
120287,19791226,    0,    0
120287,19791227,    6,    0
120287,19791228,    0,    0
120287,19791229,    0,    0
120287,19791230,    0,    0
120287,19791231,    0,    0
120287,19800101,    0,    0
120287,19800102,    0,    0
120287,19800103,    0,    0
120287,19800104,    0,    0
120287,19800105,    0,    0
120287,19800106,    0,    0
120287,19800107,    0,    0
120287,19800108,    0,    0
120287,19800109,    2,    0
