EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, MADRID/GETAFE (STAID: 3948).
Blended and updated with sources: 120296 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
120296,19790101,    7,    0
120296,19790102,    0,    0
120296,19790103,   70,    0
120296,19790104,    0,    0
120296,19790105,    0,    0
120296,19790106,   70,    0
120296,19790107,    0,    0
120296,19790108,    0,    0
120296,19790109,    0,    0
120296,19790110,    0,    0
120296,19790111,    0,    0
120296,19790112,    0,    0
120296,19790113,    0,    0
120296,19790114,    0,    0
120296,19790115,    0,    0
120296,19790116,    0,    0
120296,19790117,   40,    0
120296,19790118,  234,    0
120296,19790119,  167,    0
120296,19790120,    0,    0
120296,19790121,  100,    0
120296,19790122,    0,    0
120296,19790123,    0,    0
120296,19790124,    0,    0
120296,19790125,   10,    0
120296,19790126,  150,    0
120296,19790127,  127,    0
120296,19790128,    4,    0
120296,19790129,    0,    0
120296,19790130,    0,    0
120296,19790131,    0,    0
120296,19790201,   18,    0
120296,19790202,  110,    0
120296,19790203,    0,    0
120296,19790204,   76,    0
120296,19790205,    0,    0
120296,19790206,   20,    0
120296,19790207,   28,    0
120296,19790208,    0,    0
120296,19790209,   90,    0
120296,19790210,  170,    0
120296,19790211,   68,    0
120296,19790212,   28,    0
120296,19790213,   20,    0
120296,19790214,   37,    0
120296,19790215,    0,    0
120296,19790216,    0,    0
120296,19790217,    0,    0
120296,19790218,    0,    0
120296,19790219,    0,    0
120296,19790220,    0,    0
120296,19790221,    0,    0
120296,19790222,    0,    0
120296,19790223,    0,    0
120296,19790224,    0,    0
120296,19790225,    0,    0
120296,19790226,    0,    0
120296,19790227,    0,    0
120296,19790228,    6,    0
120296,19790301,    0,    0
120296,19790302,    0,    0
120296,19790303,    0,    0
120296,19790304,    0,    0
120296,19790305,    0,    0
120296,19790306,    0,    0
120296,19790307,   30,    0
120296,19790308,   41,    0
120296,19790309,    0,    0
120296,19790310,    0,    0
120296,19790311,    0,    0
120296,19790312,    0,    0
120296,19790313,    0,    0
120296,19790314,   33,    0
120296,19790315,    7,    0
