EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, OURENSE (STAID: 3951).
Blended and updated with sources: 120368 908048 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
120368,19790101,   66,    0
120368,19790102,   40,    0
120368,19790103,  404,    0
120368,19790104,   56,    0
120368,19790105,    0,    0
120368,19790106,    0,    0
120368,19790107,    0,    0
120368,19790108,    0,    0
120368,19790109,    8,    0
120368,19790110,  138,    0
120368,19790111,   49,    0
120368,19790112,    3,    0
120368,19790113,    0,    0
120368,19790114,    0,    0
120368,19790115,    0,    0
120368,19790116,    0,    0
120368,19790117,    2,    0
120368,19790118,   30,    0
120368,19790119,  136,    0
120368,19790120,    0,    0
120368,19790121,   42,    0
120368,19790122,   14,    0
120368,19790123,    0,    0
120368,19790124,    3,    0
120368,19790125,   51,    0
120368,19790126,  167,    0
120368,19790127,  165,    0
120368,19790128,   86,    0
120368,19790129,  118,    0
120368,19790130,    0,    0
120368,19790131,   24,    0
120368,19790201,  144,    0
120368,19790202,  109,    0
120368,19790203,   44,    0
120368,19790204,  175,    0
120368,19790205,  148,    0
120368,19790206,  345,    0
120368,19790207,  102,    0
120368,19790208,   79,    0
120368,19790209,  348,    0
120368,19790210,  110,    0
120368,19790211,   30,    0
120368,19790212,  259,    0
120368,19790213,  205,    0
120368,19790214,  226,    0
120368,19790215,    6,    0
120368,19790216,    0,    0
120368,19790217,    0,    0
120368,19790218,   35,    0
120368,19790219,    0,    0
120368,19790220,    0,    0
120368,19790221,    0,    0
120368,19790222,    5,    0
120368,19790223,    0,    0
120368,19790224,    0,    0
120368,19790225,    0,    0
120368,19790226,    0,    0
120368,19790227,   41,    0
120368,19790228,   39,    0
120368,19790301,    0,    0
120368,19790302,    0,    0
120368,19790303,    0,    0
120368,19790304,    2,    0
120368,19790305,   28,    0
120368,19790306,   70,    0
120368,19790307,    0,    0
120368,19790308,    0,    0
120368,19790309,    0,    0
120368,19790310,    0,    0
120368,19790311,    0,    0
120368,19790312,    0,    0
120368,19790313,   21,    0
120368,19790314,   17,    0
120368,19790315,   24,    0
120368,19790316,   12,    0
120368,19790317,   37,    0
120368,19790318,  110,    0
120368,19790319,  122,    0
120368,19790320,   31,    0
120368,19790321,   14,    0
120368,19790322,   11,    0
120368,19790323,   13,    0
120368,19790324,  342,    0
120368,19790325,  252,    0
120368,19790326,   11,    0
120368,19790327,   56,    0
120368,19790328,   56,    0
120368,19790329,   22,    0
120368,19790330,   10,    0
120368,19790331,    0,    0
120368,19790401,    0,    0
120368,19790402,   50,    0
120368,19790403,   49,    0
120368,19790404,   10,    0
120368,19790405,   18,    0
120368,19790406,    0,    0
120368,19790407,    0,    0
120368,19790408,   84,    0
120368,19790409,  126,    0
120368,19790410,  188,    0
120368,19790411,   75,    0
120368,19790412,   62,    0
120368,19790413,   63,    0
120368,19790414,   72,    0
120368,19790415,    0,    0
120368,19790416,    0,    0
120368,19790417,    0,    0
120368,19790418,    0,    0
120368,19790419,    0,    0
120368,19790420,    0,    0
120368,19790421,    0,    0
120368,19790422,    0,    0
120368,19790423,   16,    0
120368,19790424,   20,    0
120368,19790425,    3,    0
120368,19790426,    0,    0
120368,19790427,    0,    0
120368,19790428,    0,    0
120368,19790429,    0,    0
120368,19790430,    0,    0
120368,19790501,    0,    0
120368,19790502,    0,    0
120368,19790503,    0,    0
120368,19790504,    0,    0
120368,19790505,    0,    0
120368,19790506,    0,    0
120368,19790507,    0,    0
120368,19790508,    0,    0
120368,19790509,    0,    0
120368,19790510,    0,    0
120368,19790511,    0,    0
120368,19790512,    0,    0
120368,19790513,    0,    0
120368,19790514,    0,    0
120368,19790515,    0,    0
120368,19790516,    0,    0
120368,19790517,    0,    0
120368,19790518,   73,    0
120368,19790519,  167,    0
120368,19790520,   33,    0
120368,19790521,   30,    0
120368,19790522,   50,    0
120368,19790523,   19,    0
120368,19790524,   10,    0
120368,19790525,    8,    0
120368,19790526,  124,    0
120368,19790527,   35,    0
120368,19790528,   18,    0
120368,19790529,  237,    0
120368,19790530,    7,    0
120368,19790531,    0,    0
120368,19790601,    0,    0
120368,19790602,    0,    0
120368,19790603,    0,    0
120368,19790604,    0,    0
120368,19790605,    0,    0
120368,19790606,    0,    0
120368,19790607,    0,    0
120368,19790608,    0,    0
120368,19790609,    0,    0
120368,19790610,    0,    0
120368,19790611,    3,    0
120368,19790612,    0,    0
120368,19790613,    0,    0
120368,19790614,    0,    0
120368,19790615,    0,    0
120368,19790616,    0,    0
120368,19790617,    0,    0
120368,19790618,    0,    0
120368,19790619,    0,    0
120368,19790620,    0,    0
120368,19790621,    0,    0
120368,19790622,    0,    0
120368,19790623,    0,    0
120368,19790624,    0,    0
120368,19790625,    0,    0
120368,19790626,    0,    0
120368,19790627,    0,    0
120368,19790628,    0,    0
120368,19790629,    0,    0
120368,19790630,    0,    0
120368,19790701,    0,    0
120368,19790702,    0,    0
120368,19790703,    0,    0
120368,19790704,    0,    0
120368,19790705,    0,    0
120368,19790706,    0,    0
120368,19790707,    0,    0
120368,19790708,    0,    0
120368,19790709,    0,    0
120368,19790710,    0,    0
120368,19790711,  232,    0
120368,19790712,    0,    0
120368,19790713,    0,    0
120368,19790714,    0,    0
120368,19790715,    0,    0
120368,19790716,    0,    0
120368,19790717,    0,    0
120368,19790718,    0,    0
120368,19790719,    0,    0
120368,19790720,    0,    0
120368,19790721,    0,    0
120368,19790722,    0,    0
120368,19790723,    0,    0
120368,19790724,    0,    0
120368,19790725,    0,    0
120368,19790726,    0,    0
120368,19790727,    0,    0
120368,19790728,    0,    0
120368,19790729,    0,    0
120368,19790730,    8,    0
120368,19790731,    2,    0
120368,19790801,    0,    0
120368,19790802,    5,    0
120368,19790803,    0,    0
120368,19790804,    0,    0
120368,19790805,    0,    0
120368,19790806,    0,    0
120368,19790807,    0,    0
120368,19790808,    0,    0
120368,19790809,    0,    0
120368,19790810,    0,    0
120368,19790811,    0,    0
120368,19790812,    0,    0
120368,19790813,    0,    0
120368,19790814,    1,    0
