EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, VALLADOLID (VILLANUBLA) (STAID: 3970).
Blended and updated with sources: 120602 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
120602,19790101,   28,    0
120602,19790102,    0,    0
120602,19790103,   58,    0
120602,19790104,    0,    0
120602,19790105,    0,    0
120602,19790106,    0,    0
120602,19790107,   17,    0
120602,19790108,    0,    0
120602,19790109,    0,    0
120602,19790110,    0,    0
120602,19790111,    0,    0
120602,19790112,    0,    0
120602,19790113,    0,    0
120602,19790114,    0,    0
120602,19790115,    0,    0
120602,19790116,    0,    0
120602,19790117,    0,    0
120602,19790118,  130,    0
120602,19790119,   50,    0
120602,19790120,    0,    0
120602,19790121,   17,    0
120602,19790122,    0,    0
120602,19790123,    0,    0
120602,19790124,    0,    0
120602,19790125,   12,    0
120602,19790126,  262,    0
120602,19790127,  151,    0
120602,19790128,    0,    0
120602,19790129,    0,    0
120602,19790130,    0,    0
120602,19790131,   37,    0
120602,19790201,  117,    0
120602,19790202,   20,    0
120602,19790203,    0,    0
120602,19790204,   54,    0
120602,19790205,   37,    0
120602,19790206,  150,    0
120602,19790207,  142,    0
120602,19790208,  108,    0
120602,19790209,  251,    0
120602,19790210,  154,    0
120602,19790211,    0,    0
120602,19790212,   67,    0
120602,19790213,   59,    0
120602,19790214,   65,    0
120602,19790215,    0,    0
120602,19790216,    0,    0
120602,19790217,    0,    0
120602,19790218,    4,    0
120602,19790219,    0,    0
120602,19790220,    0,    0
120602,19790221,   52,    0
120602,19790222,    0,    0
120602,19790223,    0,    0
120602,19790224,    0,    0
120602,19790225,    0,    0
120602,19790226,    0,    0
120602,19790227,   10,    0
120602,19790228,    6,    0
120602,19790301,    0,    0
120602,19790302,    0,    0
120602,19790303,    0,    0
120602,19790304,    0,    0
120602,19790305,    6,    0
120602,19790306,   20,    0
120602,19790307,   52,    0
120602,19790308,   32,    0
120602,19790309,    0,    0
120602,19790310,    0,    0
120602,19790311,    0,    0
120602,19790312,    0,    0
120602,19790313,    0,    0
120602,19790314,   99,    0
120602,19790315,    0,    0
120602,19790316,   69,    0
120602,19790317,   92,    0
120602,19790318,   56,    0
120602,19790319,   23,    0
120602,19790320,    0,    0
120602,19790321,    0,    0
120602,19790322,   60,    0
120602,19790323,  100,    0
120602,19790324,  222,    0
120602,19790325,   92,    0
120602,19790326,   56,    0
120602,19790327,   41,    0
120602,19790328,    0,    0
120602,19790329,    3,    0
120602,19790330,    0,    0
120602,19790331,    5,    0
120602,19790401,    0,    0
120602,19790402,    0,    0
120602,19790403,    0,    0
120602,19790404,   17,    0
120602,19790405,    0,    0
120602,19790406,    0,    0
120602,19790407,    0,    0
120602,19790408,   50,    0
120602,19790409,   55,    0
120602,19790410,   10,    0
120602,19790411,    0,    0
120602,19790412,    0,    0
120602,19790413,  111,    0
120602,19790414,    0,    0
120602,19790415,    0,    0
120602,19790416,    0,    0
120602,19790417,    0,    0
120602,19790418,    0,    0
120602,19790419,    0,    0
120602,19790420,    0,    0
120602,19790421,    0,    0
120602,19790422,    0,    0
120602,19790423,    0,    0
120602,19790424,    0,    0
120602,19790425,    0,    0
120602,19790426,    0,    0
120602,19790427,    0,    0
120602,19790428,    0,    0
120602,19790429,    0,    0
120602,19790430,    0,    0
120602,19790501,    0,    0
120602,19790502,    0,    0
120602,19790503,    0,    0
120602,19790504,    0,    0
120602,19790505,    0,    0
120602,19790506,    0,    0
120602,19790507,    0,    0
120602,19790508,    0,    0
120602,19790509,    0,    0
120602,19790510,    0,    0
120602,19790511,    0,    0
120602,19790512,    0,    0
120602,19790513,    0,    0
120602,19790514,    0,    0
