EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, HAPARANDA (STAID: 339).
Blended and updated with sources: 140622 140626 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140626,19790101,    0,    0
140626,19790102,    0,    0
140626,19790103,    0,    0
140626,19790104,    0,    0
140626,19790105,    3,    0
140626,19790106,   33,    0
140626,19790107,   49,    0
140626,19790108,    9,    0
140626,19790109,    3,    0
140626,19790110,    8,    0
140626,19790111,    1,    0
140626,19790112,    1,    0
140626,19790113,  118,    0
140626,19790114,    0,    0
140626,19790115,   25,    0
140626,19790116,    5,    0
140626,19790117,   47,    0
140626,19790118,    2,    0
140626,19790119,    0,    0
140626,19790120,    0,    0
140626,19790121,    9,    0
140626,19790122,   13,    0
140626,19790123,   28,    0
140626,19790124,    7,    0
140626,19790125,   12,    0
140626,19790126,    5,    0
140626,19790127,   11,    0
140626,19790128,    0,    0
140626,19790129,    0,    0
140626,19790130,    5,    0
140626,19790131,    0,    0
140626,19790201,   32,    0
140626,19790202,   52,    0
140626,19790203,   21,    0
140626,19790204,   15,    0
140626,19790205,    4,    0
140626,19790206,   48,    0
140626,19790207,   75,    0
140626,19790208,   11,    0
140626,19790209,    5,    0
140626,19790210,    2,    0
140626,19790211,    0,    0
140626,19790212,    0,    0
140626,19790213,    0,    0
140626,19790214,    0,    0
140626,19790215,    0,    0
140626,19790216,    0,    0
140626,19790217,    0,    0
140626,19790218,    0,    0
140626,19790219,    2,    0
140626,19790220,   17,    0
140626,19790221,    0,    0
140626,19790222,    8,    0
140626,19790223,    4,    0
140626,19790224,   16,    0
140626,19790225,   46,    0
140626,19790226,    5,    0
140626,19790227,    1,    0
140626,19790228,   74,    0
140626,19790301,    1,    0
140626,19790302,    4,    0
140626,19790303,   78,    0
140626,19790304,    0,    0
140626,19790305,    0,    0
140626,19790306,    0,    0
140626,19790307,   10,    0
140626,19790308,   20,    0
140626,19790309,   22,    0
140626,19790310,    0,    0
140626,19790311,    4,    0
140626,19790312,    7,    0
140626,19790313,    3,    0
140626,19790314,    0,    0
140626,19790315,    0,    0
140626,19790316,    0,    0
140626,19790317,    2,    0
140626,19790318,    1,    0
140626,19790319,   33,    0
140626,19790320,    3,    0
