EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, GOTEBORG A (STAID: 462).
Blended and updated with sources: 101863 138198 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
101863,19790101,    0,    0
101863,19790102,    0,    0
101863,19790103,    0,    0
101863,19790104,    0,    0
101863,19790105,   14,    0
101863,19790106,   49,    0
101863,19790107,   21,    0
101863,19790108,    2,    0
101863,19790109,    8,    0
101863,19790110,    5,    0
101863,19790111,   20,    0
101863,19790112,   51,    0
101863,19790113,   24,    0
101863,19790114,    0,    0
101863,19790115,    0,    0
101863,19790116,    0,    0
101863,19790117,    0,    0
101863,19790118,    0,    0
101863,19790119,    1,    0
101863,19790120,    0,    0
101863,19790121,    2,    0
101863,19790122,    1,    0
101863,19790123,    8,    0
101863,19790124,   11,    0
101863,19790125,   42,    0
101863,19790126,  147,    0
101863,19790127,    0,    0
101863,19790128,    2,    0
101863,19790129,    0,    0
101863,19790130,    4,    0
101863,19790131,    0,    0
101863,19790201,   12,    0
101863,19790202,   23,    0
101863,19790203,    9,    0
101863,19790204,    0,    0
101863,19790205,    0,    0
101863,19790206,    0,    0
101863,19790207,    5,    0
101863,19790208,    1,    0
101863,19790209,    0,    0
101863,19790210,    0,    0
101863,19790211,    0,    0
101863,19790212,    0,    0
101863,19790213,    0,    0
101863,19790214,    0,    0
101863,19790215,    0,    0
101863,19790216,    0,    0
101863,19790217,    0,    0
101863,19790218,   35,    0
101863,19790219,    5,    0
101863,19790220,    0,    0
101863,19790221,    0,    0
101863,19790222,   20,    0
101863,19790223,    0,    0
101863,19790224,    0,    0
101863,19790225,    0,    0
101863,19790226,    0,    0
101863,19790227,    5,    0
101863,19790228,    0,    0
101863,19790301,    4,    0
101863,19790302,   45,    0
101863,19790303,   13,    0
101863,19790304,    0,    0
101863,19790305,    0,    0
101863,19790306,    0,    0
101863,19790307,   17,    0
101863,19790308,   25,    0
101863,19790309,  163,    0
101863,19790310,    6,    0
101863,19790311,   50,    0
101863,19790312,   24,    0
101863,19790313,    0,    0
101863,19790314,    0,    0
101863,19790315,    0,    0
101863,19790316,    1,    0
101863,19790317,    0,    0
101863,19790318,    0,    0
101863,19790319,    0,    0
101863,19790320,    0,    0
101863,19790321,   31,    0
101863,19790322,   57,    0
101863,19790323,   70,    0
101863,19790324,    0,    0
101863,19790325,  106,    0
101863,19790326,   48,    0
101863,19790327,   19,    0
101863,19790328,   15,    0
101863,19790329,    0,    0
101863,19790330,   14,    0
101863,19790331,    0,    0
101863,19790401,   40,    0
101863,19790402,   30,    0
101863,19790403,  101,    0
101863,19790404,    0,    0
101863,19790405,    0,    0
101863,19790406,    0,    0
101863,19790407,    0,    0
101863,19790408,    0,    0
101863,19790409,    0,    0
101863,19790410,    0,    0
101863,19790411,    0,    0
101863,19790412,    1,    0
101863,19790413,    1,    0
101863,19790414,    0,    0
101863,19790415,    0,    0
