EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, HOBURG (STAID: 1420).
Blended and updated with sources: 137912 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137912,19790101,   45,    0
137912,19790102,   17,    0
137912,19790103,   43,    0
137912,19790104,    6,    0
137912,19790105,    0,    0
137912,19790106,    0,    0
137912,19790107,  126,    0
137912,19790108,    0,    0
137912,19790109,   48,    0
137912,19790110,   22,    0
137912,19790111,    3,    0
137912,19790112,   19,    0
137912,19790113,    0,    0
137912,19790114,    7,    0
137912,19790115,   15,    0
137912,19790116,    0,    0
137912,19790117,    3,    0
137912,19790118,    1,    0
137912,19790119,    0,    0
137912,19790120,    0,    0
137912,19790121,    1,    0
137912,19790122,    5,    0
137912,19790123,    7,    0
137912,19790124,   37,    0
137912,19790125,   10,    0
137912,19790126,    1,    0
137912,19790127,   32,    0
137912,19790128,    0,    0
137912,19790129,    0,    0
137912,19790130,  131,    0
137912,19790131,   30,    0
137912,19790201,   45,    0
137912,19790202,   11,    0
137912,19790203,  133,    0
137912,19790204,    5,    0
137912,19790205,    0,    0
137912,19790206,    0,    0
137912,19790207,    0,    0
137912,19790208,   30,    0
137912,19790209,    0,    0
137912,19790210,    0,    0
137912,19790211,    0,    0
137912,19790212,    0,    0
137912,19790213,    4,    0
137912,19790214,    5,    0
137912,19790215,    0,    0
137912,19790216,    0,    0
137912,19790217,    0,    0
137912,19790218,    0,    0
137912,19790219,    0,    0
137912,19790220,    0,    0
137912,19790221,    0,    0
137912,19790222,    0,    0
137912,19790223,    0,    0
137912,19790224,    0,    0
137912,19790225,    0,    0
137912,19790226,   11,    0
137912,19790227,    0,    0
137912,19790228,    0,    0
137912,19790301,    9,    0
137912,19790302,   10,    0
137912,19790303,   53,    0
137912,19790304,    0,    0
137912,19790305,    0,    0
137912,19790306,    0,    0
137912,19790307,   10,    0
137912,19790308,    0,    0
137912,19790309,   35,    0
137912,19790310,    7,    0
137912,19790311,    0,    0
137912,19790312,   10,    0
137912,19790313,    7,    0
137912,19790314,    2,    0
137912,19790315,    0,    0
137912,19790316,   45,    0
137912,19790317,   43,    0
137912,19790318,    0,    0
137912,19790319,    0,    0
137912,19790320,    0,    0
137912,19790321,   59,    0
137912,19790322,    0,    0
137912,19790323,    9,    0
137912,19790324,    0,    0
137912,19790325,   15,    0
137912,19790326,  136,    0
137912,19790327,    2,    0
137912,19790328,    0,    0
137912,19790329,    4,    0
137912,19790330,   17,    0
137912,19790331,  113,    0
137912,19790401,   68,    0
137912,19790402,    3,    0
137912,19790403,    0,    0
137912,19790404,    0,    0
137912,19790405,    0,    0
137912,19790406,    0,    0
137912,19790407,    0,    0
