EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, GOTSKA SANDON A (STAID: 3516).
Blended and updated with sources: 138480 138484 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138480,19790101,   61,    0
138480,19790102,  101,    0
138480,19790103,   82,    0
138480,19790104,   42,    0
138480,19790105,    0,    0
138480,19790106,    2,    0
138480,19790107,   53,    0
138480,19790108,    0,    0
138480,19790109,   29,    0
138480,19790110,   54,    0
138480,19790111,    0,    0
138480,19790112,  140,    0
138480,19790113,    0,    0
138480,19790114,   11,    0
138480,19790115,   30,    0
138480,19790116,    0,    0
138480,19790117,    1,    0
138480,19790118,    9,    0
138480,19790119,    1,    0
138480,19790120,    0,    0
138480,19790121,    1,    0
138480,19790122,    3,    0
138480,19790123,   14,    0
138480,19790124,   79,    0
138480,19790125,    9,    0
138480,19790126,   73,    0
138480,19790127,   10,    0
138480,19790128,    0,    0
138480,19790129,    0,    0
138480,19790130,  135,    0
138480,19790131,   56,    0
138480,19790201,   65,    0
138480,19790202,   22,    0
138480,19790203,   68,    0
138480,19790204,   10,    0
138480,19790205,    4,    0
138480,19790206,    2,    0
138480,19790207,    0,    0
138480,19790208,    4,    0
138480,19790209,    0,    0
138480,19790210,    0,    0
138480,19790211,    0,    0
138480,19790212,    0,    0
138480,19790213,   12,    0
138480,19790214,   10,    0
138480,19790215,    3,    0
138480,19790216,    0,    0
138480,19790217,    0,    0
138480,19790218,    0,    0
138480,19790219,    0,    0
138480,19790220,    0,    0
138480,19790221,    0,    0
138480,19790222,    0,    0
138480,19790223,    0,    0
138480,19790224,    0,    0
138480,19790225,    0,    0
138480,19790226,    0,    0
138480,19790227,    0,    0
138480,19790228,    0,    0
138480,19790301,    0,    0
138480,19790302,   17,    0
138480,19790303,    0,    0
138480,19790304,    0,    0
138480,19790305,    0,    0
138480,19790306,    0,    0
138480,19790307,    0,    0
138480,19790308,    0,    0
138480,19790309,    0,    0
138480,19790310,   21,    0
138480,19790311,    0,    0
138480,19790312,   37,    0
138480,19790313,   14,    0
138480,19790314,   14,    0
138480,19790315,    2,    0
138480,19790316,   13,    0
138480,19790317,    8,    0
138480,19790318,    1,    0
138480,19790319,    0,    0
138480,19790320,    0,    0
138480,19790321,   49,    0
138480,19790322,    0,    0
138480,19790323,   30,    0
138480,19790324,    2,    0
138480,19790325,    0,    0
138480,19790326,   48,    0
138480,19790327,   60,    0
138480,19790328,    0,    0
138480,19790329,   21,    0
138480,19790330,    6,    0
138480,19790331,   69,    0
138480,19790401,   45,    0
138480,19790402,   39,    0
138480,19790403,    3,    0
138480,19790404,    0,    0
138480,19790405,    0,    0
138480,19790406,    0,    0
138480,19790407,    0,    0
138480,19790408,    0,    0
138480,19790409,    0,    0
138480,19790410,    0,    0
138480,19790411,    0,    0
138480,19790412,    0,    0
138480,19790413,   22,    0
138480,19790414,    0,    0
138480,19790415,    0,    0
138480,19790416,    0,    0
138480,19790417,    0,    0
138480,19790418,    0,    0
138480,19790419,    0,    0
138480,19790420,    4,    0
138480,19790421,   65,    0
138480,19790422,   18,    0
138480,19790423,    0,    0
138480,19790424,    0,    0
138480,19790425,   30,    0
138480,19790426,    3,    0
138480,19790427,    0,    0
138480,19790428,    0,    0
138480,19790429,  118,    0
138480,19790430,   63,    0
138480,19790501,    0,    0
138480,19790502,   39,    0
138480,19790503,    0,    0
138480,19790504,    3,    0
138480,19790505,   26,    0
138480,19790506,    2,    0
138480,19790507,    0,    0
138480,19790508,   33,    0
138480,19790509,    0,    0
138480,19790510,   72,    0
138480,19790511,    4,    0
138480,19790512,    0,    0
138480,19790513,    0,    0
138480,19790514,    0,    0
138480,19790515,    0,    0
138480,19790516,    0,    0
138480,19790517,   18,    0
138480,19790518,   22,    0
138480,19790519,    0,    0
138480,19790520,    0,    0
138480,19790521,    0,    0
138480,19790522,    0,    0
138480,19790523,    0,    0
138480,19790524,    0,    0
138480,19790525,    0,    0
138480,19790526,    0,    0
138480,19790527,    0,    0
138480,19790528,    0,    0
138480,19790529,    0,    0
138480,19790530,    0,    0
138480,19790531,    0,    0
138480,19790601,    0,    0
138480,19790602,    0,    0
138480,19790603,    0,    0
138480,19790604,    0,    0
138480,19790605,    0,    0
138480,19790606,    0,    0
138480,19790607,    0,    0
138480,19790608,    2,    0
138480,19790609,   97,    0
138480,19790610,    0,    0
138480,19790611,    0,    0
138480,19790612,    0,    0
138480,19790613,    0,    0
138480,19790614,    0,    0
138480,19790615,    0,    0
138480,19790616,   41,    0
138480,19790617,    0,    0
138480,19790618,    0,    0
138480,19790619,    0,    0
138480,19790620,    0,    0
138480,19790621,    0,    0
138480,19790622,    0,    0
138480,19790623,    0,    0
138480,19790624,    0,    0
138480,19790625,   46,    0
138480,19790626,    0,    0
138480,19790627,    0,    0
138480,19790628,    0,    0
138480,19790629,    0,    0
138480,19790630,    0,    0
138480,19790701,    0,    0
138480,19790702,    9,    0
138480,19790703,   42,    0
138480,19790704,    0,    0
138480,19790705,  310,    0
138480,19790706,   31,    0
138480,19790707,   37,    0
138480,19790708,    4,    0
138480,19790709,   49,    0
138480,19790710,   16,    0
138480,19790711,    3,    0
138480,19790712,    8,    0
138480,19790713,    0,    0
138480,19790714,    0,    0
138480,19790715,    0,    0
138480,19790716,    0,    0
138480,19790717,   24,    0
138480,19790718,   58,    0
138480,19790719,  157,    0
138480,19790720,    3,    0
138480,19790721,    6,    0
138480,19790722,   34,    0
138480,19790723,   17,    0
138480,19790724,  181,    0
138480,19790725,    3,    0
138480,19790726,    3,    0
138480,19790727,    0,    0
138480,19790728,    0,    0
138480,19790729,    0,    0
138480,19790730,   22,    0
138480,19790731,    9,    0
138480,19790801,    0,    0
138480,19790802,    0,    0
138480,19790803,    3,    0
138480,19790804,    0,    0
138480,19790805,    0,    0
138480,19790806,    0,    0
138480,19790807,    0,    0
138480,19790808,    0,    0
138480,19790809,   22,    0
138480,19790810,   62,    0
138480,19790811,    6,    0
138480,19790812,    0,    0
138480,19790813,    0,    0
138480,19790814,    0,    0
138480,19790815,    0,    0
138480,19790816,    0,    0
138480,19790817,    0,    0
138480,19790818,    0,    0
138480,19790819,   68,    0
138480,19790820,   15,    0
138480,19790821,    0,    0
138480,19790822,    0,    0
138480,19790823,    1,    0
138480,19790824,    0,    0
138480,19790825,  154,    0
138480,19790826,   15,    0
138480,19790827,   34,    0
138480,19790828,    0,    0
138480,19790829,    0,    0
138480,19790830,    0,    0
138480,19790831,    0,    0
138480,19790901,    0,    0
138480,19790902,    2,    0
138480,19790903,   10,    0
138480,19790904,    0,    0
138480,19790905,    0,    0
138480,19790906,    0,    0
138480,19790907,    0,    0
138480,19790908,    0,    0
138480,19790909,   72,    0
138480,19790910,    0,    0
138480,19790911,   20,    0
138480,19790912,    0,    0
138480,19790913,    5,    0
138480,19790914,    0,    0
138480,19790915,    0,    0
138480,19790916,    0,    0
138480,19790917,   72,    0
138480,19790918,   40,    0
138480,19790919,    0,    0
138480,19790920,   60,    0
138480,19790921,    0,    0
138480,19790922,    0,    0
138480,19790923,    0,    0
138480,19790924,    0,    0
138480,19790925,    0,    0
138480,19790926,   12,    0
138480,19790927,    0,    0
138480,19790928,    0,    0
138480,19790929,    1,    0
138480,19790930,   12,    0
138480,19791001,    1,    0
138480,19791002,    0,    0
138480,19791003,    0,    0
138480,19791004,    0,    0
138480,19791005,    0,    0
138480,19791006,    0,    0
138480,19791007,    0,    0
138480,19791008,    0,    0
138480,19791009,    0,    0
138480,19791010,    0,    0
138480,19791011,    0,    0
138480,19791012,    0,    0
138480,19791013,    0,    0
138480,19791014,    0,    0
138480,19791015,    4,    0
138480,19791016,   64,    0
138480,19791017,    6,    0
138480,19791018,    4,    0
138480,19791019,   45,    0
138480,19791020,    0,    0
138480,19791021,    0,    0
138480,19791022,    0,    0
138480,19791023,    0,    0
138480,19791024,    0,    0
138480,19791025,    0,    0
138480,19791026,    0,    0
138480,19791027,    0,    0
138480,19791028,    2,    0
138480,19791029,    1,    0
138480,19791030,    6,    0
138480,19791031,    0,    0
138480,19791101,    0,    0
138480,19791102,    3,    0
138480,19791103,    0,    0
138480,19791104,   86,    0
138480,19791105,    0,    0
138480,19791106,   23,    0
138480,19791107,   32,    0
138480,19791108,   11,    0
138480,19791109,    6,    0
138480,19791110,    0,    0
138480,19791111,   20,    0
138480,19791112,    0,    0
138480,19791113,   12,    0
138480,19791114,    0,    0
138480,19791115,    0,    0
138480,19791116,  162,    0
138480,19791117,    0,    0
138480,19791118,   12,    0
138480,19791119,   16,    0
138480,19791120,   40,    0
138480,19791121,    3,    0
138480,19791122,    2,    0
138480,19791123,    3,    0
138480,19791124,   19,    0
138480,19791125,   72,    0
138480,19791126,  250,    0
138480,19791127,    6,    0
138480,19791128,    5,    0
138480,19791129,   45,    0
138480,19791130,    0,    0
138480,19791201,    0,    0
138480,19791202,   29,    0
138480,19791203,   34,    0
138480,19791204,    9,    0
