EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, KALLSJO (STAID: 5264).
Blended and updated with sources: 138016 138040 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138040,19790101,    0,    0
138040,19790102,    0,    0
138040,19790103,    3,    0
138040,19790104,    0,    0
138040,19790105,    6,    0
138040,19790106,   59,    0
138040,19790107,  170,    0
138040,19790108,   16,    0
138040,19790109,   13,    0
138040,19790110,    0,    0
138040,19790111,   22,    0
138040,19790112,   78,    0
138040,19790113,    0,    0
138040,19790114,    0,    0
138040,19790115,    0,    0
138040,19790116,    0,    0
138040,19790117,    0,    0
138040,19790118,    0,    0
138040,19790119,    4,    0
138040,19790120,    0,    0
138040,19790121,    4,    0
138040,19790122,    9,    0
138040,19790123,    3,    0
138040,19790124,   37,    0
138040,19790125,   90,    0
138040,19790126,  116,    0
138040,19790127,    0,    0
138040,19790128,    0,    0
138040,19790129,    0,    0
138040,19790130,    9,    0
138040,19790131,    7,    0
138040,19790201,   69,    0
138040,19790202,   24,    0
138040,19790203,   29,    0
138040,19790204,    0,    0
138040,19790205,    0,    0
138040,19790206,    0,    0
138040,19790207,   22,    0
138040,19790208,   29,    0
138040,19790209,    0,    0
138040,19790210,    0,    0
138040,19790211,    0,    0
138040,19790212,    0,    0
138040,19790213,    0,    0
138040,19790214,    0,    0
138040,19790215,    0,    0
138040,19790216,    0,    0
138040,19790217,    0,    0
138040,19790218,   40,    0
138040,19790219,    8,    0
138040,19790220,    0,    0
138040,19790221,    0,    0
138040,19790222,   20,    0
138040,19790223,    0,    0
138040,19790224,    0,    0
138040,19790225,    0,    0
138040,19790226,   83,    0
138040,19790227,   10,    0
138040,19790228,    0,    0
138040,19790301,    9,    0
138040,19790302,  198,    0
138040,19790303,   25,    0
138040,19790304,    0,    0
138040,19790305,    0,    0
138040,19790306,    0,    0
138040,19790307,   15,    0
138040,19790308,   36,    0
138040,19790309,  245,    0
138040,19790310,    0,    0
138040,19790311,   52,    0
138040,19790312,   34,    0
138040,19790313,    0,    0
138040,19790314,    0,    0
138040,19790315,    0,    0
138040,19790316,   25,    0
138040,19790317,    0,    0
138040,19790318,    6,    0
138040,19790319,   19,    0
138040,19790320,    0,    0
138040,19790321,   19,    0
138040,19790322,   80,    0
138040,19790323,   43,    0
138040,19790324,    0,    0
138040,19790325,   78,    0
138040,19790326,   85,    0
138040,19790327,   47,    0
138040,19790328,    0,    0
138040,19790329,    0,    0
138040,19790330,   24,    0
138040,19790331,    0,    0
138040,19790401,   58,    0
138040,19790402,   45,    0
138040,19790403,   64,    0
138040,19790404,    0,    0
138040,19790405,    0,    0
138040,19790406,    0,    0
138040,19790407,    0,    0
138040,19790408,    0,    0
138040,19790409,    0,    0
138040,19790410,    0,    0
138040,19790411,    0,    0
138040,19790412,    0,    0
138040,19790413,   35,    0
138040,19790414,    0,    0
138040,19790415,    0,    0
138040,19790416,    0,    0
138040,19790417,    0,    0
138040,19790418,    0,    0
138040,19790419,    0,    0
138040,19790420,   30,    0
138040,19790421,    5,    0
138040,19790422,   42,    0
138040,19790423,   10,    0
138040,19790424,   50,    0
138040,19790425,   19,    0
138040,19790426,    0,    0
138040,19790427,    0,    0
138040,19790428,    0,    0
138040,19790429,  320,    0
138040,19790430,   83,    0
138040,19790501,   46,    0
138040,19790502,  112,    0
138040,19790503,    4,    0
138040,19790504,    0,    0
138040,19790505,    0,    0
138040,19790506,    0,    0
138040,19790507,   98,    0
138040,19790508,   62,    0
138040,19790509,   23,    0
138040,19790510,   47,    0
138040,19790511,    0,    0
138040,19790512,    0,    0
138040,19790513,    0,    0
138040,19790514,    0,    0
138040,19790515,    0,    0
138040,19790516,    0,    0
138040,19790517,   23,    0
138040,19790518,    3,    0
138040,19790519,    0,    0
138040,19790520,    0,    0
138040,19790521,    0,    0
138040,19790522,   66,    0
138040,19790523,   81,    0
138040,19790524,    9,    0
138040,19790525,   37,    0
138040,19790526,    5,    0
138040,19790527,  260,    0
138040,19790528,    0,    0
138040,19790529,    9,    0
138040,19790530,    0,    0
138040,19790531,    0,    0
138040,19790601,    0,    0
138040,19790602,  104,    0
138040,19790603,    0,    0
138040,19790604,    0,    0
138040,19790605,    0,    0
138040,19790606,    0,    0
138040,19790607,   42,    0
138040,19790608,   14,    0
138040,19790609,   20,    0
138040,19790610,    0,    0
138040,19790611,    0,    0
138040,19790612,    6,    0
138040,19790613,    4,    0
138040,19790614,   28,    0
138040,19790615,   16,    0
138040,19790616,    0,    0
138040,19790617,    0,    0
138040,19790618,    0,    0
138040,19790619,    0,    0
138040,19790620,    0,    0
138040,19790621,    0,    0
138040,19790622,    5,    0
138040,19790623,    3,    0
138040,19790624,   36,    0
138040,19790625,   20,    0
138040,19790626,   50,    0
138040,19790627,    0,    0
138040,19790628,   68,    0
138040,19790629,   10,    0
138040,19790630,   34,    0
138040,19790701,    0,    0
138040,19790702,    4,    0
138040,19790703,    0,    0
138040,19790704,    0,    0
138040,19790705,    0,    0
138040,19790706,   10,    0
138040,19790707,    0,    0
138040,19790708,  180,    0
138040,19790709,   17,    0
138040,19790710,   50,    0
138040,19790711,   49,    0
138040,19790712,    0,    0
138040,19790713,    0,    0
138040,19790714,    0,    0
138040,19790715,    0,    0
138040,19790716,    0,    0
138040,19790717,    0,    0
138040,19790718,   65,    0
138040,19790719,  195,    0
138040,19790720,    9,    0
138040,19790721,    0,    0
138040,19790722,    0,    0
138040,19790723,   13,    0
138040,19790724,    0,    0
138040,19790725,    0,    0
138040,19790726,    0,    0
138040,19790727,    0,    0
138040,19790728,    0,    0
138040,19790729,  308,    0
138040,19790730,   80,    0
138040,19790731,   65,    0
138040,19790801,  156,    0
138040,19790802,   47,    0
138040,19790803,   45,    0
138040,19790804,    5,    0
138040,19790805,    0,    0
138040,19790806,    0,    0
138040,19790807,    0,    0
138040,19790808,   24,    0
138040,19790809,    3,    0
138040,19790810,   46,    0
138040,19790811,   59,    0
138040,19790812,    0,    0
138040,19790813,    0,    0
138040,19790814,    0,    0
138040,19790815,   18,    0
138040,19790816,   17,    0
138040,19790817,    0,    0
138040,19790818,    0,    0
138040,19790819,   40,    0
138040,19790820,  175,    0
138040,19790821,   29,    0
138040,19790822,   21,    0
138040,19790823,   26,    0
138040,19790824,    0,    0
138040,19790825,   25,    0
138040,19790826,  533,    0
138040,19790827,   19,    0
138040,19790828,    0,    0
138040,19790829,    0,    0
138040,19790830,    0,    0
138040,19790831,    0,    0
138040,19790901,    0,    0
138040,19790902,   15,    0
138040,19790903,    0,    0
138040,19790904,    0,    0
138040,19790905,   10,    0
138040,19790906,    0,    0
138040,19790907,    0,    0
138040,19790908,    5,    0
138040,19790909,   12,    0
138040,19790910,    0,    0
138040,19790911,   48,    0
138040,19790912,    8,    0
138040,19790913,    7,    0
138040,19790914,   56,    0
138040,19790915,    0,    0
138040,19790916,  104,    0
138040,19790917,  205,    0
138040,19790918,   54,    0
138040,19790919,    0,    0
138040,19790920,  101,    0
138040,19790921,    5,    0
138040,19790922,    0,    0
138040,19790923,   30,    0
138040,19790924,    0,    0
138040,19790925,   15,    0
138040,19790926,  205,    0
138040,19790927,    0,    0
138040,19790928,    0,    0
138040,19790929,    0,    0
138040,19790930,    0,    0
138040,19791001,    0,    0
138040,19791002,    0,    0
138040,19791003,    0,    0
138040,19791004,    0,    0
138040,19791005,    0,    0
138040,19791006,    0,    0
138040,19791007,    0,    0
138040,19791008,    0,    0
138040,19791009,    8,    0
138040,19791010,    0,    0
138040,19791011,    0,    0
138040,19791012,    0,    0
138040,19791013,    0,    0
138040,19791014,    0,    0
138040,19791015,   40,    0
138040,19791016,   52,    0
138040,19791017,    0,    0
138040,19791018,  100,    0
138040,19791019,   95,    0
138040,19791020,    0,    0
138040,19791021,   15,    0
138040,19791022,    0,    0
138040,19791023,    0,    0
138040,19791024,    0,    0
138040,19791025,    0,    0
138040,19791026,    0,    0
138040,19791027,    0,    0
138040,19791028,    0,    0
138040,19791029,    0,    0
138040,19791030,    0,    0
138040,19791031,   49,    0
138040,19791101,   50,    0
138040,19791102,    9,    0
138040,19791103,   22,    0
138040,19791104,  259,    0
138040,19791105,   48,    0
138040,19791106,    0,    0
138040,19791107,    0,    0
138040,19791108,    9,    0
138040,19791109,    0,    0
138040,19791110,   18,    0
138040,19791111,   63,    0
138040,19791112,  159,    0
138040,19791113,   39,    0
138040,19791114,    0,    0
138040,19791115,   42,    0
138040,19791116,  133,    0
138040,19791117,   17,    0
138040,19791118,   14,    0
138040,19791119,   30,    0
138040,19791120,    0,    0
138040,19791121,    0,    0
138040,19791122,   78,    0
138040,19791123,  156,    0
138040,19791124,    7,    0
138040,19791125,  265,    0
138040,19791126,  292,    0
138040,19791127,    0,    0
138040,19791128,   33,    0
138040,19791129,   12,    0
138040,19791130,   36,    0
138040,19791201,    7,    0
138040,19791202,   64,    0
138040,19791203,   63,    0
138040,19791204,   60,    0
138040,19791205,   22,    0
138040,19791206,    0,    0
138040,19791207,    0,    0
138040,19791208,    0,    0
138040,19791209,   34,    0
138040,19791210,  100,    0
138040,19791211,    0,    0
138040,19791212,    0,    0
138040,19791213,    0,    0
138040,19791214,    3,    0
138040,19791215,   44,    0
138040,19791216,    4,    0
138040,19791217,  229,    0
138040,19791218,    0,    0
138040,19791219,    0,    0
138040,19791220,    0,    0
138040,19791221,    0,    0
138040,19791222,   15,    0
138040,19791223,   13,    0
138040,19791224,    0,    0
138040,19791225,   10,    0
138040,19791226,    4,    0
138040,19791227,  130,    0
138040,19791228,  133,    0
138040,19791229,   27,    0
138040,19791230,   28,    0
138040,19791231,    3,    0
138040,19800101,    0,    0
138040,19800102,    0,    0
138040,19800103,    0,    0
138040,19800104,    6,    0
138040,19800105,    0,    0
138040,19800106,   20,    0
138040,19800107,    0,    0
138040,19800108,    0,    0
138040,19800109,   12,    0
138040,19800110,    0,    0
138040,19800111,    0,    0
138040,19800112,    0,    0
138040,19800113,    9,    0
138040,19800114,   47,    0
138040,19800115,    0,    0
138040,19800116,    0,    0
138040,19800117,    0,    0
138040,19800118,    0,    0
138040,19800119,    0,    0
138040,19800120,    0,    0
138040,19800121,    0,    0
138040,19800122,   46,    0
138040,19800123,   18,    0
138040,19800124,    0,    0
138040,19800125,    0,    0
138040,19800126,    0,    0
138040,19800127,    0,    0
138040,19800128,   62,    0
138040,19800129,   23,    0
138040,19800130,   80,    0
138040,19800131,   24,    0
138040,19800201,   15,    0
138040,19800202,    0,    0
138040,19800203,    0,    0
138040,19800204,    0,    0
138040,19800205,    0,    0
138040,19800206,    0,    0
138040,19800207,   39,    0
138040,19800208,    0,    0
138040,19800209,   67,    0
138040,19800210,  103,    0
138040,19800211,    0,    0
138040,19800212,    0,    0
138040,19800213,   23,    0
138040,19800214,   17,    0
138040,19800215,  127,    0
138040,19800216,    0,    0
138040,19800217,    0,    0
138040,19800218,    0,    0
138040,19800219,    0,    0
138040,19800220,    0,    0
138040,19800221,    0,    0
138040,19800222,    0,    0
138040,19800223,    0,    0
138040,19800224,    0,    0
138040,19800225,    0,    0
138040,19800226,    0,    0
138040,19800227,    0,    0
138040,19800228,    0,    0
138040,19800229,    0,    0
138040,19800301,    0,    0
138040,19800302,    6,    0
138040,19800303,    0,    0
138040,19800304,    0,    0
138040,19800305,   26,    0
138040,19800306,   15,    0
138040,19800307,   17,    0
138040,19800308,    0,    0
138040,19800309,    0,    0
138040,19800310,    0,    0
138040,19800311,    0,    0
138040,19800312,    0,    0
138040,19800313,    0,    0
138040,19800314,    0,    0
138040,19800315,    0,    0
138040,19800316,    0,    0
138040,19800317,    0,    0
138040,19800318,    0,    0
138040,19800319,    0,    0
138040,19800320,    0,    0
138040,19800321,    0,    0
138040,19800322,    0,    0
138040,19800323,    0,    0
138040,19800324,    0,    0
138040,19800325,    0,    0
138040,19800326,    0,    0
138040,19800327,   17,    0
138040,19800328,   80,    0
138040,19800329,   13,    0
138040,19800330,   16,    0
138040,19800331,    0,    0
138040,19800401,    0,    0
138040,19800402,    0,    0
138040,19800403,    0,    0
138040,19800404,    0,    0
138040,19800405,    0,    0
138040,19800406,    0,    0
138040,19800407,    4,    0
138040,19800408,   13,    0
138040,19800409,    3,    0
138040,19800410,    0,    0
138040,19800411,    0,    0
138040,19800412,    0,    0
138040,19800413,    0,    0
138040,19800414,    0,    0
138040,19800415,    0,    0
138040,19800416,    0,    0
138040,19800417,    6,    0
138040,19800418,    0,    0
138040,19800419,   16,    0
138040,19800420,    0,    0
138040,19800421,    0,    0
138040,19800422,    0,    0
138040,19800423,    0,    0
138040,19800424,   28,    0
138040,19800425,    6,    0
138040,19800426,   12,    0
138040,19800427,   10,    0
138040,19800428,   55,    0
138040,19800429,    0,    0
138040,19800430,    0,    0
138040,19800501,    0,    0
138040,19800502,    0,    0
138040,19800503,    0,    0
138040,19800504,    0,    0
138040,19800505,    0,    0
138040,19800506,    0,    0
138040,19800507,   52,    0
138040,19800508,   37,    0
138040,19800509,    0,    0
138040,19800510,    0,    0
138040,19800511,    0,    0
138040,19800512,    0,    0
138040,19800513,    0,    0
138040,19800514,    0,    0
138040,19800515,    0,    0
138040,19800516,    0,    0
138040,19800517,    0,    0
138040,19800518,    0,    0
138040,19800519,    0,    0
138040,19800520,   31,    0
138040,19800521,    0,    0
138040,19800522,    0,    0
138040,19800523,    0,    0
138040,19800524,    0,    0
138040,19800525,   52,    0
138040,19800526,    0,    0
138040,19800527,    0,    0
138040,19800528,    6,    0
138040,19800529,  109,    0
138040,19800530,   10,    0
138040,19800531,    0,    0
138040,19800601,    0,    0
138040,19800602,   17,    0
138040,19800603,    0,    0
138040,19800604,    0,    0
138040,19800605,   10,    0
138040,19800606,    0,    0
138040,19800607,    0,    0
138040,19800608,   20,    0
138040,19800609,   12,    0
138040,19800610,    0,    0
138040,19800611,   42,    0
138040,19800612,    0,    0
138040,19800613,    0,    0
138040,19800614,    0,    0
138040,19800615,  142,    0
138040,19800616,   15,    0
138040,19800617,   36,    0
138040,19800618,   18,    0
138040,19800619,   58,    0
138040,19800620,   52,    0
138040,19800621,   97,    0
138040,19800622,    0,    0
138040,19800623,   25,    0
138040,19800624,   55,    0
138040,19800625,  110,    0
138040,19800626,  127,    0
138040,19800627,  210,    0
138040,19800628,  236,    0
138040,19800629,   10,    0
138040,19800630,   11,    0
138040,19800701,  177,    0
138040,19800702,    0,    0
138040,19800703,    0,    0
138040,19800704,    4,    0
138040,19800705,   22,    0
138040,19800706,  131,    0
138040,19800707,   10,    0
138040,19800708,    0,    0
138040,19800709,   18,    0
138040,19800710,    0,    0
138040,19800711,    0,    0
138040,19800712,    7,    0
138040,19800713,   60,    0
138040,19800714,   81,    0
138040,19800715,   55,    0
138040,19800716,  183,    0
138040,19800717,    0,    0
138040,19800718,   52,    0
138040,19800719,  140,    0
138040,19800720,   66,    0
138040,19800721,    0,    0
138040,19800722,    0,    0
138040,19800723,    0,    0
138040,19800724,    0,    0
138040,19800725,    0,    0
138040,19800726,    0,    0
138040,19800727,    0,    0
138040,19800728,    0,    0
138040,19800729,    0,    0
138040,19800730,    0,    0
138040,19800731,    0,    0
138040,19800801,  110,    0
138040,19800802,   17,    0
138040,19800803,   73,    0
138040,19800804,    4,    0
138040,19800805,  268,    0
138040,19800806,   17,    0
138040,19800807,    0,    0
138040,19800808,   57,    0
138040,19800809,    0,    0
138040,19800810,    0,    0
138040,19800811,    0,    0
138040,19800812,    0,    0
138040,19800813,    0,    0
138040,19800814,    0,    0
138040,19800815,    0,    0
138040,19800816,    0,    0
138040,19800817,    0,    0
138040,19800818,    4,    0
138040,19800819,   65,    0
138040,19800820,  144,    0
138040,19800821,   25,    0
138040,19800822,   32,    0
138040,19800823,   39,    0
138040,19800824,   65,    0
138040,19800825,   30,    0
138040,19800826,   22,    0
138040,19800827,    0,    0
138040,19800828,   55,    0
138040,19800829,    8,    0
138040,19800830,  175,    0
138040,19800831,    0,    0
138040,19800901,    0,    0
138040,19800902,   10,    0
138040,19800903,    0,    0
138040,19800904,    0,    0
138040,19800905,    5,    0
138040,19800906,    4,    0
138040,19800907,    0,    0
138040,19800908,   20,    0
138040,19800909,  152,    0
138040,19800910,   97,    0
138040,19800911,   30,    0
138040,19800912,   77,    0
138040,19800913,  315,    0
138040,19800914,   23,    0
138040,19800915,    0,    0
138040,19800916,    0,    0
138040,19800917,  110,    0
138040,19800918,    0,    0
138040,19800919,   22,    0
138040,19800920,    0,    0
138040,19800921,    0,    0
138040,19800922,    0,    0
138040,19800923,    0,    0
138040,19800924,   36,    0
138040,19800925,    0,    0
138040,19800926,    0,    0
138040,19800927,    0,    0
138040,19800928,    0,    0
138040,19800929,   65,    0
138040,19800930,    0,    0
138040,19801001,   54,    0
138040,19801002,    0,    0
138040,19801003,    0,    0
138040,19801004,    0,    0
138040,19801005,   32,    0
138040,19801006,  292,    0
138040,19801007,  280,    0
138040,19801008,  197,    0
138040,19801009,  167,    0
138040,19801010,   29,    0
138040,19801011,    0,    0
138040,19801012,    0,    0
138040,19801013,    0,    0
138040,19801014,   81,    0
138040,19801015,    8,    0
138040,19801016,    0,    0
138040,19801017,   18,    0
138040,19801018,   13,    0
138040,19801019,    5,    0
138040,19801020,   18,    0
138040,19801021,    0,    0
138040,19801022,   42,    0
138040,19801023,  154,    0
138040,19801024,  116,    0
138040,19801025,    0,    0
138040,19801026,    0,    0
138040,19801027,   68,    0
138040,19801028,   82,    0
138040,19801029,  122,    0
138040,19801030,    5,    0
138040,19801031,    0,    0
138040,19801101,    0,    0
138040,19801102,    0,    0
138040,19801103,    0,    0
138040,19801104,    0,    0
138040,19801105,    0,    0
138040,19801106,    0,    0
138040,19801107,    0,    0
138040,19801108,   10,    0
138040,19801109,    0,    0
138040,19801110,    4,    0
138040,19801111,   85,    0
138040,19801112,    0,    0
138040,19801113,   63,    0
138040,19801114,   50,    0
138040,19801115,   85,    0
138040,19801116,   48,    0
138040,19801117,  380,    0
138040,19801118,   81,    0
138040,19801119,    0,    0
138040,19801120,  139,    0
138040,19801121,    0,    0
138040,19801122,  138,    0
138040,19801123,    0,    0
138040,19801124,   52,    0
138040,19801125,   41,    0
138040,19801126,   12,    0
138040,19801127,  134,    0
138040,19801128,    0,    0
138040,19801129,    0,    0
138040,19801130,    0,    0
138040,19801201,  153,    0
138040,19801202,   16,    0
138040,19801203,    0,    0
138040,19801204,    0,    0
138040,19801205,    0,    0
138040,19801206,    0,    0
138040,19801207,    0,    0
138040,19801208,    0,    0
138040,19801209,  133,    0
138040,19801210,  259,    0
138040,19801211,   69,    0
138040,19801212,   75,    0
138040,19801213,  262,    0
138040,19801214,   77,    0
138040,19801215,  105,    0
138040,19801216,    3,    0
138040,19801217,  208,    0
138040,19801218,   55,    0
138040,19801219,   17,    0
138040,19801220,   22,    0
138040,19801221,    0,    0
138040,19801222,  172,    0
138040,19801223,  103,    0
138040,19801224,  172,    0
138040,19801225,   90,    0
138040,19801226,    7,    0
138040,19801227,    5,    0
138040,19801228,   58,    0
138040,19801229,  106,    0
138040,19801230,   74,    0
138040,19801231,   67,    0
138040,19810101,    0,    0
138040,19810102,   34,    0
138040,19810103,   25,    0
138040,19810104,   26,    0
138040,19810105,    0,    0
138040,19810106,    0,    0
138040,19810107,    0,    0
138040,19810108,  100,    0
138040,19810109,   44,    0
138040,19810110,    0,    0
138040,19810111,   21,    0
138040,19810112,   76,    0
138040,19810113,   14,    0
138040,19810114,  392,    0
138040,19810115,    5,    0
138040,19810116,    0,    0
138040,19810117,    0,    0
138040,19810118,    0,    0
138040,19810119,    0,    0
138040,19810120,    0,    0
138040,19810121,    0,    0
138040,19810122,   14,    0
138040,19810123,   21,    0
138040,19810124,   35,    0
138040,19810125,    0,    0
138040,19810126,    0,    0
138040,19810127,    5,    0
138040,19810128,    7,    0
138040,19810129,    8,    0
138040,19810130,    0,    0
138040,19810131,    0,    0
138040,19810201,    0,    0
138040,19810202,   84,    0
138040,19810203,  109,    0
138040,19810204,    0,    0
138040,19810205,    0,    0
138040,19810206,  146,    0
138040,19810207,  120,    0
138040,19810208,    0,    0
138040,19810209,    0,    0
138040,19810210,   43,    0
138040,19810211,    0,    0
138040,19810212,    0,    0
138040,19810213,    0,    0
138040,19810214,   58,    0
138040,19810215,    0,    0
138040,19810216,    0,    0
138040,19810217,    0,    0
138040,19810218,    0,    0
138040,19810219,    0,    0
138040,19810220,    6,    0
138040,19810221,   20,    0
138040,19810222,    0,    0
138040,19810223,   63,    0
138040,19810224,   17,    0
138040,19810225,    0,    0
138040,19810226,    0,    0
138040,19810227,    0,    0
138040,19810228,    0,    0
138040,19810301,    0,    0
138040,19810302,    0,    0
138040,19810303,    0,    0
138040,19810304,    0,    0
138040,19810305,   22,    0
138040,19810306,   45,    0
138040,19810307,  262,    0
138040,19810308,  108,    0
138040,19810309,    0,    0
138040,19810310,   10,    0
138040,19810311,    0,    0
138040,19810312,    0,    0
138040,19810313,    0,    0
138040,19810314,   36,    0
138040,19810315,    0,    0
138040,19810316,    8,    0
138040,19810317,    0,    0
138040,19810318,  157,    0
138040,19810319,   57,    0
138040,19810320,   60,    0
138040,19810321,  240,    0
138040,19810322,   52,    0
138040,19810323,   49,    0
138040,19810324,   21,    0
138040,19810325,   62,    0
138040,19810326,   93,    0
138040,19810327,    0,    0
138040,19810328,    0,    0
138040,19810329,    0,    0
138040,19810330,    0,    0
138040,19810331,    0,    0
138040,19810401,    0,    0
138040,19810402,    0,    0
138040,19810403,    0,    0
138040,19810404,    0,    0
138040,19810405,    0,    0
138040,19810406,    0,    0
138040,19810407,    0,    0
138040,19810408,    0,    0
138040,19810409,    0,    0
138040,19810410,    0,    0
138040,19810411,    0,    0
138040,19810412,    0,    0
138040,19810413,    0,    0
138040,19810414,    0,    0
138040,19810415,    0,    0
138040,19810416,    0,    0
138040,19810417,    0,    0
138040,19810418,    0,    0
138040,19810419,    0,    0
138040,19810420,   12,    0
138040,19810421,   10,    0
138040,19810422,    0,    0
138040,19810423,   23,    0
138040,19810424,    0,    0
138040,19810425,    0,    0
138040,19810426,    0,    0
138040,19810427,    0,    0
138040,19810428,    0,    0
138040,19810429,   97,    0
138040,19810430,    0,    0
138040,19810501,   16,    0
138040,19810502,    5,    0
138040,19810503,    8,    0
138040,19810504,   34,    0
138040,19810505,   13,    0
138040,19810506,    4,    0
138040,19810507,    0,    0
138040,19810508,    0,    0
138040,19810509,    0,    0
138040,19810510,    0,    0
138040,19810511,    0,    0
138040,19810512,    6,    0
138040,19810513,    7,    0
138040,19810514,    0,    0
138040,19810515,    0,    0
138040,19810516,    0,    0
138040,19810517,    0,    0
138040,19810518,   11,    0
138040,19810519,    0,    0
138040,19810520,    0,    0
138040,19810521,    0,    0
138040,19810522,    0,    0
138040,19810523,    0,    0
138040,19810524,  182,    0
138040,19810525,    5,    0
138040,19810526,    0,    0
138040,19810527,  155,    0
138040,19810528,   31,    0
138040,19810529,    0,    0
138040,19810530,    0,    0
138040,19810531,    0,    0
138040,19810601,    0,    0
138040,19810602,    0,    0
138040,19810603,   30,    0
138040,19810604,    0,    0
138040,19810605,    4,    0
138040,19810606,   33,    0
138040,19810607,   26,    0
