EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, MOSSEN (STAID: 5269).
Blended and updated with sources: 138030 138058 138060 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138030,19790101,   42,    0
138030,19790102,  189,    0
138030,19790103,  325,    0
138060,19790104,   48,    0
138060,19790105,    0,    0
138060,19790106,    0,    0
138060,19790107,   16,    0
138060,19790108,    0,    0
138030,19790109,   12,    0
138030,19790110,    6,    0
138030,19790111,    0,    0
138030,19790112,   12,    0
138030,19790113,  110,    0
138030,19790114,    2,    0
138030,19790115,   42,    0
138030,19790116,    0,    0
138030,19790117,    0,    0
138030,19790118,    7,    0
138030,19790119,    0,    0
138030,19790120,    3,    0
138030,19790121,    0,    0
138030,19790122,    2,    0
138030,19790123,   25,    0
138030,19790124,  105,    0
138030,19790125,   30,    0
138030,19790126,   23,    0
138030,19790127,    0,    0
138030,19790128,    0,    0
138030,19790129,    0,    0
138030,19790130,  205,    0
138030,19790131,   83,    0
138030,19790201,    7,    0
138030,19790202,    0,    0
138060,19790203,    6,    0
138060,19790204,    0,    0
138060,19790205,    0,    0
138060,19790206,    0,    0
138060,19790207,    0,    0
138060,19790208,   18,    0
138060,19790209,    0,    0
138060,19790210,    0,    0
138060,19790211,    0,    0
138060,19790212,    0,    0
138030,19790213,   43,    0
138030,19790214,   20,    0
138030,19790215,    2,    0
138030,19790216,    0,    0
138030,19790217,    0,    0
138060,19790218,   26,    0
138060,19790219,    0,    0
138060,19790220,    0,    0
138060,19790221,    0,    0
138060,19790222,    0,    0
138060,19790223,    0,    0
138060,19790224,    0,    0
138060,19790225,    0,    0
138060,19790226,    0,    0
138060,19790227,    0,    0
138060,19790228,    0,    0
138060,19790301,    0,    0
138030,19790302,   16,    0
138060,19790303,    0,    0
138060,19790304,    0,    0
138060,19790305,    0,    0
138060,19790306,    0,    0
138060,19790307,    0,    0
138060,19790308,    0,    0
138030,19790309,   68,    0
138030,19790310,    0,    0
138030,19790311,    0,    0
138030,19790312,   86,    0
138030,19790313,   41,    0
138030,19790314,    0,    0
138030,19790315,    3,    0
138030,19790316,   50,    0
138030,19790317,    7,    0
138030,19790318,    6,    0
138030,19790319,    0,    0
138030,19790320,    0,    0
138030,19790321,   36,    0
138030,19790322,    2,    0
138030,19790323,   25,    0
138030,19790324,    2,    0
138030,19790325,    8,    0
138030,19790326,   30,    0
138030,19790327,    0,    0
138030,19790328,    6,    0
138030,19790329,   22,    0
138030,19790330,   67,    0
138030,19790331,  151,    0
138030,19790401,   87,    0
138060,19790402,    2,    0
138060,19790403,    0,    0
138060,19790404,    0,    0
138060,19790405,    0,    0
138060,19790406,    0,    0
138060,19790407,    0,    0
138060,19790408,    0,    0
138060,19790409,    0,    0
138060,19790410,    0,    0
138060,19790411,    0,    0
138060,19790412,    0,    0
138060,19790413,   19,    0
138060,19790414,    0,    0
138060,19790415,    0,    0
138060,19790416,    0,    0
138060,19790417,    0,    0
138060,19790418,    0,    0
138060,19790419,    0,    0
138030,19790420,    4,    0
138030,19790421,   25,    0
138030,19790422,   13,    0
138030,19790423,    0,    0
138060,19790424,   72,    0
138060,19790425,    0,    0
138060,19790426,    0,    0
138060,19790427,    0,    0
138060,19790428,    0,    0
138030,19790429,    9,    0
138030,19790430,    8,    0
138030,19790501,    0,    0
138030,19790502,   56,    0
138030,19790503,    0,    0
138030,19790504,    0,    0
138030,19790505,   39,    0
138030,19790506,    0,    0
138030,19790507,   21,    0
138030,19790508,    8,    0
138030,19790509,    0,    0
138060,19790510,    5,    0
138060,19790511,    0,    0
138060,19790512,    0,    0
138060,19790513,    0,    0
138060,19790514,    0,    0
138060,19790515,    0,    0
138060,19790516,    0,    0
138030,19790517,   22,    0
138030,19790518,   13,    0
138030,19790519,    0,    0
138030,19790520,    0,    0
138030,19790521,   12,    0
138030,19790522,    2,    0
138030,19790523,    0,    0
138030,19790524,   39,    0
138030,19790525,   64,    0
138030,19790526,    0,    0
138030,19790527,    0,    0
138060,19790528,    3,    0
138060,19790529,    0,    0
138060,19790530,    0,    0
138060,19790531,    0,    0
138060,19790601,    0,    0
138060,19790602,    0,    0
138060,19790603,    0,    0
138060,19790604,    0,    0
138060,19790605,    0,    0
138060,19790606,    0,    0
138060,19790607,    0,    0
138030,19790608,  134,    0
138060,19790609,    7,    0
138060,19790610,    0,    0
138060,19790611,    0,    0
138060,19790612,    1,    0
138060,19790613,    0,    0
138060,19790614,    0,    0
138060,19790615,    0,    0
138060,19790616,    0,    0
138060,19790617,    0,    0
138060,19790618,    0,    0
138060,19790619,   17,    0
138060,19790620,    0,    0
138060,19790621,    0,    0
138060,19790622,    0,    0
138060,19790623,    0,    0
138060,19790624,   19,    0
138060,19790625,   18,    0
138060,19790626,    0,    0
138060,19790627,    0,    0
138060,19790628,    0,    0
138060,19790629,    0,    0
138030,19790630,    2,    0
138030,19790701,    0,    0
138030,19790702,   47,    0
138030,19790703,   19,    0
138030,19790704,    0,    0
138030,19790705,    7,    0
138030,19790706,    0,    0
138030,19790707,    2,    0
138030,19790708,  156,    0
138060,19790709,   31,    0
138060,19790710,    0,    0
138060,19790711,    2,    0
138060,19790712,    0,    0
138060,19790713,    0,    0
138060,19790714,    0,    0
