EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SKARA-VASTERSKOG (STAID: 5367).
Blended and updated with sources: 138474 138488 138490 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138488,19790101,    4,    0
138488,19790102,    9,    0
138488,19790103,    0,    0
138488,19790104,    0,    0
138488,19790105,   14,    0
138488,19790106,    3,    0
138488,19790107,   15,    0
138488,19790108,    0,    0
138488,19790109,    2,    0
138488,19790110,    0,    0
138488,19790111,    0,    0
138488,19790112,   93,    0
138488,19790113,    6,    0
138488,19790114,    2,    0
138488,19790115,    0,    0
138488,19790116,    0,    0
138488,19790117,    0,    0
138488,19790118,    0,    0
138488,19790119,    4,    0
138488,19790120,    3,    0
138488,19790121,    1,    0
138488,19790122,    4,    0
138488,19790123,   10,    0
138488,19790124,   18,    0
138488,19790125,   55,    0
138488,19790126,  100,    0
138488,19790127,    0,    0
138488,19790128,    5,    0
138488,19790129,    0,    0
138488,19790130,   58,    0
138488,19790131,    0,    0
138488,19790201,   18,    0
138488,19790202,    5,    0
138488,19790203,   93,    0
138488,19790204,    0,    0
138488,19790205,    1,    0
138488,19790206,    0,    0
138488,19790207,    0,    0
138488,19790208,    3,    0
138488,19790209,    0,    0
138488,19790210,    0,    0
138488,19790211,    0,    0
138488,19790212,    1,    0
138488,19790213,    0,    0
138488,19790214,    0,    0
138488,19790215,    0,    0
138488,19790216,    0,    0
138488,19790217,    0,    0
138488,19790218,   61,    0
138488,19790219,    4,    0
138488,19790220,    0,    0
138488,19790221,    0,    0
138488,19790222,   13,    0
138488,19790223,    0,    0
138488,19790224,    0,    0
138488,19790225,    0,    0
138488,19790226,    2,    0
138488,19790227,    0,    0
138488,19790228,    0,    0
138488,19790301,   10,    0
138488,19790302,   10,    0
138488,19790303,    4,    0
138488,19790304,    0,    0
138488,19790305,    0,    0
138488,19790306,    0,    0
138488,19790307,    2,    0
138488,19790308,    2,    0
138488,19790309,   31,    0
138488,19790310,    6,    0
