EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SVENSKA_HOGARNA_A (STAID: 5477).
Blended and updated with sources: 138960 138962 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138962,19790101,    5,    0
138962,19790102,   21,    0
138962,19790103,   53,    0
138962,19790104,   15,    0
138962,19790105,    0,    0
138962,19790106,    0,    0
138962,19790107,    0,    0
138962,19790108,    0,    0
138962,19790109,    2,    0
138962,19790110,   51,    0
138962,19790111,    4,    0
138962,19790112,   44,    0
138962,19790113,    0,    0
138962,19790114,    0,    0
138962,19790115,   14,    0
138962,19790116,    0,    0
138962,19790117,    0,    0
138962,19790118,    0,    0
138962,19790119,    2,    0
138962,19790120,    0,    0
138962,19790121,    0,    0
138962,19790122,    2,    0
138962,19790123,   19,    0
138962,19790124,   53,    0
138962,19790125,   10,    0
138962,19790126,   78,    0
138962,19790127,   24,    0
138962,19790128,    2,    0
138962,19790129,    0,    0
138962,19790130,   33,    0
138962,19790131,   54,    0
138962,19790201,   42,    0
138962,19790202,   19,    0
138962,19790203,   62,    0
138962,19790204,   15,    0
138962,19790205,    9,    0
138962,19790206,    0,    0
138962,19790207,    0,    0
138962,19790208,    0,    0
138962,19790209,    3,    0
138962,19790210,    0,    0
138962,19790211,    0,    0
138962,19790212,    0,    0
138962,19790213,    2,    0
138962,19790214,    0,    0
138962,19790215,    0,    0
138962,19790216,    0,    0
138962,19790217,    0,    0
138962,19790218,    0,    0
138962,19790219,    0,    0
138962,19790220,    0,    0
138962,19790221,    0,    0
138962,19790222,    0,    0
138962,19790223,    0,    0
138962,19790224,    0,    0
138962,19790225,    0,    0
138962,19790226,    0,    0
138962,19790227,    0,    0
138962,19790228,    0,    0
138962,19790301,    0,    0
138962,19790302,   10,    0
138962,19790303,    7,    0
138962,19790304,    0,    0
138962,19790305,    0,    0
138962,19790306,    0,    0
138962,19790307,    0,    0
138962,19790308,    0,    0
138962,19790309,    0,    0
138962,19790310,    7,    0
138962,19790311,    2,    0
138962,19790312,    0,    0
