EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, GRONBO (STAID: 5491).
Blended and updated with sources: 139018 139020 139050 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139018,19790101,    0,    0
139018,19790102,    0,    0
139018,19790103,    0,    0
139018,19790104,    0,    0
139018,19790105,    0,    0
139018,19790106,    0,    0
139018,19790107,    0,    0
139018,19790108,    0,    0
139018,19790109,    0,    0
139018,19790110,    0,    0
139018,19790111,   17,    0
139018,19790112,  165,    0
139018,19790113,   55,    0
139018,19790114,    0,    0
139018,19790115,    0,    0
139018,19790116,    0,    0
139018,19790117,    0,    0
139018,19790118,    7,    0
139018,19790119,    0,    0
139018,19790120,    0,    0
139018,19790121,   13,    0
139018,19790122,    0,    0
139018,19790123,   49,    0
139018,19790124,   23,    0
139018,19790125,   27,    0
139018,19790126,   77,    0
139018,19790127,    0,    0
139018,19790128,    0,    0
139018,19790129,    0,    0
139018,19790130,   10,    0
139018,19790131,   94,    0
139018,19790201,   21,    0
139018,19790202,    5,    0
139018,19790203,   83,    0
139018,19790204,    0,    0
139018,19790205,    0,    0
139018,19790206,    0,    0
139018,19790207,    0,    0
139018,19790208,    0,    0
139018,19790209,    0,    0
139018,19790210,    0,    0
139018,19790211,    0,    0
139018,19790212,    0,    0
139018,19790213,    0,    0
139018,19790214,    0,    0
139018,19790215,    0,    0
139018,19790216,    0,    0
139018,19790217,    0,    0
139018,19790218,   28,    0
139018,19790219,   26,    0
139018,19790220,    0,    0
139018,19790221,    0,    0
139018,19790222,    0,    0
139018,19790223,    0,    0
139018,19790224,    0,    0
139018,19790225,    0,    0
139018,19790226,    0,    0
139018,19790227,    0,    0
139018,19790228,    0,    0
139018,19790301,    0,    0
139018,19790302,   23,    0
139018,19790303,    0,    0
139018,19790304,    0,    0
139018,19790305,    0,    0
139018,19790306,    0,    0
139018,19790307,    0,    0
139018,19790308,    7,    0
139018,19790309,   44,    0
139018,19790310,   14,    0
139018,19790311,    0,    0
139018,19790312,   13,    0
139018,19790313,    0,    0
139018,19790314,    0,    0
139018,19790315,    0,    0
139018,19790316,    0,    0
139018,19790317,    0,    0
139018,19790318,    0,    0
139018,19790319,    0,    0
139018,19790320,    0,    0
139018,19790321,    0,    0
139018,19790322,   70,    0
139018,19790323,   24,    0
139018,19790324,    0,    0
139018,19790325,   69,    0
139018,19790326,   82,    0
139018,19790327,   34,    0
139018,19790328,   14,    0
139018,19790329,   20,    0
139018,19790330,   11,    0
139018,19790331,   23,    0
139018,19790401,   40,    0
139018,19790402,   20,    0
139018,19790403,    4,    0
139018,19790404,    0,    0
139018,19790405,    0,    0
139018,19790406,    0,    0
139018,19790407,    0,    0
139018,19790408,    0,    0
