EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SINGO (STAID: 5532).
Blended and updated with sources: 139234 139282 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139282,19790101,   15,    0
139282,19790102,   36,    0
139282,19790103,   51,    0
139282,19790104,   10,    0
139282,19790105,    0,    0
139282,19790106,    0,    0
139282,19790107,    4,    0
139282,19790108,    0,    0
139282,19790109,    0,    0
139282,19790110,   37,    0
139282,19790111,    3,    0
139282,19790112,   85,    0
139282,19790113,    0,    0
139282,19790114,    0,    0
139282,19790115,   52,    0
139282,19790116,    0,    0
139282,19790117,    3,    0
139282,19790118,    0,    0
139282,19790119,    5,    0
139282,19790120,    0,    0
139282,19790121,    0,    0
139282,19790122,    0,    0
139282,19790123,   31,    0
139282,19790124,   42,    0
139282,19790125,   20,    0
139282,19790126,   95,    0
139282,19790127,    7,    0
139282,19790128,    0,    0
139282,19790129,    0,    0
139282,19790130,    1,    0
139282,19790131,   42,    0
139282,19790201,   32,    0
139282,19790202,    6,    0
139282,19790203,  114,    0
139282,19790204,    5,    0
139282,19790205,    0,    0
139282,19790206,    0,    0
139282,19790207,    0,    0
139282,19790208,    0,    0
139282,19790209,    3,    0
139282,19790210,    0,    0
139282,19790211,    0,    0
139282,19790212,    0,    0
139282,19790213,    0,    0
139282,19790214,    0,    0
139282,19790215,    0,    0
139282,19790216,    0,    0
139282,19790217,    0,    0
139282,19790218,    0,    0
139282,19790219,    0,    0
139282,19790220,    0,    0
139282,19790221,    0,    0
139282,19790222,    8,    0
139282,19790223,    5,    0
