EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, MALUNG_A (STAID: 5564).
Blended and updated with sources: 139434 139436 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139434,19790101,    0,    0
139434,19790102,   12,    0
139434,19790103,    0,    0
139434,19790104,    0,    0
139434,19790105,    0,    0
139434,19790106,   25,    0
139434,19790107,    4,    0
139434,19790108,    5,    0
139434,19790109,    0,    0
139434,19790110,    0,    0
139434,19790111,   17,    0
139434,19790112,   62,    0
139434,19790113,   23,    0
139434,19790114,   11,    0
139434,19790115,    0,    0
139434,19790116,    0,    0
139434,19790117,    0,    0
139434,19790118,    0,    0
139434,19790119,    0,    0
139434,19790120,    0,    0
139434,19790121,    8,    0
139434,19790122,   16,    0
139434,19790123,   56,    0
139434,19790124,    5,    0
139434,19790125,    8,    0
139434,19790126,   25,    0
139434,19790127,    3,    0
139434,19790128,    8,    0
139434,19790129,    0,    0
139434,19790130,    0,    0
139434,19790131,   22,    0
139434,19790201,   39,    0
139434,19790202,    3,    0
139434,19790203,   93,    0
139434,19790204,    0,    0
139434,19790205,    0,    0
139434,19790206,    0,    0
139434,19790207,   14,    0
139434,19790208,    0,    0
139434,19790209,    0,    0
139434,19790210,    0,    0
139434,19790211,    0,    0
139434,19790212,    4,    0
139434,19790213,    0,    0
139434,19790214,    0,    0
139434,19790215,    0,    0
139434,19790216,    0,    0
139434,19790217,    0,    0
139434,19790218,   13,    0
139434,19790219,   33,    0
139434,19790220,    0,    0
139434,19790221,    2,    0
139434,19790222,   18,    0
139434,19790223,    5,    0
139434,19790224,    3,    0
139434,19790225,    0,    0
139434,19790226,    0,    0
139434,19790227,    0,    0
139434,19790228,    5,    0
139434,19790301,    5,    0
139434,19790302,   20,    0
139434,19790303,    1,    0
139434,19790304,    0,    0
139434,19790305,    0,    0
139434,19790306,    0,    0
139434,19790307,   43,    0
139434,19790308,   15,    0
139434,19790309,  163,    0
139434,19790310,   34,    0
139434,19790311,    9,    0
139434,19790312,   10,    0
139434,19790313,    2,    0
139434,19790314,    0,    0
139434,19790315,    2,    0
139434,19790316,    0,    0
139434,19790317,    0,    0
139434,19790318,    0,    0
139434,19790319,    1,    0
139434,19790320,    2,    0
139434,19790321,    0,    0
139434,19790322,   45,    0
139434,19790323,   38,    0
139434,19790324,    0,    0
139434,19790325,   42,    0
139434,19790326,  147,    0
139434,19790327,   37,    0
139434,19790328,    3,    0
139434,19790329,    4,    0
139434,19790330,    4,    0
139434,19790331,    0,    0
139434,19790401,   52,    0
139434,19790402,   39,    0
139434,19790403,   16,    0
139434,19790404,    0,    0
139434,19790405,    0,    0
139434,19790406,    0,    0
139434,19790407,    0,    0
139434,19790408,    0,    0
