EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SIDSJO (STAID: 5627).
Blended and updated with sources: 139790 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139790,19790101,    0,    0
139790,19790102,    0,    0
139790,19790103,    0,    0
139790,19790104,    0,    0
139790,19790105,    0,    0
139790,19790106,    2,    0
139790,19790107,    0,    0
139790,19790108,    0,    0
139790,19790109,    0,    0
139790,19790110,    0,    0
139790,19790111,    5,    0
139790,19790112,  104,    0
139790,19790113,   12,    0
139790,19790114,    8,    0
139790,19790115,   28,    0
139790,19790116,    0,    0
139790,19790117,    0,    0
139790,19790118,    0,    0
139790,19790119,    0,    0
139790,19790120,    0,    0
139790,19790121,    0,    0
139790,19790122,    0,    0
139790,19790123,    8,    0
139790,19790124,   73,    0
139790,19790125,   11,    0
139790,19790126,   23,    0
139790,19790127,    6,    0
139790,19790128,    0,    0
139790,19790129,    0,    0
139790,19790130,    0,    0
139790,19790131,   22,    0
139790,19790201,   59,    0
139790,19790202,    5,    0
139790,19790203,    7,    0
139790,19790204,    0,    0
139790,19790205,    2,    0
139790,19790206,    0,    0
139790,19790207,    2,    0
139790,19790208,    0,    0
139790,19790209,    0,    0
139790,19790210,    0,    0
139790,19790211,   12,    0
139790,19790212,    8,    0
139790,19790213,    2,    0
139790,19790214,    0,    0
139790,19790215,    0,    0
139790,19790216,    0,    0
139790,19790217,    0,    0
139790,19790218,    0,    0
139790,19790219,   15,    0
139790,19790220,    0,    0
139790,19790221,    0,    0
139790,19790222,    0,    0
139790,19790223,    0,    0
139790,19790224,    0,    0
139790,19790225,    0,    0
139790,19790226,    0,    0
139790,19790227,    5,    0
139790,19790228,    0,    0
139790,19790301,    0,    0
139790,19790302,   12,    0
139790,19790303,    0,    0
139790,19790304,    0,    0
139790,19790305,    0,    0
139790,19790306,    0,    0
139790,19790307,    1,    0
139790,19790308,    0,    0
139790,19790309,   22,    0
139790,19790310,  101,    0
139790,19790311,   20,    0
139790,19790312,   37,    0
139790,19790313,   10,    0
139790,19790314,    5,    0
139790,19790315,    3,    0
139790,19790316,    0,    0
139790,19790317,    0,    0
139790,19790318,    3,    0
139790,19790319,    0,    0
139790,19790320,    0,    0
139790,19790321,    0,    0
139790,19790322,   79,    0
139790,19790323,   21,    0
139790,19790324,    7,    0
139790,19790325,   12,    0
139790,19790326,   38,    0
139790,19790327,   87,    0
139790,19790328,   26,    0
139790,19790329,    5,    0
139790,19790330,    0,    0
139790,19790331,    0,    0
139790,19790401,   85,    0
139790,19790402,   54,    0
139790,19790403,   76,    0
139790,19790404,    0,    0
139790,19790405,    0,    0
139790,19790406,    0,    0
139790,19790407,    0,    0
139790,19790408,    0,    0
139790,19790409,    0,    0
139790,19790410,    0,    0
139790,19790411,    0,    0
139790,19790412,    2,    0
139790,19790413,   30,    0
139790,19790414,    3,    0
139790,19790415,    0,    0
139790,19790416,    1,    0
139790,19790417,    0,    0
139790,19790418,   12,    0
139790,19790419,    2,    0
139790,19790420,   18,    0
139790,19790421,   25,    0
139790,19790422,   21,    0
139790,19790423,   20,    0
139790,19790424,    0,    0
139790,19790425,   94,    0
139790,19790426,    4,    0
139790,19790427,    0,    0
139790,19790428,    0,    0
139790,19790429,   38,    0
139790,19790430,   78,    0
139790,19790501,   28,    0
139790,19790502,  223,    0
139790,19790503,  137,    0
139790,19790504,    5,    0
139790,19790505,    2,    0
139790,19790506,    0,    0
139790,19790507,    0,    0
139790,19790508,    2,    0
139790,19790509,    8,    0
139790,19790510,    0,    0
139790,19790511,    0,    0
139790,19790512,    0,    0
139790,19790513,    0,    0
139790,19790514,    0,    0
139790,19790515,    0,    0
139790,19790516,   15,    0
139790,19790517,   50,    0
139790,19790518,    0,    0
139790,19790519,    0,    0
139790,19790520,    0,    0
139790,19790521,    3,    0
139790,19790522,   14,    0
139790,19790523,    0,    0
139790,19790524,   15,    0
139790,19790525,   20,    0
139790,19790526,    0,    0
139790,19790527,    0,    0
139790,19790528,   93,    0
139790,19790529,    0,    0
139790,19790530,    0,    0
139790,19790531,    0,    0
139790,19790601,    0,    0
139790,19790602,    0,    0
139790,19790603,    0,    0
139790,19790604,    0,    0
139790,19790605,    0,    0
139790,19790606,    0,    0
139790,19790607,   16,    0
139790,19790608,   41,    0
139790,19790609,    2,    0
139790,19790610,    0,    0
139790,19790611,    0,    0
139790,19790612,    0,    0
139790,19790613,    2,    0
139790,19790614,   38,    0
139790,19790615,    0,    0
139790,19790616,   41,    0
139790,19790617,    6,    0
139790,19790618,    0,    0
139790,19790619,    0,    0
139790,19790620,    0,    0
139790,19790621,    0,    0
139790,19790622,    0,    0
139790,19790623,    0,    0
139790,19790624,    0,    0
139790,19790625,   21,    0
139790,19790626,    0,    0
139790,19790627,    8,    0
139790,19790628,   15,    0
139790,19790629,    5,    0
139790,19790630,   73,    0
139790,19790701,    6,    0
139790,19790702,   22,    0
139790,19790703,   29,    0
139790,19790704,    0,    0
139790,19790705,   25,    0
139790,19790706,   12,    0
139790,19790707,  114,    0
139790,19790708,   80,    0
139790,19790709,   46,    0
139790,19790710,  253,    0
139790,19790711,   28,    0
139790,19790712,  112,    0
139790,19790713,   21,    0
139790,19790714,  132,    0
139790,19790715,    7,    0
139790,19790716,   64,    0
139790,19790717,    0,    0
139790,19790718,   19,    0
139790,19790719,  108,    0
139790,19790720,    2,    0
139790,19790721,   29,    0
139790,19790722,    8,    0
139790,19790723,    0,    0
139790,19790724,   12,    0
139790,19790725,    0,    0
139790,19790726,    0,    0
139790,19790727,   15,    0
139790,19790728,   36,    0
139790,19790729,    0,    0
139790,19790730,    0,    0
139790,19790731,    0,    0
139790,19790801,   38,    0
139790,19790802,    0,    0
139790,19790803,    0,    0
139790,19790804,    0,    0
