EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, LUNGO (STAID: 5641).
Blended and updated with sources: 139858 139860 139868 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139860,19790101,    0,    0
139860,19790102,    0,    0
139860,19790103,    0,    0
139860,19790104,    0,    0
139860,19790105,    0,    0
139860,19790106,    6,    0
139860,19790107,    0,    0
139860,19790108,    0,    0
139860,19790109,    0,    0
139860,19790110,    0,    0
139858,19790111,    3,    0
139858,19790112,  107,    0
139858,19790113,   51,    0
139858,19790114,   25,    0
139860,19790115,   28,    0
139860,19790116,    0,    0
139860,19790117,    0,    0
139860,19790118,    0,    0
139860,19790119,    0,    0
139860,19790120,    0,    0
139860,19790121,    0,    0
139860,19790122,    1,    0
139858,19790123,   12,    0
139858,19790124,   66,    0
139858,19790125,   11,    0
139858,19790126,   22,    0
139860,19790127,   12,    0
139860,19790128,    0,    0
139860,19790129,    0,    0
139858,19790130,    3,    0
139858,19790131,   18,    0
139858,19790201,   59,    0
139858,19790202,    8,    0
139860,19790203,    2,    0
139860,19790204,    2,    0
139858,19790205,   15,    0
139860,19790206,    1,    0
139860,19790207,    0,    0
139860,19790208,    0,    0
139860,19790209,    0,    0
139858,19790210,    2,    0
139858,19790211,    6,    0
139860,19790212,   25,    0
139860,19790213,    0,    0
139860,19790214,    0,    0
139860,19790215,    0,    0
139860,19790216,    0,    0
139860,19790217,    0,    0
139860,19790218,    0,    0
139860,19790219,   15,    0
139860,19790220,    0,    0
139860,19790221,    0,    0
139860,19790222,    0,    0
139860,19790223,    0,    0
139860,19790224,    0,    0
139860,19790225,    0,    0
139860,19790226,    0,    0
139858,19790227,   10,    0
139858,19790228,   11,    0
139858,19790301,    2,    0
139860,19790302,   34,    0
139860,19790303,   12,    0
139860,19790304,    0,    0
139860,19790305,    0,    0
139860,19790306,    0,    0
139860,19790307,    0,    0
139858,19790308,    1,    0
139858,19790309,    1,    0
139858,19790310,   46,    0
139858,19790311,   37,    0
139858,19790312,   13,    0
139858,19790313,   12,    0
139860,19790314,    8,    0
139860,19790315,    0,    0
139860,19790316,    1,    0
139860,19790317,    0,    0
139860,19790318,    2,    0
139860,19790319,    0,    0
139860,19790320,    0,    0
139860,19790321,    0,    0
139858,19790322,   62,    0
139858,19790323,   19,    0
139858,19790324,   12,    0
139858,19790325,    8,    0
139858,19790326,   60,    0
139858,19790327,   61,    0
139858,19790328,    4,    0
139860,19790329,    6,    0
139860,19790330,    0,    0
139860,19790331,    0,    0
139858,19790401,   44,    0
139858,19790402,   13,    0
139860,19790403,   67,    0
139860,19790404,    0,    0
139860,19790405,    0,    0
139860,19790406,    0,    0
139860,19790407,    0,    0
139860,19790408,    0,    0
139860,19790409,    0,    0
139860,19790410,    6,    0
139860,19790411,    0,    0
139860,19790412,    0,    0
139858,19790413,    3,    0
139860,19790414,    1,    0
139860,19790415,    0,    0
139860,19790416,    0,    0
139860,19790417,    0,    0
139860,19790418,   18,    0
139860,19790419,    0,    0
139860,19790420,    3,    0
139858,19790421,   49,    0
139858,19790422,   20,    0
139860,19790423,   16,    0
139860,19790424,    0,    0
139858,19790425,  120,    0
139860,19790426,    7,    0
139860,19790427,    0,    0
139860,19790428,    0,    0
139858,19790429,   72,    0
139860,19790430,   75,    0
139860,19790501,    0,    0
139858,19790502,   90,    0
139860,19790503,  144,    0
139860,19790504,    0,    0
139860,19790505,    0,    0
139860,19790506,    0,    0
139860,19790507,    0,    0
139860,19790508,    0,    0
139860,19790509,    1,    0
139860,19790510,    0,    0
139860,19790511,    0,    0
139860,19790512,    0,    0
139860,19790513,    1,    0
139860,19790514,    0,    0
139860,19790515,    0,    0
139860,19790516,   31,    0
139860,19790517,   24,    0
139860,19790518,    0,    0
139860,19790519,    0,    0
139860,19790520,    0,    0
139858,19790521,    8,    0
139860,19790522,   17,    0
139860,19790523,    0,    0
139858,19790524,   24,    0
139860,19790525,    5,    0
139860,19790526,    0,    0
139858,19790527,    2,    0
139858,19790528,   60,    0
139860,19790529,    2,    0
139860,19790530,    0,    0
139860,19790531,    0,    0
139860,19790601,    0,    0
139860,19790602,    0,    0
139860,19790603,    0,    0
139860,19790604,    0,    0
139860,19790605,    0,    0
139860,19790606,    0,    0
139858,19790607,   35,    0
139858,19790608,   33,    0
139860,19790609,    0,    0
139860,19790610,    0,    0
139860,19790611,    0,    0
139860,19790612,    3,    0
139860,19790613,    0,    0
139860,19790614,   12,    0
139860,19790615,    0,    0
139860,19790616,   98,    0
139860,19790617,    0,    0
139860,19790618,    0,    0
139860,19790619,    0,    0
139860,19790620,    0,    0
139860,19790621,    0,    0
139860,19790622,    0,    0
139860,19790623,    0,    0
139860,19790624,    0,    0
139860,19790625,    4,    0
139860,19790626,    0,    0
139860,19790627,    0,    0
139860,19790628,    7,    0
139860,19790629,    1,    0
139858,19790630,   11,    0
139858,19790701,    3,    0
139858,19790702,   20,    0
139858,19790703,   87,    0
139858,19790704,    2,    0
139860,19790705,   24,    0
139860,19790706,    4,    0
139858,19790707,  122,    0
139858,19790708,   77,    0
139858,19790709,   50,    0
139858,19790710,   69,    0
139860,19790711,  163,    0
139860,19790712,   10,    0
139860,19790713,    0,    0
139858,19790714,  211,    0
139858,19790715,    6,    0
139860,19790716,   20,    0
139860,19790717,    0,    0
139860,19790718,    0,    0
139860,19790719,    3,    0
139860,19790720,    1,    0
139860,19790721,   17,    0
139858,19790722,   11,    0
139860,19790723,   89,    0
139860,19790724,   18,    0
139860,19790725,    0,    0
139860,19790726,    0,    0
139860,19790727,    6,    0
139860,19790728,    3,    0
139860,19790729,    0,    0
139860,19790730,    0,    0
139860,19790731,    0,    0
139860,19790801,   16,    0
139860,19790802,    0,    0
139860,19790803,    2,    0
139860,19790804,    0,    0
139860,19790805,    3,    0
139860,19790806,    0,    0
139860,19790807,    0,    0
139860,19790808,    0,    0
139858,19790809,   91,    0
139858,19790810,   14,    0
139860,19790811,  401,    0
139860,19790812,    0,    0
139860,19790813,    2,    0
139860,19790814,    0,    0
139860,19790815,    0,    0
139860,19790816,    0,    0
139860,19790817,    0,    0
139860,19790818,    0,    0
139860,19790819,    0,    0
139860,19790820,    0,    0
139860,19790821,    0,    0
139860,19790822,    0,    0
139860,19790823,   28,    0
139860,19790824,    0,    0
139860,19790825,    0,    0
139858,19790826,  263,    0
139858,19790827,  454,    0
139860,19790828,  164,    0
139860,19790829,    0,    0
139860,19790830,    0,    0
139860,19790831,    0,    0
139860,19790901,    0,    0
139860,19790902,    0,    0
139860,19790903,  209,    0
139860,19790904,    2,    0
139860,19790905,    0,    0
139860,19790906,    0,    0
139860,19790907,    0,    0
139858,19790908,   55,    0
139858,19790909,   38,    0
139858,19790910,    3,    0
139860,19790911,   16,    0
139860,19790912,    0,    0
139860,19790913,  241,    0
139860,19790914,    0,    0
139860,19790915,    0,    0
139860,19790916,    0,    0
139860,19790917,    0,    0
139860,19790918,    0,    0
139860,19790919,    0,    0
139858,19790920,   11,    0
139860,19790921,   13,    0
139860,19790922,    0,    0
139860,19790923,    0,    0
139860,19790924,    0,    0
139858,19790925,    3,    0
139858,19790926,    4,    0
139858,19790927,    3,    0
139860,19790928,   12,    0
139860,19790929,    0,    0
139860,19790930,    0,    0
139860,19791001,    0,    0
139860,19791002,    0,    0
139860,19791003,    3,    0
139860,19791004,    0,    0
139860,19791005,    0,    0
139860,19791006,    0,    0
139860,19791007,    0,    0
139858,19791008,    1,    0
139858,19791009,   18,    0
139858,19791010,   33,    0
139860,19791011,   72,    0
139860,19791012,    0,    0
139858,19791013,   41,    0
139858,19791014,  108,    0
139858,19791015,   45,    0
139860,19791016,  255,    0
139860,19791017,    0,    0
139858,19791018,   10,    0
139860,19791019,   23,    0
139860,19791020,    0,    0
139860,19791021,    0,    0
139860,19791022,    0,    0
139860,19791023,    0,    0
139860,19791024,    0,    0
139860,19791025,    0,    0
139860,19791026,    0,    0
139860,19791027,    2,    0
139858,19791028,   15,    0
139858,19791029,   20,    0
139858,19791030,    4,    0
139858,19791031,   46,    0
139858,19791101,    6,    0
139858,19791102,   71,    0
139858,19791103,   90,    0
139860,19791104,  124,    0
139860,19791105,    0,    0
139858,19791106,   37,    0
139858,19791107,   46,    0
139860,19791108,   11,    0
139860,19791109,    0,    0
139860,19791110,    0,    0
139858,19791111,   30,    0
139858,19791112,   46,    0
139858,19791113,   44,    0
139860,19791114,   46,    0
139860,19791115,    0,    0
139858,19791116,  330,    0
139860,19791117,   12,    0
139860,19791118,    0,    0
139860,19791119,  154,    0
139860,19791120,    0,    0
139860,19791121,    0,    0
139860,19791122,    9,    0
139860,19791123,    0,    0
139860,19791124,    0,    0
139860,19791125,    0,    0
139860,19791126,    3,    0
139860,19791127,    0,    0
139858,19791128,    5,    0
139858,19791129,  153,    0
139858,19791130,    3,    0
139858,19791201,    2,    0
139860,19791202,    0,    0
139860,19791203,    0,    0
139860,19791204,    0,    0
139860,19791205,    0,    0
139858,19791206,   29,    0
139860,19791207,   26,    0
139860,19791208,    0,    0
139860,19791209,    0,    0
139860,19791210,    0,    0
139860,19791211,    0,    0
139860,19791212,    0,    0
139860,19791213,    0,    0
139858,19791214,   11,    0
139858,19791215,   32,    0
139858,19791216,    8,    0
139860,19791217,   26,    0
139860,19791218,    0,    0
139860,19791219,    0,    0
139860,19791220,    0,    0
139860,19791221,    0,    0
139860,19791222,    0,    0
139860,19791223,   42,    0
139860,19791224,    0,    0
139858,19791225,   63,    0
139858,19791226,   11,    0
139858,19791227,   18,    0
139858,19791228,   19,    0
139858,19791229,   61,    0
139858,19791230,   30,    0
139858,19791231,  118,    0
139860,19800101,   13,    0
139860,19800102,    0,    0
139860,19800103,    0,    0
139858,19800104,    5,    0
139858,19800105,   24,    0
139858,19800106,   45,    0
139858,19800107,    6,    0
139858,19800108,    2,    0
139858,19800109,    5,    0
139860,19800110,    2,    0
139860,19800111,    0,    0
139858,19800112,   11,    0
139860,19800113,    9,    0
139860,19800114,    0,    0
139860,19800115,    1,    0
139860,19800116,    0,    0
139860,19800117,    0,    0
139860,19800118,    0,    0
139860,19800119,    0,    0
139860,19800120,    0,    0
139858,19800121,    1,    0
139858,19800122,   15,    0
139858,19800123,   26,    0
139860,19800124,   40,    0
139860,19800125,    0,    0
139860,19800126,    1,    0
139860,19800127,    0,    0
139860,19800128,    0,    0
139860,19800129,    0,    0
139860,19800130,    0,    0
139860,19800131,    0,    0
139860,19800201,    0,    0
139860,19800202,    0,    0
139860,19800203,    0,    0
139860,19800204,    0,    0
139860,19800205,    0,    0
139858,19800206,    2,    0
139860,19800207,    0,    0
139860,19800208,    0,    0
139860,19800209,    0,    0
139858,19800210,    2,    0
139858,19800211,    4,    0
139858,19800212,    5,    0
139860,19800213,   16,    0
139860,19800214,    0,    0
139860,19800215,   34,    0
139860,19800216,    0,    0
139860,19800217,    0,    0
139860,19800218,    0,    0
139860,19800219,    0,    0
139860,19800220,    0,    0
139860,19800221,    0,    0
139860,19800222,    0,    0
139860,19800223,    0,    0
139860,19800224,    0,    0
139860,19800225,    0,    0
139860,19800226,    0,    0
139860,19800227,    0,    0
139860,19800228,    0,    0
139860,19800229,    0,    0
139858,19800301,  100,    0
139860,19800302,   24,    0
139860,19800303,    0,    0
139858,19800304,   10,    0
139860,19800305,   21,    0
139860,19800306,    0,    0
139860,19800307,    0,    0
139860,19800308,   32,    0
139860,19800309,    0,    0
139860,19800310,    0,    0
139858,19800311,    4,    0
139858,19800312,    4,    0
139860,19800313,   14,    0
139860,19800314,    0,    0
139860,19800315,    0,    0
139860,19800316,    0,    0
139860,19800317,    0,    0
139860,19800318,    0,    0
139860,19800319,    0,    0
139860,19800320,    0,    0
139858,19800321,   14,    0
139860,19800322,    0,    0
139860,19800323,    0,    0
139860,19800324,    0,    0
139860,19800325,    0,    0
139860,19800326,    0,    0
139858,19800327,    1,    0
139858,19800328,   76,    0
139858,19800329,   69,    0
139858,19800330,  120,    0
139860,19800331,   42,    0
139860,19800401,    0,    0
139860,19800402,    0,    0
139860,19800403,    0,    0
139860,19800404,    0,    0
139860,19800405,   11,    0
139860,19800406,    0,    0
139858,19800407,   60,    0
139860,19800408,   23,    0
139860,19800409,    0,    0
139860,19800410,    0,    0
139860,19800411,    7,    0
139860,19800412,    0,    0
139860,19800413,    0,    0
139860,19800414,    0,    0
139860,19800415,    0,    0
139860,19800416,    0,    0
139860,19800417,    8,    0
139860,19800418,    3,    0
139860,19800419,   91,    0
139860,19800420,    0,    0
139860,19800421,    0,    0
139860,19800422,    0,    0
139860,19800423,    0,    0
139860,19800424,    0,    0
139860,19800425,    1,    0
139860,19800426,    0,    0
139858,19800427,   51,    0
139858,19800428,   53,    0
139860,19800429,   68,    0
139860,19800430,    0,    0
139860,19800501,    0,    0
139860,19800502,    0,    0
139860,19800503,    0,    0
139860,19800504,    0,    0
139860,19800505,    0,    0
139860,19800506,    0,    0
139860,19800507,    0,    0
139860,19800508,   86,    0
139860,19800509,    3,    0
139860,19800510,    0,    0
139860,19800511,    0,    0
139860,19800512,    0,    0
139860,19800513,    0,    0
139860,19800514,    0,    0
139860,19800515,    0,    0
139860,19800516,    0,    0
139860,19800517,    0,    0
139860,19800518,    0,    0
139860,19800519,    0,    0
139860,19800520,    0,    0
139860,19800521,    0,    0
139858,19800522,    2,    0
139860,19800523,   19,    0
139860,19800524,    0,    0
139860,19800525,    0,    0
139858,19800526,   12,    0
139860,19800527,    0,    0
139860,19800528,    0,    0
139860,19800529,    0,    0
139858,19800530,   39,    0
