EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, HOGLEKARDALEN (STAID: 5659).
Blended and updated with sources: 139950 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139950,19790101,   11,    0
139950,19790102,   20,    0
139950,19790103,    0,    0
139950,19790104,    0,    0
139950,19790105,    0,    0
139950,19790106,    7,    0
139950,19790107,    7,    0
139950,19790108,    0,    0
139950,19790109,    0,    0
139950,19790110,    0,    0
139950,19790111,    5,    0
139950,19790112,   51,    0
139950,19790113,   40,    0
139950,19790114,    3,    0
139950,19790115,    4,    0
139950,19790116,    0,    0
139950,19790117,    5,    0
139950,19790118,    0,    0
139950,19790119,    0,    0
139950,19790120,    8,    0
139950,19790121,    5,    0
139950,19790122,    0,    0
139950,19790123,   11,    0
139950,19790124,   19,    0
139950,19790125,    9,    0
139950,19790126,    0,    0
139950,19790127,    4,    0
139950,19790128,    0,    0
139950,19790129,    0,    0
139950,19790130,    0,    0
139950,19790131,   48,    0
139950,19790201,   18,    0
139950,19790202,   33,    0
139950,19790203,    7,    0
139950,19790204,    0,    0
139950,19790205,    4,    0
139950,19790206,    2,    0
139950,19790207,    0,    0
139950,19790208,   62,    0
139950,19790209,    7,    0
139950,19790210,   25,    0
139950,19790211,   11,    0
139950,19790212,   23,    0
139950,19790213,    6,    0
139950,19790214,   10,    0
139950,19790215,    0,    0
139950,19790216,    0,    0
139950,19790217,    0,    0
139950,19790218,    0,    0
139950,19790219,    3,    0
139950,19790220,    0,    0
139950,19790221,    0,    0
139950,19790222,    0,    0
139950,19790223,   30,    0
139950,19790224,    3,    0
139950,19790225,    0,    0
139950,19790226,    9,    0
139950,19790227,   13,    0
139950,19790228,    0,    0
139950,19790301,    0,    0
139950,19790302,    3,    0
139950,19790303,    4,    0
139950,19790304,    0,    0
139950,19790305,   77,    0
139950,19790306,    0,    0
139950,19790307,    8,    0
139950,19790308,    2,    0
139950,19790309,   71,    0
139950,19790310,   93,    0
139950,19790311,   19,    0
139950,19790312,   24,    0
139950,19790313,   14,    0
139950,19790314,   15,    0
139950,19790315,   13,    0
139950,19790316,   20,    0
139950,19790317,    2,    0
139950,19790318,   30,    0
139950,19790319,   12,    0
139950,19790320,    0,    0
139950,19790321,    0,    0
139950,19790322,    9,    0
139950,19790323,   35,    0
139950,19790324,    0,    0
139950,19790325,   42,    0
139950,19790326,   16,    0
139950,19790327,   26,    0
139950,19790328,    2,    0
139950,19790329,    0,    0
139950,19790330,    0,    0
139950,19790331,    0,    0
139950,19790401,   88,    0
139950,19790402,   67,    0
139950,19790403,   51,    0
139950,19790404,    2,    0
139950,19790405,    0,    0
139950,19790406,    0,    0
139950,19790407,    1,    0
139950,19790408,    0,    0
139950,19790409,    0,    0
139950,19790410,    0,    0
139950,19790411,    0,    0
139950,19790412,    0,    0
139950,19790413,   36,    0
139950,19790414,   12,    0
139950,19790415,    0,    0
139950,19790416,    0,    0
139950,19790417,    3,    0
139950,19790418,   50,    0
139950,19790419,    4,    0
139950,19790420,   17,    0
139950,19790421,    3,    0
139950,19790422,    0,    0
139950,19790423,   20,    0
139950,19790424,   21,    0
139950,19790425,   98,    0
139950,19790426,    6,    0
139950,19790427,    7,    0
139950,19790428,    2,    0
139950,19790429,   39,    0
139950,19790430,    0,    0
139950,19790501,    2,    0
139950,19790502,   69,    0
139950,19790503,   39,    0
139950,19790504,   19,    0
139950,19790505,    0,    0
139950,19790506,    0,    0
139950,19790507,    0,    0
139950,19790508,    0,    0
139950,19790509,    0,    0
