EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, BREDBYN (STAID: 5685).
Blended and updated with sources: 140074 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140074,19790101,    0,    0
140074,19790102,    0,    0
140074,19790103,    0,    0
140074,19790104,    0,    0
140074,19790105,    0,    0
140074,19790106,   15,    0
140074,19790107,    0,    0
140074,19790108,    0,    0
140074,19790109,    0,    0
140074,19790110,    2,    0
140074,19790111,    5,    0
140074,19790112,   33,    0
140074,19790113,    9,    0
140074,19790114,    0,    0
140074,19790115,   29,    0
140074,19790116,    0,    0
140074,19790117,    4,    0
140074,19790118,    0,    0
140074,19790119,    0,    0
140074,19790120,    0,    0
140074,19790121,    0,    0
140074,19790122,    0,    0
140074,19790123,   48,    0
140074,19790124,   43,    0
140074,19790125,   22,    0
140074,19790126,   10,    0
140074,19790127,   10,    0
140074,19790128,    0,    0
140074,19790129,    0,    0
140074,19790130,    2,    0
140074,19790131,    3,    0
140074,19790201,   56,    0
140074,19790202,   13,    0
140074,19790203,    2,    0
140074,19790204,    0,    0
140074,19790205,   37,    0
140074,19790206,    2,    0
140074,19790207,    0,    0
140074,19790208,    5,    0
140074,19790209,    0,    0
140074,19790210,    0,    0
140074,19790211,   12,    0
140074,19790212,   13,    0
140074,19790213,    0,    0
140074,19790214,    0,    0
140074,19790215,    0,    0
140074,19790216,    0,    0
140074,19790217,    0,    0
140074,19790218,    0,    0
140074,19790219,   18,    0
140074,19790220,    1,    0
140074,19790221,    0,    0
140074,19790222,    5,    0
140074,19790223,    1,    0
140074,19790224,    0,    0
140074,19790225,    0,    0
140074,19790226,    0,    0
140074,19790227,    2,    0
140074,19790228,   23,    0
140074,19790301,    0,    0
140074,19790302,   16,    0
140074,19790303,    8,    0
140074,19790304,    0,    0
140074,19790305,   26,    0
140074,19790306,    0,    0
140074,19790307,   10,    0
140074,19790308,    1,    0
140074,19790309,    7,    0
140074,19790310,  104,    0
140074,19790311,   46,    0
140074,19790312,   12,    0
140074,19790313,   10,    0
140074,19790314,    0,    0
140074,19790315,    3,    0
140074,19790316,    5,    0
140074,19790317,    0,    0
140074,19790318,    4,    0
140074,19790319,    0,    0
140074,19790320,    0,    0
140074,19790321,    0,    0
140074,19790322,   38,    0
140074,19790323,   27,    0
140074,19790324,   11,    0
140074,19790325,   27,    0
140074,19790326,  159,    0
140074,19790327,   55,    0
140074,19790328,    0,    0
140074,19790329,    9,    0
140074,19790330,    0,    0
140074,19790331,    0,    0
140074,19790401,   35,    0
140074,19790402,   12,    0
140074,19790403,   23,    0
140074,19790404,    0,    0
140074,19790405,    0,    0
140074,19790406,    0,    0
140074,19790407,    0,    0
140074,19790408,    0,    0
140074,19790409,    7,    0
140074,19790410,   33,    0
140074,19790411,    0,    0
140074,19790412,    0,    0
140074,19790413,    3,    0
140074,19790414,    3,    0
140074,19790415,    0,    0
