EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, HEMLING_A (STAID: 5690).
Blended and updated with sources: 140118 140120 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140120,19790101,    0,    0
140120,19790102,    0,    0
140120,19790103,    0,    0
140120,19790104,    0,    0
140120,19790105,    0,    0
140120,19790106,   18,    0
140120,19790107,    4,    0
140120,19790108,    8,    0
140120,19790109,    0,    0
140120,19790110,    0,    0
140120,19790111,    2,    0
140120,19790112,   19,    0
140120,19790113,   11,    0
140120,19790114,    0,    0
140120,19790115,   30,    0
140120,19790116,    0,    0
140120,19790117,    7,    0
140120,19790118,    0,    0
140120,19790119,    0,    0
140120,19790120,    0,    0
140120,19790121,    0,    0
140120,19790122,    0,    0
140120,19790123,   33,    0
140120,19790124,   21,    0
140120,19790125,   20,    0
140120,19790126,    8,    0
140120,19790127,    9,    0
140120,19790128,    0,    0
140120,19790129,    0,    0
140120,19790130,    0,    0
140120,19790131,    1,    0
140120,19790201,   55,    0
140120,19790202,   19,    0
140120,19790203,    0,    0
140120,19790204,    0,    0
140120,19790205,   26,    0
140120,19790206,    0,    0
140120,19790207,    0,    0
140120,19790208,    3,    0
140120,19790209,    0,    0
140120,19790210,    0,    0
140120,19790211,    2,    0
140120,19790212,    5,    0
140120,19790213,    0,    0
140120,19790214,    0,    0
140120,19790215,    0,    0
140120,19790216,    0,    0
140120,19790217,    0,    0
140120,19790218,    0,    0
140120,19790219,    8,    0
140120,19790220,    0,    0
140120,19790221,    0,    0
140120,19790222,    1,    0
140120,19790223,    0,    0
140120,19790224,    0,    0
140120,19790225,    0,    0
140120,19790226,    0,    0
140120,19790227,    3,    0
140120,19790228,   15,    0
140120,19790301,    0,    0
140120,19790302,   13,    0
140120,19790303,    8,    0
140120,19790304,    0,    0
140120,19790305,    0,    0
140120,19790306,    0,    0
140120,19790307,    7,    0
140120,19790308,    3,    0
140120,19790309,    7,    0
140120,19790310,   52,    0
140120,19790311,   29,    0
140120,19790312,   17,    0
140120,19790313,   12,    0
140120,19790314,    1,    0
140120,19790315,    0,    0
140120,19790316,    5,    0
140120,19790317,    0,    0
140120,19790318,    2,    0
140120,19790319,    3,    0
140120,19790320,    0,    0
140120,19790321,    0,    0
140120,19790322,   21,    0
140120,19790323,   27,    0
140120,19790324,   30,    0
140120,19790325,   13,    0
140120,19790326,  158,    0
140120,19790327,   49,    0
140120,19790328,    2,    0
140120,19790329,    1,    0
140120,19790330,    0,    0
140120,19790331,    0,    0
140120,19790401,   30,    0
140120,19790402,    9,    0
140120,19790403,   21,    0
140120,19790404,    0,    0
140120,19790405,    0,    0
140120,19790406,    0,    0
140120,19790407,    0,    0
140120,19790408,    0,    0
140120,19790409,    5,    0
140120,19790410,   38,    0
140120,19790411,    0,    0
140120,19790412,    0,    0
140120,19790413,    0,    0
140120,19790414,    0,    0
140120,19790415,    0,    0
140120,19790416,    0,    0
140120,19790417,    0,    0
140120,19790418,   19,    0
140120,19790419,    1,    0
140120,19790420,    0,    0
140120,19790421,    0,    0
140120,19790422,    8,    0
140120,19790423,    0,    0
140120,19790424,    0,    0
140120,19790425,   38,    0
140120,19790426,    0,    0
140120,19790427,    0,    0
140120,19790428,    0,    0
140120,19790429,   89,    0
140120,19790430,   43,    0
140120,19790501,    0,    0
140120,19790502,   13,    0
140120,19790503,  123,    0
140120,19790504,    0,    0
140120,19790505,    4,    0
140120,19790506,    0,    0
140120,19790507,    0,    0
140120,19790508,   10,    0
140120,19790509,    0,    0
140120,19790510,    1,    0
140120,19790511,    0,    0
140120,19790512,    0,    0
140120,19790513,   12,    0
140120,19790514,    0,    0
140120,19790515,    1,    0
140120,19790516,   28,    0
140120,19790517,   28,    0
140120,19790518,   11,    0
140120,19790519,    0,    0
140120,19790520,    0,    0
140120,19790521,   15,    0
140120,19790522,   15,    0
140120,19790523,    0,    0
140120,19790524,   34,    0
140120,19790525,    3,    0
140120,19790526,   18,    0
140120,19790527,    2,    0
140120,19790528,   66,    0
140120,19790529,   20,    0
140120,19790530,    0,    0
140120,19790531,    0,    0
140120,19790601,    0,    0
140120,19790602,    0,    0
140120,19790603,    0,    0
140120,19790604,    0,    0
140120,19790605,    0,    0
140120,19790606,    0,    0
140120,19790607,    0,    0
140120,19790608,  125,    0
140120,19790609,    0,    0
