EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, UMEA_FLYGPLATS (STAID: 5698).
Blended and updated with sources: 140174 140180 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140174,19790101,    0,    0
140174,19790102,    0,    0
140174,19790103,    0,    0
140174,19790104,    0,    0
140174,19790105,    0,    0
140174,19790106,    8,    0
140174,19790107,   30,    0
140174,19790108,    1,    0
140174,19790109,    0,    0
140174,19790110,    2,    0
140174,19790111,    3,    0
140174,19790112,   44,    0
140174,19790113,   35,    0
140174,19790114,    0,    0
140174,19790115,   57,    0
140174,19790116,    0,    0
140174,19790117,   10,    0
140174,19790118,    0,    0
140174,19790119,    0,    0
140174,19790120,    0,    0
140174,19790121,    2,    0
140174,19790122,    3,    0
140174,19790123,   31,    0
140174,19790124,   41,    0
140174,19790125,   22,    0
140174,19790126,   13,    0
140174,19790127,    7,    0
140174,19790128,    0,    0
140174,19790129,    0,    0
140174,19790130,    3,    0
140174,19790131,    0,    0
140174,19790201,   66,    0
140174,19790202,   21,    0
140174,19790203,    4,    0
140174,19790204,    0,    0
140174,19790205,   31,    0
140174,19790206,    7,    0
140174,19790207,    6,    0
140174,19790208,    2,    0
140174,19790209,    0,    0
140174,19790210,    4,    0
140174,19790211,    1,    0
140174,19790212,    0,    0
140174,19790213,    0,    0
140174,19790214,    0,    0
140174,19790215,    0,    0
140174,19790216,    0,    0
140174,19790217,    0,    0
140174,19790218,    0,    0
140174,19790219,    6,    0
140174,19790220,    1,    0
140174,19790221,    0,    0
140174,19790222,    3,    0
140174,19790223,    2,    0
140174,19790224,    0,    0
140174,19790225,    0,    0
140174,19790226,    0,    0
140174,19790227,    0,    0
140174,19790228,   23,    0
140174,19790301,    0,    0
140174,19790302,    8,    0
140174,19790303,    4,    0
140174,19790304,    0,    0
140174,19790305,    1,    0
140174,19790306,    0,    0
140174,19790307,    7,    0
140174,19790308,   15,    0
140174,19790309,   19,    0
140174,19790310,    1,    0
140174,19790311,   30,    0
140174,19790312,   23,    0
140174,19790313,   15,    0
140174,19790314,    6,    0
140174,19790315,    0,    0
140174,19790316,    4,    0
140174,19790317,    0,    0
140174,19790318,    0,    0
140174,19790319,    6,    0
140174,19790320,    0,    0
140174,19790321,    0,    0
140174,19790322,    9,    0
140174,19790323,   34,    0
140174,19790324,   97,    0
140174,19790325,   15,    0
140174,19790326,  142,    0
140174,19790327,  111,    0
140174,19790328,    0,    0
140174,19790329,    0,    0
140174,19790330,    0,    0
140174,19790331,    0,    0
140174,19790401,   48,    0
140174,19790402,    8,    0
140174,19790403,   45,    0
140174,19790404,    1,    0
140174,19790405,    0,    0
140174,19790406,    0,    0
140174,19790407,    0,    0
140174,19790408,    0,    0
140174,19790409,    0,    0
140174,19790410,   40,    0
140174,19790411,    3,    0
140174,19790412,    0,    0
140174,19790413,    0,    0
140174,19790414,    2,    0
140174,19790415,    0,    0
140174,19790416,    0,    0
140174,19790417,    0,    0
140174,19790418,    3,    0
140174,19790419,   10,    0
140174,19790420,    0,    0
140174,19790421,    0,    0
140174,19790422,    0,    0
140174,19790423,    0,    0
140174,19790424,    0,    0
140174,19790425,   75,    0
140174,19790426,    4,    0
140174,19790427,    1,    0
140174,19790428,    3,    0
140174,19790429,  142,    0
140174,19790430,  113,    0
140174,19790501,  103,    0
140174,19790502,   17,    0
140174,19790503,  114,    0
140174,19790504,    0,    0
140174,19790505,    0,    0
140174,19790506,    0,    0
140174,19790507,    0,    0
140174,19790508,   13,    0
140174,19790509,    7,    0
140174,19790510,    0,    0
