EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, RODKALLEN_A (STAID: 5767).
Blended and updated with sources: 140502 902188 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140502,19790101,    0,    0
140502,19790102,    0,    0
140502,19790103,    0,    0
140502,19790104,    0,    0
140502,19790105,    4,    0
140502,19790106,   28,    0
140502,19790107,   19,    0
140502,19790108,    0,    0
140502,19790109,    0,    0
140502,19790110,    1,    0
140502,19790111,    3,    0
140502,19790112,    2,    0
140502,19790113,   73,    0
140502,19790114,    0,    0
140502,19790115,   25,    0
140502,19790116,    3,    0
140502,19790117,    0,    0
140502,19790118,    0,    0
140502,19790119,    0,    0
140502,19790120,    0,    0
140502,19790121,    0,    0
140502,19790122,    8,    0
140502,19790123,   20,    0
140502,19790124,    3,    0
140502,19790125,    8,    0
140502,19790126,    5,    0
140502,19790127,   12,    0
140502,19790128,    0,    0
140502,19790129,    0,    0
140502,19790130,    6,    0
140502,19790131,    0,    0
140502,19790201,   15,    0
140502,19790202,   12,    0
140502,19790203,    7,    0
140502,19790204,   12,    0
140502,19790205,    1,    0
140502,19790206,   10,    0
140502,19790207,   30,    0
140502,19790208,    1,    0
140502,19790209,    0,    0
140502,19790210,    0,    0
140502,19790211,    0,    0
140502,19790212,    0,    0
140502,19790213,    0,    0
140502,19790214,    0,    0
140502,19790215,    0,    0
140502,19790216,    0,    0
