EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SVAPPAVAARA (STAID: 5850).
Blended and updated with sources: 140884 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140884,19790101,    0,    0
140884,19790102,    2,    0
140884,19790103,    0,    0
140884,19790104,    0,    0
140884,19790105,    0,    0
140884,19790106,    1,    0
140884,19790107,   42,    0
140884,19790108,   20,    0
140884,19790109,    1,    0
140884,19790110,    6,    0
140884,19790111,    0,    0
140884,19790112,    3,    0
140884,19790113,   19,    0
140884,19790114,    0,    0
140884,19790115,    0,    0
140884,19790116,   18,    0
140884,19790117,    0,    0
140884,19790118,    0,    0
140884,19790119,    0,    0
140884,19790120,    0,    0
140884,19790121,   12,    0
140884,19790122,   16,    0
140884,19790123,   32,    0
140884,19790124,    0,    0
140884,19790125,   13,    0
140884,19790126,    0,    0
140884,19790127,    0,    0
140884,19790128,    0,    0
140884,19790129,    0,    0
140884,19790130,    0,    0
140884,19790131,    0,    0
140884,19790201,   36,    0
140884,19790202,   47,    0
140884,19790203,   39,    0
140884,19790204,   25,    0
140884,19790205,    0,    0
140884,19790206,   56,    0
140884,19790207,   27,    0
140884,19790208,   16,    0
140884,19790209,    0,    0
140884,19790210,    0,    0
140884,19790211,    0,    0
140884,19790212,    0,    0
140884,19790213,    0,    0
140884,19790214,    0,    0
140884,19790215,    0,    0
140884,19790216,    0,    0
140884,19790217,    0,    0
140884,19790218,    0,    0
140884,19790219,    0,    0
140884,19790220,    0,    0
140884,19790221,    0,    0
140884,19790222,    0,    0
140884,19790223,   48,    0
140884,19790224,   34,    0
140884,19790225,    0,    0
140884,19790226,    0,    0
140884,19790227,    0,    0
140884,19790228,   38,    0
140884,19790301,    0,    0
140884,19790302,    0,    0
140884,19790303,   16,    0
140884,19790304,    0,    0
140884,19790305,    8,    0
140884,19790306,    0,    0
140884,19790307,    9,    0
140884,19790308,    2,    0
140884,19790309,   20,    0
140884,19790310,   26,    0
140884,19790311,   18,    0
140884,19790312,   21,    0
140884,19790313,   46,    0
140884,19790314,   25,    0
140884,19790315,    0,    0
140884,19790316,    3,    0
140884,19790317,    0,    0
140884,19790318,    0,    0
140884,19790319,    0,    0
140884,19790320,    0,    0
140884,19790321,    0,    0
140884,19790322,    8,    0
140884,19790323,   19,    0
140884,19790324,   46,    0
140884,19790325,    4,    0
140884,19790326,   27,    0
140884,19790327,   21,    0
140884,19790328,    3,    0
140884,19790329,    0,    0
140884,19790330,    0,    0
140884,19790331,    0,    0
140884,19790401,    0,    0
140884,19790402,    0,    0
140884,19790403,    0,    0
140884,19790404,    0,    0
140884,19790405,    0,    0
140884,19790406,    4,    0
140884,19790407,    5,    0
140884,19790408,   11,    0
140884,19790409,    0,    0
140884,19790410,    6,    0
140884,19790411,   32,    0
140884,19790412,    8,    0
140884,19790413,    2,    0
140884,19790414,    3,    0
140884,19790415,    0,    0
140884,19790416,    0,    0
140884,19790417,    2,    0
140884,19790418,    0,    0
140884,19790419,    3,    0
140884,19790420,    0,    0
140884,19790421,    0,    0
140884,19790422,    0,    0
140884,19790423,    0,    0
140884,19790424,    0,    0
140884,19790425,    0,    0
140884,19790426,    5,    0
140884,19790427,    7,    0
140884,19790428,   11,    0
140884,19790429,   45,    0
140884,19790430,   36,    0
140884,19790501,    9,    0
140884,19790502,    0,    0
140884,19790503,   57,    0
140884,19790504,    0,    0
140884,19790505,    0,    0
140884,19790506,    0,    0
140884,19790507,    0,    0
140884,19790508,    0,    0
140884,19790509,    4,    0
140884,19790510,    0,    0
140884,19790511,    0,    0
140884,19790512,    6,    0
140884,19790513,   13,    0
140884,19790514,    0,    0
140884,19790515,    0,    0
140884,19790516,    6,    0
140884,19790517,  149,    0
140884,19790518,    0,    0
140884,19790519,    0,    0
140884,19790520,    0,    0
140884,19790521,   22,    0
140884,19790522,  160,    0
140884,19790523,    9,    0
140884,19790524,   18,    0
140884,19790525,   42,    0
140884,19790526,    0,    0
140884,19790527,    0,    0
140884,19790528,  122,    0
140884,19790529,   58,    0
140884,19790530,    0,    0
140884,19790531,    0,    0
140884,19790601,    8,    0
140884,19790602,    0,    0
140884,19790603,    0,    0
140884,19790604,    4,    0
140884,19790605,    0,    0
140884,19790606,   12,    0
140884,19790607,   30,    0
140884,19790608,    5,    0
140884,19790609,    3,    0
140884,19790610,    6,    0
140884,19790611,    0,    0
140884,19790612,    0,    0
140884,19790613,    0,    0
140884,19790614,   25,    0
140884,19790615,   46,    0
140884,19790616,   29,    0
140884,19790617,   83,    0
140884,19790618,    0,    0
140884,19790619,    0,    0
140884,19790620,    0,    0
140884,19790621,    0,    0
140884,19790622,   16,    0
140884,19790623,  288,    0
140884,19790624,   16,    0
140884,19790625,    3,    0
140884,19790626,   31,    0
140884,19790627,    2,    0
140884,19790628,   26,    0
140884,19790629,   24,    0
140884,19790630,    6,    0
140884,19790701,   14,    0
140884,19790702,    0,    0
140884,19790703,    0,    0
140884,19790704,    0,    0
140884,19790705,   29,    0
140884,19790706,    0,    0
140884,19790707,    6,    0
140884,19790708,    0,    0
140884,19790709,    0,    0
140884,19790710,    4,    0
140884,19790711,   55,    0
140884,19790712,  275,    0
140884,19790713,   98,    0
140884,19790714,    0,    0
140884,19790715,    0,    0
140884,19790716,    0,    0
140884,19790717,  139,    0
140884,19790718,   82,    0
140884,19790719,   38,    0
140884,19790720,   76,    0
140884,19790721,   38,    0
140884,19790722,   15,    0
140884,19790723,    8,    0
140884,19790724,    4,    0
140884,19790725,    0,    0
140884,19790726,    0,    0
140884,19790727,    0,    0
140884,19790728,    0,    0
140884,19790729,   32,    0
140884,19790730,  118,    0
140884,19790731,  112,    0
140884,19790801,   28,    0
140884,19790802,  166,    0
140884,19790803,   90,    0
140884,19790804,    0,    0
140884,19790805,   11,    0
140884,19790806,    5,    0
140884,19790807,    0,    0
140884,19790808,    0,    0
140884,19790809,    0,    0
140884,19790810,   35,    0
140884,19790811,   36,    0
140884,19790812,   49,    0
140884,19790813,    7,    0
140884,19790814,   10,    0
140884,19790815,   13,    0
140884,19790816,    0,    0
140884,19790817,    0,    0
140884,19790818,    0,    0
140884,19790819,    0,    0
