EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, NIKKALUOKTA (STAID: 5856).
Blended and updated with sources: 140906 140910 902036 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140906,19790101,    0,    0
140906,19790102,    0,    0
140906,19790103,    0,    0
140906,19790104,    0,    0
140906,19790105,    0,    0
140906,19790106,    1,    0
140906,19790107,   27,    0
140906,19790108,    0,    0
140906,19790109,    0,    0
140906,19790110,    9,    0
140906,19790111,    0,    0
140906,19790112,    3,    0
140906,19790113,   10,    0
140906,19790114,    5,    0
140906,19790115,   18,    0
140906,19790116,    7,    0
140906,19790117,    0,    0
140906,19790118,    0,    0
140906,19790119,    0,    0
140906,19790120,    0,    0
140906,19790121,    0,    0
140906,19790122,   14,    0
140906,19790123,   10,    0
140906,19790124,    3,    0
140906,19790125,    8,    0
140906,19790126,    2,    0
140906,19790127,    0,    0
140906,19790128,    0,    0
140906,19790129,    0,    0
140906,19790130,    0,    0
140906,19790131,    0,    0
140906,19790201,   37,    0
140906,19790202,   41,    0
140906,19790203,   19,    0
140906,19790204,    7,    0
140906,19790205,    8,    0
140906,19790206,   12,    0
140906,19790207,    5,    0
140906,19790208,    3,    0
140906,19790209,    0,    0
140906,19790210,    0,    0
140906,19790211,    0,    0
140906,19790212,    0,    0
140906,19790213,    0,    0
140906,19790214,    0,    0
140906,19790215,    2,    0
140906,19790216,    2,    0
140906,19790217,    0,    0
140906,19790218,    0,    0
140906,19790219,    0,    0
140906,19790220,    0,    0
140906,19790221,    0,    0
140906,19790222,    0,    0
