EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, HAMMENHOG (STAID: 5882).
Blended and updated with sources: 137512 137518 137530 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137518,19790101,    0,    0
137518,19790102,    0,    0
137518,19790103,    0,    0
137518,19790104,    0,    0
137518,19790105,    0,    0
137518,19790106,    0,    0
137518,19790107,   84,    0
137518,19790108,   14,    0
137518,19790109,   51,    0
137518,19790110,    0,    0
137518,19790111,    4,    0
137518,19790112,   55,    0
137518,19790113,   10,    0
137518,19790114,    0,    0
137518,19790115,    0,    0
137518,19790116,    4,    0
137518,19790117,    0,    0
137518,19790118,    0,    0
137518,19790119,    2,    0
137518,19790120,    0,    0
137518,19790121,    6,    0
137518,19790122,    1,    0
137518,19790123,   43,    0
137518,19790124,   35,    0
137518,19790125,   40,    0
137518,19790126,    8,    0
137518,19790127,    0,    0
137518,19790128,    0,    0
137518,19790129,    5,    0
137518,19790130,    0,    0
137518,19790131,    6,    0
137518,19790201,   95,    0
137518,19790202,    0,    0
137518,19790203,   11,    0
137518,19790204,    0,    0
137518,19790205,    0,    0
137518,19790206,    0,    0
137518,19790207,   18,    0
137518,19790208,   48,    0
137518,19790209,    5,    0
137518,19790210,    0,    0
137518,19790211,    0,    0
137518,19790212,    0,    0
137518,19790213,    0,    0
137518,19790214,  160,    0
137518,19790215,   28,    0
137518,19790216,    0,    0
137518,19790217,   52,    0
137518,19790218,  138,    0
137518,19790219,    0,    0
137518,19790220,    0,    0
137518,19790221,    0,    0
137518,19790222,    0,    0
137518,19790223,    0,    0
137518,19790224,    0,    0
137518,19790225,    0,    0
137518,19790226,    0,    0
137518,19790227,    0,    0
137518,19790228,    0,    0
137518,19790301,   25,    0
137518,19790302,   82,    0
137518,19790303,   40,    0
137518,19790304,   14,    0
137518,19790305,    0,    0
137518,19790306,    0,    0
137518,19790307,    0,    0
137518,19790308,    0,    0
137518,19790309,  102,    0
137518,19790310,   10,    0
137518,19790311,   55,    0
137518,19790312,   86,    0
137518,19790313,    0,    0
137518,19790314,    0,    0
137518,19790315,   54,    0
137518,19790316,  160,    0
137518,19790317,  177,    0
137518,19790318,   14,    0
137518,19790319,    0,    0
137518,19790320,    0,    0
137518,19790321,    0,    0
137518,19790322,   70,    0
137518,19790323,   40,    0
137518,19790324,    0,    0
137518,19790325,   50,    0
137518,19790326,   28,    0
137518,19790327,    0,    0
137518,19790328,    0,    0
137518,19790329,   33,    0
137518,19790330,   88,    0
137518,19790331,   45,    0
137518,19790401,   25,    0
137518,19790402,   15,    0
137518,19790403,   62,    0
137518,19790404,    0,    0
137518,19790405,    0,    0
137518,19790406,    0,    0
137518,19790407,    0,    0
137518,19790408,    0,    0
137518,19790409,    0,    0
137518,19790410,    0,    0
137518,19790411,    0,    0
137518,19790412,    0,    0
137518,19790413,    0,    0
137518,19790414,    0,    0
137518,19790415,    0,    0
137518,19790416,    0,    0
137518,19790417,    0,    0
137518,19790418,    0,    0
137518,19790419,    0,    0
137518,19790420,    5,    0
137518,19790421,    0,    0
137518,19790422,   15,    0
137518,19790423,   35,    0
137518,19790424,   65,    0
137518,19790425,    0,    0
137518,19790426,    0,    0
137518,19790427,    0,    0
137518,19790428,    0,    0
137518,19790429,  145,    0
137518,19790430,   18,    0
137518,19790501,    0,    0
137518,19790502,   80,    0
137518,19790503,    0,    0
137518,19790504,    0,    0
137518,19790505,    0,    0
137518,19790506,    0,    0
137518,19790507,   13,    0
137518,19790508,    0,    0
137518,19790509,    0,    0
137518,19790510,    0,    0
137518,19790511,    0,    0
137518,19790512,    0,    0
137518,19790513,    0,    0
137518,19790514,    0,    0
137518,19790515,    0,    0
137518,19790516,    0,    0
137518,19790517,   51,    0
137518,19790518,   18,    0
137518,19790519,    0,    0
137518,19790520,    0,    0
137518,19790521,   40,    0
137518,19790522,  119,    0
137518,19790523,   43,    0
137518,19790524,  117,    0
137518,19790525,   15,    0
137518,19790526,    0,    0
137518,19790527,  118,    0
137518,19790528,    0,    0
137518,19790529,    0,    0
137518,19790530,    0,    0
137518,19790531,    0,    0
137518,19790601,    0,    0
137518,19790602,    0,    0
137518,19790603,    0,    0
137518,19790604,    0,    0
137518,19790605,    0,    0
137518,19790606,    0,    0
137518,19790607,   12,    0
137518,19790608,   30,    0
137518,19790609,    0,    0
137518,19790610,    0,    0
137518,19790611,    0,    0
137518,19790612,    0,    0
137518,19790613,    0,    0
137518,19790614,    8,    0
137518,19790615,   12,    0
137518,19790616,    0,    0
137518,19790617,    0,    0
137518,19790618,    0,    0
137518,19790619,    0,    0
137518,19790620,    0,    0
137518,19790621,    0,    0
137518,19790622,    0,    0
137518,19790623,    0,    0
137518,19790624,    0,    0
137518,19790625,    0,    0
137518,19790626,    0,    0
137518,19790627,    0,    0
137518,19790628,    0,    0
137518,19790629,    0,    0
137518,19790630,   16,    0
137518,19790701,   53,    0
137518,19790702,    0,    0
137518,19790703,    0,    0
137518,19790704,    0,    0
137518,19790705,    0,    0
137518,19790706,    0,    0
137518,19790707,   16,    0
137518,19790708,   30,    0
137518,19790709,    0,    0
137518,19790710,    0,    0
137518,19790711,  346,    0
137518,19790712,    0,    0
137518,19790713,    0,    0
137518,19790714,    0,    0
137518,19790715,    0,    0
137518,19790716,   70,    0
137518,19790717,   67,    0
137518,19790718,   36,    0
137518,19790719,   19,    0
137518,19790720,    7,    0
137518,19790721,    9,    0
137518,19790722,   24,    0
137518,19790723,    0,    0
137518,19790724,   99,    0
137518,19790725,    0,    0
137518,19790726,    0,    0
137518,19790727,    0,    0
137518,19790728,    0,    0
137518,19790729,   55,    0
137518,19790730,    5,    0
137518,19790731,    0,    0
137518,19790801,    9,    0
137518,19790802,    2,    0
137518,19790803,    0,    0
137518,19790804,    0,    0
137518,19790805,    0,    0
137518,19790806,    0,    0
137518,19790807,    0,    0
137518,19790808,    9,    0
137518,19790809,   14,    0
137518,19790810,  332,    0
137518,19790811,    0,    0
137518,19790812,    0,    0
