EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, TOSTEBERGA (STAID: 5915).
Blended and updated with sources: 137624 137646 137652 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137624,19790101,    0,    0
137624,19790102,    0,    0
137624,19790103,    0,    0
137624,19790104,    0,    0
137624,19790105,    0,    0
137624,19790106,    0,    0
137624,19790107,   27,    0
137624,19790108,    0,    0
137624,19790109,   76,    0
137624,19790110,    0,    0
137624,19790111,   22,    0
137624,19790112,   76,    0
137624,19790113,    0,    0
137624,19790114,    0,    0
137624,19790115,    0,    0
137624,19790116,    0,    0
137624,19790117,    0,    0
137624,19790118,    0,    0
137624,19790119,    5,    0
137624,19790120,    0,    0
137624,19790121,    6,    0
137624,19790122,   14,    0
137624,19790123,   42,    0
137624,19790124,   40,    0
137624,19790125,    8,    0
137624,19790126,    0,    0
137624,19790127,    0,    0
137624,19790128,    0,    0
137624,19790129,    0,    0
137624,19790130,    8,    0
137624,19790131,    3,    0
137624,19790201,   11,    0
137624,19790202,    0,    0
137624,19790203,    2,    0
137624,19790204,    0,    0
137624,19790205,    0,    0
137624,19790206,    0,    0
137624,19790207,    7,    0
137624,19790208,   54,    0
137624,19790209,    6,    0
137624,19790210,    0,    0
137624,19790211,    0,    0
137624,19790212,    0,    0
137624,19790213,    0,    0
137624,19790214,    6,    0
137624,19790215,    0,    0
137624,19790216,    0,    0
137624,19790217,   42,    0
137624,19790218,   83,    0
137624,19790219,    0,    0
137624,19790220,    0,    0
137624,19790221,    0,    0
137624,19790222,    0,    0
137624,19790223,    0,    0
137624,19790224,    0,    0
137624,19790225,    0,    0
137624,19790226,    0,    0
137624,19790227,    0,    0
137624,19790228,    0,    0
137624,19790301,   16,    0
137624,19790302,   18,    0
137624,19790303,   13,    0
137624,19790304,    0,    0
137624,19790305,    0,    0
137624,19790306,    0,    0
137624,19790307,    0,    0
137624,19790308,    0,    0
137624,19790309,   82,    0
137624,19790310,    0,    0
137624,19790311,   39,    0
137624,19790312,  119,    0
137624,19790313,    0,    0
137624,19790314,    0,    0
137624,19790315,    0,    0
137624,19790316,   66,    0
137624,19790317,   18,    0
137624,19790318,    0,    0
137624,19790319,    0,    0
137624,19790320,    0,    0
137624,19790321,    0,    0
137624,19790322,   44,    0
137624,19790323,   32,    0
137624,19790324,    0,    0
137624,19790325,   20,    0
137624,19790326,   40,    0
137624,19790327,    0,    0
137624,19790328,    4,    0
137624,19790329,    4,    0
137624,19790330,   35,    0
137624,19790331,  108,    0
137624,19790401,   99,    0
137624,19790402,   34,    0
137624,19790403,   61,    0
137624,19790404,    0,    0
137624,19790405,    0,    0
137624,19790406,    0,    0
137624,19790407,    0,    0
137624,19790408,    0,    0
137624,19790409,    0,    0
137624,19790410,    0,    0
137624,19790411,    0,    0
137624,19790412,    0,    0
137624,19790413,    0,    0
137624,19790414,    0,    0
137624,19790415,    0,    0
137624,19790416,    0,    0
137624,19790417,    0,    0
137624,19790418,    0,    0
137624,19790419,    9,    0
137624,19790420,    4,    0
137624,19790421,   14,    0
137624,19790422,    0,    0
137624,19790423,   40,    0
137624,19790424,    0,    0
137624,19790425,    0,    0
137624,19790426,    0,    0
137624,19790427,    0,    0
137624,19790428,    0,    0
137624,19790429,   54,    0
137624,19790430,   35,    0
137624,19790501,    3,    0
137624,19790502,   70,    0
137624,19790503,    0,    0
137624,19790504,    0,    0
137624,19790505,    0,    0
137624,19790506,    0,    0
137624,19790507,    0,    0
137624,19790508,    0,    0
137624,19790509,    0,    0
137624,19790510,    0,    0
137624,19790511,    0,    0
137624,19790512,    0,    0
137624,19790513,    0,    0
137624,19790514,    0,    0
137624,19790515,    0,    0
137624,19790516,    0,    0
137624,19790517,    0,    0
137624,19790518,    0,    0
137624,19790519,    0,    0
137624,19790520,    0,    0
137624,19790521,    0,    0
137624,19790522,  180,    0
137624,19790523,   61,    0
137624,19790524,   63,    0
137624,19790525,   48,    0
137624,19790526,    0,    0
137624,19790527,   70,    0
137624,19790528,    0,    0
137624,19790529,    0,    0
137624,19790530,    0,    0
137624,19790531,    0,    0
137624,19790601,    0,    0
137624,19790602,    0,    0
137624,19790603,    0,    0
137624,19790604,    0,    0
137624,19790605,    0,    0
137624,19790606,    0,    0
137624,19790607,    0,    0
137624,19790608,   41,    0
137624,19790609,    0,    0
137624,19790610,    0,    0
137624,19790611,    0,    0
137624,19790612,    0,    0
137624,19790613,    0,    0
137624,19790614,    0,    0
137624,19790615,   19,    0
137624,19790616,    0,    0
137624,19790617,    0,    0
137624,19790618,    0,    0
137624,19790619,    0,    0
137624,19790620,    0,    0
137624,19790621,    0,    0
137624,19790622,    0,    0
137624,19790623,    0,    0
137624,19790624,   45,    0
137624,19790625,    0,    0
137624,19790626,    0,    0
137624,19790627,    0,    0
137624,19790628,    0,    0
137624,19790629,   17,    0
137624,19790630,   12,    0
137624,19790701,   82,    0
137624,19790702,    0,    0
137624,19790703,    0,    0
137624,19790704,    0,    0
137624,19790705,    0,    0
137624,19790706,    0,    0
137624,19790707,    0,    0
137624,19790708,   52,    0
137624,19790709,  108,    0
137624,19790710,    2,    0
137624,19790711,    7,    0
137624,19790712,   23,    0
137624,19790713,    0,    0
137624,19790714,    0,    0
137624,19790715,    0,    0
137624,19790716,   12,    0
137624,19790717,    0,    0
137624,19790718,    6,    0
137624,19790719,   11,    0
137624,19790720,    6,    0
137624,19790721,   15,    0
137624,19790722,    0,    0
137624,19790723,    0,    0
137624,19790724,    0,    0
137624,19790725,    0,    0
137624,19790726,    0,    0
137624,19790727,    0,    0
137624,19790728,    0,    0
137624,19790729,   48,    0
137624,19790730,  107,    0
137624,19790731,    0,    0
137624,19790801,    8,    0
137624,19790802,   35,    0
137624,19790803,    0,    0
137624,19790804,    0,    0
137624,19790805,    0,    0
137624,19790806,    0,    0
137624,19790807,    0,    0
137624,19790808,   14,    0
137624,19790809,    0,    0
137624,19790810,  430,    0
137624,19790811,   20,    0
137624,19790812,    0,    0
137624,19790813,    0,    0
137624,19790814,    0,    0
137624,19790815,    0,    0
137624,19790816,    0,    0
137624,19790817,    0,    0
137624,19790818,    0,    0
137624,19790819,    0,    0
137624,19790820,    5,    0
137624,19790821,    0,    0
137624,19790822,    7,    0
137624,19790823,    3,    0
137624,19790824,    3,    0
137624,19790825,  212,    0
137624,19790826,   22,    0
137624,19790827,   22,    0
137624,19790828,    0,    0
137624,19790829,    0,    0
137624,19790830,    0,    0
137624,19790831,    0,    0
137624,19790901,    0,    0
137624,19790902,    0,    0
137624,19790903,   50,    0
137624,19790904,    0,    0
137624,19790905,    0,    0
137624,19790906,    0,    0
137624,19790907,    0,    0
137624,19790908,    0,    0
137624,19790909,    0,    0
137624,19790910,    9,    0
137624,19790911,    0,    0
137624,19790912,    0,    0
137624,19790913,    0,    0
137624,19790914,   38,    0
137624,19790915,    0,    0
137624,19790916,   19,    0
137624,19790917,   37,    0
137624,19790918,   11,    0
137624,19790919,    0,    0
137624,19790920,   50,    0
137624,19790921,    0,    0
137624,19790922,    0,    0
137624,19790923,    0,    0
137624,19790924,    0,    0
137624,19790925,    0,    0
137624,19790926,   10,    0
137624,19790927,    0,    0
137624,19790928,    0,    0
137624,19790929,    2,    0
137624,19790930,    0,    0
137624,19791001,    0,    0
137624,19791002,    0,    0
137624,19791003,    0,    0
137624,19791004,    0,    0
137624,19791005,    0,    0
137624,19791006,    0,    0
137624,19791007,    0,    0
137624,19791008,    0,    0
137624,19791009,    0,    0
137624,19791010,    0,    0
137624,19791011,    0,    0
137624,19791012,    0,    0
137624,19791013,    0,    0
137624,19791014,    0,    0
137624,19791015,   23,    0
137624,19791016,    0,    0
137624,19791017,    0,    0
137624,19791018,   18,    0
137624,19791019,    0,    0
137624,19791020,    0,    0
137624,19791021,   17,    0
137624,19791022,    0,    0
137624,19791023,    0,    0
137624,19791024,    0,    0
137624,19791025,    0,    0
137624,19791026,    0,    0
137624,19791027,    0,    0
137624,19791028,    0,    0
