EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, BJUV (STAID: 5926).
Blended and updated with sources: 137634 137658 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137658,19790101,    6,    0
137658,19790102,    2,    0
137658,19790103,    0,    0
137658,19790104,    0,    0
137658,19790105,    0,    0
137658,19790106,    0,    0
137658,19790107,   63,    0
137658,19790108,    6,    0
137658,19790109,   75,    0
137658,19790110,    0,    0
137658,19790111,    5,    0
137658,19790112,   55,    0
137658,19790113,   15,    0
137658,19790114,    0,    0
137658,19790115,    0,    0
137658,19790116,    0,    0
137658,19790117,    0,    0
137658,19790118,    0,    0
137658,19790119,    5,    0
137658,19790120,    0,    0
137658,19790121,    1,    0
137658,19790122,    3,    0
137658,19790123,   52,    0
137658,19790124,   20,    0
137658,19790125,   67,    0
137658,19790126,   10,    0
137658,19790127,   10,    0
137658,19790128,    0,    0
137658,19790129,    0,    0
137658,19790130,    0,    0
137658,19790131,    6,    0
137658,19790201,   70,    0
137658,19790202,    0,    0
137658,19790203,   22,    0
137658,19790204,    5,    0
137658,19790205,    0,    0
137658,19790206,    0,    0
137658,19790207,   64,    0
137658,19790208,   76,    0
137658,19790209,    0,    0
137658,19790210,    0,    0
137658,19790211,    1,    0
137658,19790212,    0,    0
137658,19790213,    3,    0
137658,19790214,    0,    0
137658,19790215,    0,    0
137658,19790216,    0,    0
137658,19790217,    4,    0
137658,19790218,   32,    0
137658,19790219,    0,    0
137658,19790220,    0,    0
137658,19790221,    0,    0
137658,19790222,    0,    0
137658,19790223,    0,    0
137658,19790224,    0,    0
137658,19790225,    0,    0
137658,19790226,   16,    0
137658,19790227,   46,    0
137658,19790228,    0,    0
137658,19790301,   35,    0
137658,19790302,   52,    0
137658,19790303,   26,    0
137658,19790304,    2,    0
137658,19790305,    0,    0
137658,19790306,    0,    0
137658,19790307,    3,    0
137658,19790308,   10,    0
137658,19790309,  160,    0
137658,19790310,   34,    0
137658,19790311,   83,    0
137658,19790312,  112,    0
137658,19790313,    0,    0
137658,19790314,    0,    0
137658,19790315,    0,    0
137658,19790316,  120,    0
137658,19790317,   23,    0
137658,19790318,    2,    0
137658,19790319,    0,    0
137658,19790320,    0,    0
137658,19790321,   58,    0
137658,19790322,   64,    0
137658,19790323,   22,    0
137658,19790324,    0,    0
137658,19790325,   83,    0
137658,19790326,  141,    0
137658,19790327,   16,    0
137658,19790328,    0,    0
137658,19790329,    0,    0
137658,19790330,   12,    0
137658,19790331,   46,    0
137658,19790401,   23,    0
137658,19790402,   40,    0
