EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, HORLINGE (STAID: 5940).
Blended and updated with sources: 137676 137696 137734 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137676,19790101,    3,    0
137676,19790102,    0,    0
137676,19790103,    0,    0
137676,19790104,    0,    0
137676,19790105,    2,    0
137676,19790106,    1,    0
137676,19790107,   88,    0
137676,19790108,    2,    0
137676,19790109,   42,    0
137676,19790110,    0,    0
137676,19790111,   31,    0
137676,19790112,   59,    0
137676,19790113,   10,    0
137676,19790114,    0,    0
137676,19790115,    0,    0
137676,19790116,    0,    0
137676,19790117,    6,    0
137676,19790118,    3,    0
137676,19790119,    4,    0
137676,19790120,    1,    0
137676,19790121,   10,    0
137676,19790122,    5,    0
137676,19790123,   46,    0
137676,19790124,   38,    0
137676,19790125,   56,    0
137676,19790126,   13,    0
137676,19790127,    3,    0
137676,19790128,    0,    0
137676,19790129,    0,    0
137676,19790130,    8,    0
137676,19790131,    2,    0
137676,19790201,   79,    0
137676,19790202,    7,    0
137676,19790203,   35,    0
137676,19790204,    4,    0
137676,19790205,    2,    0
137676,19790206,    0,    0
137676,19790207,   15,    0
137676,19790208,   57,    0
137676,19790209,    8,    0
137676,19790210,    0,    0
137676,19790211,    0,    0
137676,19790212,    0,    0
137676,19790213,    3,    0
137676,19790214,    0,    0
137676,19790215,    0,    0
137676,19790216,    0,    0
137676,19790217,   48,    0
137676,19790218,   78,    0
137676,19790219,    0,    0
137676,19790220,    0,    0
137676,19790221,    0,    0
137676,19790222,    0,    0
137676,19790223,    0,    0
137676,19790224,    0,    0
137676,19790225,    0,    0
137676,19790226,    8,    0
137676,19790227,   10,    0
137676,19790228,    0,    0
137676,19790301,   29,    0
137676,19790302,   70,    0
137676,19790303,   22,    0
137676,19790304,    3,    0
137676,19790305,    0,    0
137676,19790306,    0,    0
137676,19790307,    6,    0
137676,19790308,    2,    0
137676,19790309,  150,    0
137676,19790310,   29,    0
137676,19790311,   20,    0
137676,19790312,  125,    0
137676,19790313,    3,    0
137676,19790314,    0,    0
137676,19790315,    0,    0
137676,19790316,   66,    0
137676,19790317,   16,    0
137676,19790318,    5,    0
137676,19790319,    0,    0
137676,19790320,    2,    0
137676,19790321,   14,    0
137676,19790322,   50,    0
137676,19790323,   43,    0
137676,19790324,    5,    0
137676,19790325,   43,    0
137676,19790326,   60,    0
137676,19790327,    0,    0
137676,19790328,    9,    0
137676,19790329,    3,    0
137676,19790330,   40,    0
137676,19790331,  110,    0
137676,19790401,   73,    0
137676,19790402,   36,    0
137676,19790403,   92,    0
137676,19790404,    0,    0
137676,19790405,    0,    0
137676,19790406,    7,    0
137676,19790407,    0,    0
137676,19790408,    0,    0
137676,19790409,    0,    0
137676,19790410,    0,    0
137676,19790411,    0,    0
137676,19790412,    0,    0
137676,19790413,    3,    0
137676,19790414,    0,    0
137676,19790415,    0,    0
137676,19790416,    0,    0
137676,19790417,    0,    0
137676,19790418,    0,    0
137676,19790419,    0,    0
137676,19790420,    2,    0
137676,19790421,    8,    0
137676,19790422,   17,    0
137676,19790423,   33,    0
137676,19790424,   28,    0
137676,19790425,    0,    0
137676,19790426,    0,    0
137676,19790427,    0,    0
137676,19790428,    1,    0
137676,19790429,  153,    0
137676,19790430,   64,    0
137676,19790501,   19,    0
137676,19790502,  111,    0
137676,19790503,   14,    0
137676,19790504,    4,    0
137676,19790505,    2,    0
137676,19790506,    0,    0
137676,19790507,   41,    0
137676,19790508,   15,    0
137676,19790509,    0,    0
137676,19790510,    0,    0
137676,19790511,    0,    0
137676,19790512,    0,    0
137676,19790513,    0,    0
137676,19790514,    0,    0
137676,19790515,    0,    0
137676,19790516,    0,    0
137676,19790517,   32,    0
137676,19790518,   42,    0
137676,19790519,    0,    0
137676,19790520,    0,    0
137676,19790521,   17,    0
137676,19790522,  102,    0
137676,19790523,   26,    0
137676,19790524,  130,    0
137676,19790525,   13,    0
137676,19790526,    3,    0
137676,19790527,   57,    0
137676,19790528,    0,    0
137676,19790529,    0,    0
137676,19790530,    0,    0
137676,19790531,    0,    0
137676,19790601,    0,    0
137676,19790602,    0,    0
137676,19790603,    0,    0
137676,19790604,    0,    0
137676,19790605,    0,    0
137676,19790606,    0,    0
137676,19790607,   11,    0
137676,19790608,   12,    0
137676,19790609,    1,    0
137676,19790610,    0,    0
137676,19790611,    0,    0
137676,19790612,    0,    0
137676,19790613,    7,    0
137676,19790614,    0,    0
137676,19790615,    8,    0
137676,19790616,    0,    0
137676,19790617,    0,    0
137676,19790618,    0,    0
137676,19790619,    0,    0
137676,19790620,    0,    0
137676,19790621,    0,    0
137676,19790622,    0,    0
137676,19790623,    0,    0
137676,19790624,   27,    0
137676,19790625,    0,    0
137676,19790626,    5,    0
137676,19790627,    0,    0
137676,19790628,   24,    0
137676,19790629,   40,    0
137676,19790630,   96,    0
137676,19790701,   78,    0
137676,19790702,    1,    0
137676,19790703,    0,    0
137676,19790704,    0,    0
137676,19790705,    0,    0
137676,19790706,    0,    0
137676,19790707,    0,    0
137676,19790708,  116,    0
137676,19790709,    3,    0
137676,19790710,    3,    0
137676,19790711,    5,    0
137676,19790712,    0,    0
137676,19790713,    0,    0
137676,19790714,    0,    0
137676,19790715,    0,    0
137676,19790716,    2,    0
137676,19790717,    0,    0
137676,19790718,   41,    0
137676,19790719,   59,    0
137676,19790720,   48,    0
137676,19790721,   27,    0
137676,19790722,    2,    0
137676,19790723,    0,    0
137676,19790724,   31,    0
137676,19790725,    0,    0
137676,19790726,    0,    0
137676,19790727,    0,    0
137676,19790728,    0,    0
137676,19790729,  140,    0
137676,19790730,   15,    0
137676,19790731,    0,    0
137676,19790801,    6,    0
137676,19790802,    5,    0
137676,19790803,    0,    0
137676,19790804,    0,    0
137676,19790805,   22,    0
137676,19790806,    0,    0
137676,19790807,    0,    0
137676,19790808,    0,    0
137676,19790809,    0,    0
137676,19790810,  364,    0
137676,19790811,    0,    0
137676,19790812,    0,    0
137676,19790813,    0,    0
137676,19790814,    0,    0
137676,19790815,    0,    0
137676,19790816,    0,    0
137676,19790817,    0,    0
137676,19790818,    0,    0
137676,19790819,    0,    0
137676,19790820,    1,    0
137676,19790821,    7,    0
137676,19790822,    5,    0
137676,19790823,    8,    0
137676,19790824,    0,    0
137676,19790825,  173,    0
137676,19790826,   68,    0
137676,19790827,   36,    0
137676,19790828,    0,    0
137676,19790829,    0,    0
137676,19790830,    0,    0
137676,19790831,    0,    0
137676,19790901,    0,    0
137676,19790902,    0,    0
137676,19790903,    9,    0
137676,19790904,    0,    0
137676,19790905,    0,    0
137676,19790906,    0,    0
137676,19790907,    0,    0
137676,19790908,    0,    0
137676,19790909,    4,    0
137676,19790910,    0,    0
137676,19790911,   10,    0
137676,19790912,    0,    0
137676,19790913,    0,    0
137676,19790914,  100,    0
137676,19790915,    5,    0
137676,19790916,   13,    0
137676,19790917,   77,    0
137676,19790918,   73,    0
137676,19790919,    0,    0
137676,19790920,   52,    0
137676,19790921,    2,    0
137676,19790922,    0,    0
137676,19790923,    0,    0
137676,19790924,    0,    0
137676,19790925,    0,    0
137676,19790926,    4,    0
137676,19790927,    0,    0
137676,19790928,   28,    0
137676,19790929,    7,    0
137676,19790930,    0,    0
137676,19791001,    0,    0
137676,19791002,    0,    0
137676,19791003,    0,    0
137676,19791004,    0,    0
137676,19791005,    0,    0
137676,19791006,    0,    0
137676,19791007,    0,    0
137676,19791008,    0,    0
137676,19791009,    0,    0
137676,19791010,    0,    0
137676,19791011,    0,    0
137676,19791012,    0,    0
137676,19791013,    0,    0
137676,19791014,    0,    0
137676,19791015,   15,    0
137676,19791016,    3,    0
137676,19791017,    0,    0
137676,19791018,   15,    0
137676,19791019,   14,    0
137676,19791020,    0,    0
137676,19791021,   25,    0
137676,19791022,    0,    0
137676,19791023,    0,    0
137676,19791024,    0,    0
137676,19791025,    0,    0
137676,19791026,    0,    0
137676,19791027,    0,    0
137676,19791028,    0,    0
137676,19791029,    0,    0
137676,19791030,    0,    0
137676,19791031,   37,    0
137676,19791101,   73,    0
137676,19791102,   12,    0
137676,19791103,    0,    0
137676,19791104,  193,    0
137676,19791105,   11,    0
137676,19791106,   22,    0
137676,19791107,    5,    0
137676,19791108,    0,    0
137676,19791109,    0,    0
137676,19791110,    0,    0
137676,19791111,   26,    0
137676,19791112,   67,    0
137676,19791113,   31,    0
137676,19791114,    8,    0
137676,19791115,   69,    0
137676,19791116,   36,    0
137676,19791117,    0,    0
137676,19791118,   58,    0
137676,19791119,   21,    0
137676,19791120,    0,    0
137676,19791121,    2,    0
137676,19791122,    0,    0
137676,19791123,   33,    0
137676,19791124,    8,    0
137676,19791125,  171,    0
137676,19791126,  125,    0
137676,19791127,    0,    0
137676,19791128,   47,    0
137676,19791129,    4,    0
137676,19791130,   95,    0
137676,19791201,   21,    0
137676,19791202,   13,    0
137676,19791203,   58,    0
137676,19791204,   16,    0
137676,19791205,   74,    0
137676,19791206,    0,    0
137676,19791207,    0,    0
137676,19791208,    0,    0
137676,19791209,  170,    0
137676,19791210,  216,    0
137676,19791211,    2,    0
137676,19791212,    0,    0
137676,19791213,    7,    0
137676,19791214,   24,    0
137676,19791215,   98,    0
137676,19791216,    8,    0
137676,19791217,  115,    0
137676,19791218,   35,    0
137676,19791219,    0,    0
137676,19791220,    2,    0
137676,19791221,    0,    0
137676,19791222,    0,    0
137676,19791223,    0,    0
137676,19791224,    0,    0
137676,19791225,    9,    0
137676,19791226,    1,    0
137676,19791227,   10,    0
137676,19791228,    8,    0
137676,19791229,   10,    0
137676,19791230,   49,    0
137676,19791231,    5,    0
137676,19800101,    2,    0
137676,19800102,    0,    0
137676,19800103,    0,    0
137676,19800104,    0,    0
137676,19800105,    9,    0
137676,19800106,    5,    0
137676,19800107,   21,    0
137676,19800108,   36,    0
137676,19800109,   25,    0
137676,19800110,    3,    0
137676,19800111,    0,    0
137676,19800112,    0,    0
137676,19800113,    0,    0
137676,19800114,   14,    0
137676,19800115,    0,    0
137676,19800116,    0,    0
137676,19800117,    0,    0
137676,19800118,    0,    0
137676,19800119,    0,    0
137676,19800120,    0,    0
137676,19800121,    7,    0
137676,19800122,   23,    0
137676,19800123,    2,    0
137676,19800124,    3,    0
137676,19800125,    5,    0
137676,19800126,    0,    0
137676,19800127,   29,    0
137676,19800128,    2,    0
137676,19800129,   11,    0
137676,19800130,  130,    0
137676,19800131,  140,    0
137676,19800201,    6,    0
137676,19800202,   20,    0
137676,19800203,    0,    0
137676,19800204,    0,    0
137676,19800205,    0,    0
137676,19800206,    9,    0
137676,19800207,  170,    0
137676,19800208,    0,    0
137676,19800209,  100,    0
137676,19800210,   53,    0
137676,19800211,    0,    0
137676,19800212,    1,    0
137676,19800213,    7,    0
137676,19800214,    0,    0
137676,19800215,   15,    0
137676,19800216,    0,    0
137676,19800217,    0,    0
137676,19800218,    0,    0
137676,19800219,    0,    0
137676,19800220,    0,    0
137676,19800221,    0,    0
137676,19800222,    0,    0
137676,19800223,    0,    0
137676,19800224,    0,    0
137676,19800225,    0,    0
137676,19800226,    3,    0
137676,19800227,    0,    0
137676,19800228,   10,    0
137676,19800229,    8,    0
137676,19800301,    0,    0
137676,19800302,    3,    0
137676,19800303,    0,    0
137676,19800304,    0,    0
137676,19800305,    0,    0
137676,19800306,   15,    0
137676,19800307,   11,    0
137676,19800308,    0,    0
137676,19800309,    0,    0
137676,19800310,    2,    0
137676,19800311,    5,    0
137676,19800312,    0,    0
137676,19800313,    0,    0
137676,19800314,    0,    0
137676,19800315,    0,    0
137676,19800316,    0,    0
137676,19800317,    0,    0
137676,19800318,    0,    0
137676,19800319,    0,    0
137676,19800320,    0,    0
137676,19800321,    0,    0
137676,19800322,    0,    0
137676,19800323,    0,    0
137676,19800324,    0,    0
137676,19800325,    0,    0
137676,19800326,    0,    0
137676,19800327,    0,    0
137676,19800328,   72,    0
137676,19800329,    7,    0
137676,19800330,    2,    0
137676,19800331,    0,    0
137676,19800401,    0,    0
137676,19800402,    0,    0
137676,19800403,    0,    0
137676,19800404,    0,    0
137676,19800405,    0,    0
137676,19800406,    0,    0
137676,19800407,    0,    0
137676,19800408,   18,    0
137676,19800409,    0,    0
137676,19800410,    0,    0
137676,19800411,    0,    0
137676,19800412,    0,    0
137676,19800413,    0,    0
137676,19800414,    0,    0
137676,19800415,    0,    0
137676,19800416,    0,    0
137676,19800417,    0,    0
137676,19800418,   22,    0
137676,19800419,   51,    0
137676,19800420,   18,    0
137676,19800421,    2,    0
137676,19800422,    0,    0
137676,19800423,    0,    0
137676,19800424,  130,    0
137676,19800425,    0,    0
137676,19800426,   50,    0
137676,19800427,   28,    0
137676,19800428,    0,    0
137676,19800429,    0,    0
137676,19800430,    0,    0
137676,19800501,    0,    0
137676,19800502,    0,    0
137676,19800503,    3,    0
137676,19800504,    0,    0
137676,19800505,    0,    0
137676,19800506,    5,    0
137676,19800507,   10,    0
137676,19800508,    3,    0
137676,19800509,    0,    0
137676,19800510,    0,    0
137676,19800511,    0,    0
137676,19800512,    0,    0
137676,19800513,    0,    0
137676,19800514,    0,    0
137676,19800515,    0,    0
137676,19800516,    0,    0
137676,19800517,    0,    0
137676,19800518,    0,    0
137676,19800519,    0,    0
137676,19800520,   21,    0
137676,19800521,    0,    0
137676,19800522,    0,    0
137676,19800523,   51,    0
137676,19800524,    0,    0
137676,19800525,    4,    0
137676,19800526,    0,    0
137676,19800527,    0,    0
137676,19800528,   19,    0
137676,19800529,   19,    0
137676,19800530,   40,    0
137676,19800531,   12,    0
137676,19800601,    0,    0
137676,19800602,    0,    0
137676,19800603,    0,    0
137676,19800604,    0,    0
137676,19800605,    0,    0
137676,19800606,    0,    0
137676,19800607,    0,    0
137676,19800608,   18,    0
137676,19800609,    0,    0
137676,19800610,    0,    0
137676,19800611,    0,    0
137676,19800612,  105,    0
137676,19800613,    0,    0
137676,19800614,    0,    0
137676,19800615,  303,    0
137676,19800616,    0,    0
137676,19800617,    0,    0
137676,19800618,   22,    0
137676,19800619,   51,    0
137676,19800620,   18,    0
137676,19800621,    2,    0
137676,19800622,    0,    0
137676,19800623,    0,    0
137676,19800624,    4,    0
137676,19800625,  126,    0
137676,19800626,   50,    0
137676,19800627,   28,    0
137676,19800628,  118,    0
137676,19800629,    0,    0
137676,19800630,    0,    0
137696,19800701,-9999,    9
137696,19800702,-9999,    9
137696,19800703,-9999,    9
137696,19800704,-9999,    9
137696,19800705,-9999,    9
137696,19800706,-9999,    9
137696,19800707,-9999,    9
137696,19800708,-9999,    9
137696,19800709,-9999,    9
137696,19800710,-9999,    9
137696,19800711,-9999,    9
137696,19800712,-9999,    9
137696,19800713,-9999,    9
137696,19800714,-9999,    9
137696,19800715,-9999,    9
137696,19800716,-9999,    9
137696,19800717,-9999,    9
137696,19800718,-9999,    9
