EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, BREDAKRA_D (STAID: 5950).
Blended and updated with sources: 137706 137722 137724 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137724,19790101,    0,    0
137724,19790102,    0,    0
137724,19790103,    6,    0
137724,19790104,    1,    0
137724,19790105,    0,    0
137724,19790106,    1,    0
137724,19790107,   50,    0
137724,19790108,    0,    0
137724,19790109,   46,    0
137724,19790110,   17,    0
137724,19790111,   57,    0
137724,19790112,   50,    0
137724,19790113,    5,    0
137724,19790114,    0,    0
137724,19790115,    0,    0
137724,19790116,    0,    0
137724,19790117,    3,    0
137724,19790118,    0,    0
137724,19790119,    1,    0
137724,19790120,    3,    0
137724,19790121,   16,    0
137724,19790122,    7,    0
137724,19790123,   40,    0
137724,19790124,   38,    0
137724,19790125,  120,    0
137724,19790126,    2,    0
137724,19790127,    3,    0
137724,19790128,    0,    0
137724,19790129,    0,    0
137724,19790130,   13,    0
137724,19790131,   15,    0
137724,19790201,   24,    0
137724,19790202,    0,    0
137724,19790203,   32,    0
137724,19790204,    0,    0
137724,19790205,    3,    0
137724,19790206,    0,    0
137724,19790207,    5,    0
137724,19790208,   50,    0
137724,19790209,    0,    0
137724,19790210,    0,    0
137724,19790211,    0,    0
137724,19790212,    0,    0
137724,19790213,    0,    0
137724,19790214,    8,    0
137724,19790215,    5,    0
137724,19790216,    0,    0
137724,19790217,   12,    0
137724,19790218,  156,    0
137724,19790219,    0,    0
137724,19790220,    0,    0
137724,19790221,    0,    0
137724,19790222,    0,    0
137724,19790223,    0,    0
137724,19790224,    0,    0
137724,19790225,    0,    0
137724,19790226,    0,    0
137724,19790227,    4,    0
137724,19790228,    0,    0
137724,19790301,   17,    0
137724,19790302,   18,    0
137724,19790303,   16,    0
137724,19790304,    0,    0
137724,19790305,    0,    0
137724,19790306,    0,    0
137724,19790307,    7,    0
137724,19790308,    0,    0
137724,19790309,   50,    0
137724,19790310,    1,    0
137724,19790311,    3,    0
137724,19790312,  119,    0
137724,19790313,    2,    0
137724,19790314,    0,    0
137724,19790315,    4,    0
137724,19790316,   21,    0
