EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, KILLEBACKSTORP (STAID: 5962).
Blended and updated with sources: 137756 137776 902607 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137756,19790101,-9999,    9
137756,19790102,-9999,    9
137756,19790103,-9999,    9
137756,19790104,-9999,    9
137756,19790105,-9999,    9
137756,19790106,-9999,    9
137756,19790107,-9999,    9
137756,19790108,-9999,    9
137756,19790109,-9999,    9
137756,19790110,-9999,    9
137756,19790111,-9999,    9
137756,19790112,-9999,    9
137756,19790113,-9999,    9
137756,19790114,-9999,    9
137756,19790115,-9999,    9
137756,19790116,-9999,    9
137756,19790117,-9999,    9
137756,19790118,-9999,    9
137756,19790119,-9999,    9
137756,19790120,-9999,    9
137756,19790121,-9999,    9
137756,19790122,-9999,    9
137756,19790123,-9999,    9
137756,19790124,-9999,    9
137756,19790125,-9999,    9
137756,19790126,-9999,    9
137756,19790127,-9999,    9
137756,19790128,-9999,    9
137756,19790129,-9999,    9
137756,19790130,-9999,    9
137756,19790131,-9999,    9
137756,19790201,-9999,    9
137756,19790202,-9999,    9
137756,19790203,-9999,    9
137756,19790204,-9999,    9
137756,19790205,-9999,    9
137756,19790206,-9999,    9
137756,19790207,-9999,    9
137756,19790208,-9999,    9
137756,19790209,-9999,    9
137756,19790210,-9999,    9
137756,19790211,-9999,    9
137756,19790212,-9999,    9
137756,19790213,-9999,    9
137756,19790214,-9999,    9
137756,19790215,-9999,    9
137756,19790216,-9999,    9
137756,19790217,-9999,    9
137756,19790218,-9999,    9
137756,19790219,-9999,    9
137756,19790220,-9999,    9
137756,19790221,-9999,    9
137756,19790222,-9999,    9
137756,19790223,-9999,    9
137756,19790224,-9999,    9
137756,19790225,-9999,    9
137756,19790226,-9999,    9
137756,19790227,-9999,    9
137756,19790228,-9999,    9
137756,19790301,-9999,    9
137756,19790302,-9999,    9
137756,19790303,-9999,    9
137756,19790304,-9999,    9
137756,19790305,-9999,    9
137756,19790306,-9999,    9
137756,19790307,-9999,    9
137756,19790308,-9999,    9
137756,19790309,-9999,    9
137756,19790310,-9999,    9
137756,19790311,-9999,    9
137756,19790312,-9999,    9
137756,19790313,-9999,    9
137756,19790314,-9999,    9
137756,19790315,-9999,    9
137756,19790316,-9999,    9
137756,19790317,-9999,    9
137756,19790318,-9999,    9
137756,19790319,-9999,    9
137756,19790320,-9999,    9
137756,19790321,-9999,    9
137756,19790322,-9999,    9
137756,19790323,-9999,    9
137756,19790324,-9999,    9
137756,19790325,-9999,    9
137756,19790326,-9999,    9
137756,19790327,-9999,    9
137756,19790328,-9999,    9
137756,19790329,-9999,    9
137756,19790330,-9999,    9
137756,19790331,-9999,    9
137756,19790401,-9999,    9
137756,19790402,-9999,    9
137756,19790403,-9999,    9
137756,19790404,-9999,    9
137756,19790405,-9999,    9
137756,19790406,-9999,    9
137756,19790407,-9999,    9
137756,19790408,-9999,    9
137756,19790409,-9999,    9
137756,19790410,-9999,    9
137756,19790411,-9999,    9
137756,19790412,-9999,    9
137756,19790413,-9999,    9
137756,19790414,-9999,    9
137756,19790415,-9999,    9
137756,19790416,-9999,    9
137756,19790417,-9999,    9
137756,19790418,-9999,    9
137756,19790419,-9999,    9
137756,19790420,-9999,    9
137756,19790421,-9999,    9
137756,19790422,-9999,    9
137756,19790423,-9999,    9
137756,19790424,-9999,    9
137756,19790425,-9999,    9
137756,19790426,-9999,    9
137756,19790427,-9999,    9
137756,19790428,-9999,    9
137756,19790429,-9999,    9
137756,19790430,-9999,    9
137756,19790501,-9999,    9
137756,19790502,-9999,    9
137756,19790503,-9999,    9
137756,19790504,-9999,    9
137756,19790505,-9999,    9
137756,19790506,-9999,    9
137756,19790507,-9999,    9
137756,19790508,-9999,    9
137756,19790509,-9999,    9
137756,19790510,-9999,    9
137756,19790511,-9999,    9
137756,19790512,-9999,    9
137756,19790513,-9999,    9
137756,19790514,-9999,    9
137756,19790515,-9999,    9
137756,19790516,-9999,    9
137756,19790517,-9999,    9
137756,19790518,-9999,    9
137756,19790519,-9999,    9
137756,19790520,-9999,    9
137756,19790521,-9999,    9
137756,19790522,-9999,    9
137756,19790523,-9999,    9
137756,19790524,-9999,    9
137756,19790525,-9999,    9
137756,19790526,-9999,    9
137756,19790527,-9999,    9
137756,19790528,-9999,    9
137756,19790529,-9999,    9
137756,19790530,-9999,    9
137756,19790531,-9999,    9
137756,19790601,-9999,    9
137756,19790602,-9999,    9
137756,19790603,-9999,    9
137756,19790604,-9999,    9
137756,19790605,-9999,    9
137756,19790606,-9999,    9
137756,19790607,-9999,    9
137756,19790608,-9999,    9
137756,19790609,-9999,    9
137756,19790610,-9999,    9
137756,19790611,-9999,    9
137756,19790612,-9999,    9
137756,19790613,-9999,    9
137756,19790614,-9999,    9
137756,19790615,-9999,    9
137756,19790616,-9999,    9
137756,19790617,-9999,    9
137756,19790618,-9999,    9
137756,19790619,-9999,    9
137756,19790620,-9999,    9
137756,19790621,-9999,    9
137756,19790622,-9999,    9
137756,19790623,-9999,    9
137756,19790624,-9999,    9
137756,19790625,-9999,    9
137756,19790626,-9999,    9
137756,19790627,-9999,    9
137756,19790628,-9999,    9
137756,19790629,-9999,    9
137756,19790630,-9999,    9
137756,19790701,    4,    0
137756,19790702,    0,    0
137756,19790703,    0,    0
137756,19790704,    0,    0
137756,19790705,    0,    0
137756,19790706,    0,    0
137756,19790707,   96,    0
137756,19790708,   83,    0
137756,19790709,   31,    0
137756,19790710,   11,    0
137756,19790711,    0,    0
137756,19790712,    0,    0
137756,19790713,    0,    0
137756,19790714,    0,    0
137756,19790715,    0,    0
137756,19790716,   35,    0
137756,19790717,    0,    0
137756,19790718,   44,    0
137756,19790719,  141,    0
137756,19790720,   78,    0
137756,19790721,   34,    0
137756,19790722,    0,    0
137756,19790723,    0,    0
137756,19790724,    5,    0
137756,19790725,    0,    0
137756,19790726,    0,    0
137756,19790727,    0,    0
137756,19790728,    0,    0
137756,19790729,  263,    0
137756,19790730,   48,    0
137756,19790731,   50,    0
137756,19790801,   50,    0
137756,19790802,   38,    0
137756,19790803,    0,    0
137756,19790804,    8,    0
137756,19790805,    0,    0
137756,19790806,    0,    0
137756,19790807,    0,    0
137756,19790808,    0,    0
137756,19790809,   30,    0
137756,19790810,  196,    0
137756,19790811,    0,    0
137756,19790812,    0,    0
137756,19790813,    0,    0
137756,19790814,    0,    0
137756,19790815,    0,    0
137756,19790816,    0,    0
137756,19790817,    0,    0
137756,19790818,    0,    0
137756,19790819,    0,    0
137756,19790820,    0,    0
137756,19790821,   13,    0
137756,19790822,   28,    0
137756,19790823,    0,    0
137756,19790824,   22,    0
137756,19790825,   96,    0
137756,19790826,  501,    0
137756,19790827,   82,    0
137756,19790828,    0,    0
137756,19790829,    0,    0
137756,19790830,    0,    0
137756,19790831,    0,    0
137756,19790901,    0,    0
137756,19790902,    2,    0
137756,19790903,    0,    0
137756,19790904,    0,    0
137756,19790905,    0,    0
137756,19790906,    0,    0
137756,19790907,    0,    0
137756,19790908,    0,    0
137756,19790909,    6,    0
137756,19790910,    0,    0
137756,19790911,   21,    0
137756,19790912,    0,    0
137756,19790913,    0,    0
137756,19790914,  163,    0
137756,19790915,    0,    0
137756,19790916,   31,    0
137756,19790917,  107,    0
137756,19790918,   23,    0
137756,19790919,    0,    0
137756,19790920,   23,    0
137756,19790921,    0,    0
137756,19790922,    0,    0
137756,19790923,    0,    0
137756,19790924,    0,    0
137756,19790925,    0,    0
137756,19790926,   20,    0
137756,19790927,    0,    0
137756,19790928,    0,    0
137756,19790929,    0,    0
137756,19790930,    0,    0
137756,19791001,    0,    0
137756,19791002,    0,    0
137756,19791003,    0,    0
137756,19791004,    0,    0
137756,19791005,    0,    0
137756,19791006,    0,    0
137756,19791007,    0,    0
137756,19791008,    0,    0
137756,19791009,    0,    0
137756,19791010,    0,    0
137756,19791011,    0,    0
137756,19791012,    0,    0
137756,19791013,    0,    0
137756,19791014,    0,    0
137756,19791015,    5,    0
137756,19791016,    0,    0
137756,19791017,    0,    0
137756,19791018,   56,    0
137756,19791019,    4,    0
137756,19791020,    0,    0
137756,19791021,   18,    0
137756,19791022,    0,    0
137756,19791023,    0,    0
137756,19791024,    0,    0
137756,19791025,    0,    0
137756,19791026,    0,    0
137756,19791027,    0,    0
137756,19791028,    0,    0
137756,19791029,    0,    0
137756,19791030,    0,    0
137756,19791031,   70,    0
137756,19791101,   19,    0
137756,19791102,    3,    0
137756,19791103,    0,    0
137756,19791104,  245,    0
137756,19791105,    8,    0
137756,19791106,   34,    0
137756,19791107,    0,    0
137756,19791108,   14,    0
137756,19791109,   58,    0
137756,19791110,   10,    0
137756,19791111,    0,    0
137756,19791112,  143,    0
137756,19791113,    4,    0
137756,19791114,    2,    0
137756,19791115,   50,    0
137756,19791116,    0,    0
137756,19791117,    3,    0
137756,19791118,   38,    0
137756,19791119,   23,    0
137756,19791120,    0,    0
137756,19791121,    0,    0
137756,19791122,    8,    0
137756,19791123,    7,    0
137756,19791124,    0,    0
137756,19791125,   61,    0
137756,19791126,   23,    0
137756,19791127,    0,    0
137756,19791128,   83,    0
137756,19791129,    3,    0
137756,19791130,  104,    0
137756,19791201,   44,    0
137756,19791202,    2,    0
137756,19791203,    1,    0
137756,19791204,   14,    0
137756,19791205,   44,    0
137756,19791206,    0,    0
137756,19791207,    0,    0
137756,19791208,    0,    0
137756,19791209,  120,    0
137756,19791210,  113,    0
137756,19791211,    0,    0
137756,19791212,    0,    0
137756,19791213,    0,    0
137756,19791214,   11,    0
137756,19791215,   37,    0
137756,19791216,    2,    0
137756,19791217,   91,    0
137756,19791218,   13,    0
137756,19791219,    0,    0
137756,19791220,    0,    0
137756,19791221,    0,    0
137756,19791222,    0,    0
137756,19791223,    0,    0
137756,19791224,    0,    0
137756,19791225,    1,    0
137756,19791226,    0,    0
137756,19791227,   49,    0
137756,19791228,   87,    0
137756,19791229,   25,    0
137756,19791230,   47,    0
137756,19791231,    1,    0
137756,19800101,    0,    0
137756,19800102,    0,    0
137756,19800103,    0,    0
137756,19800104,   19,    0
137756,19800105,    0,    0
137756,19800106,    2,    0
137756,19800107,    0,    0
137756,19800108,    1,    0
137756,19800109,   14,    0
137756,19800110,    0,    0
137756,19800111,    0,    0
137756,19800112,    8,    0
137756,19800113,    0,    0
137756,19800114,   30,    0
137756,19800115,    0,    0
137756,19800116,    0,    0
137756,19800117,    0,    0
137756,19800118,    0,    0
137756,19800119,    0,    0
137756,19800120,    0,    0
137756,19800121,    0,    0
137756,19800122,   30,    0
137756,19800123,   18,    0
137756,19800124,    0,    0
137756,19800125,    0,    0
137756,19800126,    0,    0
137756,19800127,   20,    0
137756,19800128,    0,    0
137756,19800129,   31,    0
137756,19800130,   95,    0
137756,19800131,   54,    0
137756,19800201,    0,    0
137756,19800202,    0,    0
137756,19800203,    0,    0
137756,19800204,    0,    0
137756,19800205,    0,    0
137756,19800206,    6,    0
137756,19800207,   32,    0
137756,19800208,   20,    0
137756,19800209,   67,    0
137756,19800210,    2,    0
137756,19800211,    0,    0
137756,19800212,    0,    0
137756,19800213,   16,    0
137756,19800214,   27,    0
137756,19800215,  120,    0
137756,19800216,    0,    0
137756,19800217,    0,    0
137756,19800218,    0,    0
137756,19800219,    0,    0
137756,19800220,    0,    0
137756,19800221,    0,    0
137756,19800222,    0,    0
137756,19800223,    0,    0
137756,19800224,    0,    0
137756,19800225,    0,    0
137756,19800226,    0,    0
137756,19800227,    0,    0
137756,19800228,    0,    0
137756,19800229,    0,    0
137756,19800301,-9999,    9
137756,19800302,-9999,    9
137756,19800303,-9999,    9
137756,19800304,-9999,    9
137756,19800305,-9999,    9
137756,19800306,-9999,    9
137756,19800307,-9999,    9
137756,19800308,-9999,    9
137756,19800309,-9999,    9
137756,19800310,-9999,    9
137756,19800311,-9999,    9
137756,19800312,-9999,    9
137756,19800313,-9999,    9
137756,19800314,-9999,    9
137756,19800315,-9999,    9
137756,19800316,-9999,    9
137756,19800317,-9999,    9
137756,19800318,-9999,    9
137756,19800319,-9999,    9
137756,19800320,-9999,    9
137756,19800321,-9999,    9
137756,19800322,-9999,    9
137756,19800323,-9999,    9
137756,19800324,-9999,    9
137756,19800325,-9999,    9
137756,19800326,-9999,    9
137756,19800327,-9999,    9
137756,19800328,-9999,    9
137756,19800329,-9999,    9
137756,19800330,-9999,    9
137756,19800331,-9999,    9
137756,19800401,-9999,    9
137756,19800402,-9999,    9
137756,19800403,-9999,    9
137756,19800404,-9999,    9
137756,19800405,-9999,    9
137756,19800406,-9999,    9
137756,19800407,-9999,    9
137756,19800408,-9999,    9
137756,19800409,-9999,    9
137756,19800410,-9999,    9
137756,19800411,-9999,    9
137756,19800412,-9999,    9
137756,19800413,-9999,    9
137756,19800414,-9999,    9
137756,19800415,-9999,    9
137756,19800416,-9999,    9
137756,19800417,-9999,    9
137756,19800418,-9999,    9
137756,19800419,-9999,    9
137756,19800420,-9999,    9
137756,19800421,-9999,    9
137756,19800422,-9999,    9
137756,19800423,-9999,    9
137756,19800424,-9999,    9
137756,19800425,-9999,    9
137756,19800426,-9999,    9
137756,19800427,-9999,    9
137756,19800428,-9999,    9
137756,19800429,-9999,    9
137756,19800430,-9999,    9
137756,19800501,-9999,    9
137756,19800502,-9999,    9
137756,19800503,-9999,    9
137756,19800504,-9999,    9
137756,19800505,-9999,    9
137756,19800506,-9999,    9
137756,19800507,-9999,    9
137756,19800508,-9999,    9
137756,19800509,-9999,    9
137756,19800510,-9999,    9
137756,19800511,-9999,    9
137756,19800512,-9999,    9
137756,19800513,-9999,    9
137756,19800514,-9999,    9
137756,19800515,-9999,    9
137756,19800516,-9999,    9
137756,19800517,-9999,    9
137756,19800518,-9999,    9
137756,19800519,-9999,    9
137756,19800520,-9999,    9
137756,19800521,-9999,    9
137756,19800522,-9999,    9
137756,19800523,-9999,    9
137756,19800524,-9999,    9
137756,19800525,-9999,    9
137756,19800526,-9999,    9
137756,19800527,-9999,    9
137756,19800528,-9999,    9
137756,19800529,-9999,    9
137756,19800530,-9999,    9
137756,19800531,-9999,    9
137756,19800601,-9999,    9
137756,19800602,-9999,    9
137756,19800603,-9999,    9
137756,19800604,-9999,    9
137756,19800605,-9999,    9
137756,19800606,-9999,    9
137756,19800607,-9999,    9
137756,19800608,-9999,    9
137756,19800609,-9999,    9
137756,19800610,-9999,    9
137756,19800611,-9999,    9
137756,19800612,-9999,    9
137756,19800613,-9999,    9
137756,19800614,-9999,    9
137756,19800615,-9999,    9
137756,19800616,-9999,    9
137756,19800617,-9999,    9
137756,19800618,-9999,    9
137756,19800619,-9999,    9
137756,19800620,-9999,    9
137756,19800621,-9999,    9
137756,19800622,-9999,    9
137756,19800623,-9999,    9
137756,19800624,-9999,    9
137756,19800625,-9999,    9
137756,19800626,-9999,    9
137756,19800627,-9999,    9
137756,19800628,-9999,    9
137756,19800629,-9999,    9
137756,19800630,-9999,    9
137756,19800701,-9999,    9
137756,19800702,-9999,    9
137756,19800703,-9999,    9
137756,19800704,-9999,    9
137756,19800705,-9999,    9
137756,19800706,-9999,    9
137756,19800707,-9999,    9
137756,19800708,-9999,    9
137756,19800709,-9999,    9
137756,19800710,-9999,    9
137756,19800711,-9999,    9
137756,19800712,-9999,    9
137756,19800713,-9999,    9
