EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, OJARED (STAID: 6110).
Blended and updated with sources: 138260 138282 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138260,19790101,    0,    0
138260,19790102,    4,    0
138260,19790103,    0,    0
138260,19790104,    3,    0
138260,19790105,   15,    0
138260,19790106,   58,    0
138260,19790107,   68,    0
138260,19790108,    6,    0
138260,19790109,   13,    0
138260,19790110,    0,    0
138260,19790111,   15,    0
138260,19790112,   70,    0
138260,19790113,   11,    0
138260,19790114,    0,    0
138260,19790115,    0,    0
138260,19790116,    0,    0
138260,19790117,    0,    0
138260,19790118,    0,    0
138260,19790119,    1,    0
138260,19790120,    0,    0
138260,19790121,    0,    0
138260,19790122,    5,    0
138260,19790123,    3,    0
138260,19790124,   13,    0
138260,19790125,   44,    0
138260,19790126,   83,    0
138260,19790127,    0,    0
138260,19790128,    0,    0
138260,19790129,    0,    0
138260,19790130,   25,    0
138260,19790131,    0,    0
138260,19790201,   30,    0
138260,19790202,   25,    0
138260,19790203,   39,    0
138260,19790204,    0,    0
138260,19790205,    0,    0
138260,19790206,    0,    0
138260,19790207,    0,    0
138260,19790208,    0,    0
138260,19790209,    0,    0
138260,19790210,    0,    0
138260,19790211,    0,    0
138260,19790212,    0,    0
138260,19790213,    0,    0
138260,19790214,    0,    0
138260,19790215,    0,    0
138260,19790216,    0,    0
138260,19790217,    0,    0
138260,19790218,   55,    0
138260,19790219,    0,    0
138260,19790220,    0,    0
138260,19790221,    0,    0
138260,19790222,   24,    0
138260,19790223,    0,    0
138260,19790224,    0,    0
138260,19790225,    0,    0
138260,19790226,    0,    0
138260,19790227,    0,    0
138260,19790228,    0,    0
138260,19790301,   10,    0
138260,19790302,   95,    0
138260,19790303,   30,    0
138260,19790304,    0,    0
138260,19790305,    0,    0
138260,19790306,    0,    0
138260,19790307,   34,    0
138260,19790308,   17,    0
138260,19790309,  176,    0
138260,19790310,    0,    0
138260,19790311,   33,    0
138260,19790312,    0,    0
138260,19790313,    0,    0
138260,19790314,    0,    0
138260,19790315,    0,    0
138260,19790316,    4,    0
138260,19790317,    0,    0
138260,19790318,    0,    0
138260,19790319,    0,    0
138260,19790320,    0,    0
138260,19790321,   22,    0
138260,19790322,   41,    0
138260,19790323,   75,    0
138260,19790324,    0,    0
138260,19790325,   59,    0
138260,19790326,   55,    0
138260,19790327,   54,    0
138260,19790328,    6,    0
138260,19790329,    0,    0
138260,19790330,   21,    0
138260,19790331,    0,    0
138260,19790401,   40,    0
138260,19790402,   13,    0
138260,19790403,  118,    0
138260,19790404,    0,    0
138260,19790405,    0,    0
138260,19790406,    0,    0
138260,19790407,    0,    0
138260,19790408,    0,    0
138260,19790409,    0,    0
138260,19790410,    0,    0
138260,19790411,    0,    0
138260,19790412,    0,    0
138260,19790413,    7,    0
138260,19790414,    0,    0
138260,19790415,    0,    0
138260,19790416,   17,    0
138260,19790417,    0,    0
138260,19790418,    0,    0
138260,19790419,    0,    0
138260,19790420,   22,    0
138260,19790421,    0,    0
138260,19790422,   55,    0
138260,19790423,    6,    0
138260,19790424,   37,    0
138260,19790425,   11,    0
138260,19790426,    0,    0
138260,19790427,    0,    0
138260,19790428,    0,    0
138260,19790429,  202,    0
138260,19790430,    0,    0
138260,19790501,    3,    0
138260,19790502,   65,    0
138260,19790503,    7,    0
138260,19790504,    0,    0
138260,19790505,    0,    0
138260,19790506,    0,    0
138260,19790507,   28,    0
138260,19790508,   90,    0
138260,19790509,   89,    0
138260,19790510,    0,    0
138260,19790511,    0,    0
138260,19790512,    0,    0
138260,19790513,    0,    0
138260,19790514,    0,    0
138260,19790515,    0,    0
138260,19790516,    0,    0
138260,19790517,   31,    0
138260,19790518,    0,    0
138260,19790519,   57,    0
138260,19790520,    0,    0
138260,19790521,    0,    0
138260,19790522,   31,    0
138260,19790523,  113,    0
138260,19790524,   13,    0
138260,19790525,   17,    0
138260,19790526,    5,    0
138260,19790527,  192,    0
138260,19790528,    5,    0
138260,19790529,   62,    0
138260,19790530,   21,    0
138260,19790531,    0,    0
138260,19790601,    0,    0
138260,19790602,    0,    0
138260,19790603,    0,    0
138260,19790604,    0,    0
138260,19790605,    0,    0
138260,19790606,    0,    0
138260,19790607,   11,    0
138260,19790608,    8,    0
138260,19790609,   15,    0
138260,19790610,    0,    0
138260,19790611,    0,    0
138260,19790612,    4,    0
138260,19790613,    0,    0
138260,19790614,   42,    0
138260,19790615,  108,    0
138260,19790616,    0,    0
138260,19790617,    0,    0
138260,19790618,    0,    0
138260,19790619,    0,    0
138260,19790620,    0,    0
138260,19790621,    0,    0
138260,19790622,   92,    0
138260,19790623,    0,    0
138260,19790624,   48,    0
138260,19790625,   58,    0
138260,19790626,   68,    0
138260,19790627,   14,    0
138260,19790628,   27,    0
138260,19790629,    0,    0
138260,19790630,    0,    0
138260,19790701,   36,    0
138260,19790702,    0,    0
138260,19790703,    0,    0
138260,19790704,    0,    0
138260,19790705,    0,    0
138260,19790706,    4,    0
138260,19790707,    0,    0
138260,19790708,   33,    0
138260,19790709,    5,    0
138260,19790710,  168,    0
138260,19790711,    0,    0
138260,19790712,    0,    0
138260,19790713,    0,    0
138260,19790714,    0,    0
138260,19790715,    0,    0
138260,19790716,   30,    0
138260,19790717,    1,    0
138260,19790718,   50,    0
138260,19790719,   64,    0
138260,19790720,    0,    0
138260,19790721,    0,    0
138260,19790722,   23,    0
138260,19790723,  223,    0
138260,19790724,    0,    0
138260,19790725,    0,    0
138260,19790726,    0,    0
138260,19790727,    0,    0
138260,19790728,    0,    0
138260,19790729,  238,    0
138260,19790730,   35,    0
138260,19790731,   76,    0
138260,19790801,    3,    0
138260,19790802,   52,    0
138260,19790803,    0,    0
138260,19790804,    6,    0
138260,19790805,  151,    0
138260,19790806,    8,    0
138260,19790807,    0,    0
138260,19790808,   17,    0
138260,19790809,   10,    0
138260,19790810,   56,    0
138260,19790811,   27,    0
138260,19790812,    0,    0
138260,19790813,    0,    0
138260,19790814,    6,    0
138260,19790815,   20,    0
138260,19790816,   44,    0
138260,19790817,    0,    0
138260,19790818,    0,    0
138260,19790819,    5,    0
138260,19790820,    4,    0
138260,19790821,   12,    0
138260,19790822,   11,    0
138260,19790823,    0,    0
138260,19790824,    0,    0
138260,19790825,    0,    0
138260,19790826,  350,    0
138260,19790827,   13,    0
138260,19790828,    0,    0
138260,19790829,    0,    0
138260,19790830,    0,    0
138260,19790831,    0,    0
138260,19790901,    0,    0
138260,19790902,  436,    0
138260,19790903,    0,    0
138260,19790904,    1,    0
138260,19790905,    6,    0
138260,19790906,    0,    0
138260,19790907,    0,    0
138260,19790908,    1,    0
138260,19790909,    6,    0
138260,19790910,    0,    0
138260,19790911,   74,    0
138260,19790912,   24,    0
138260,19790913,    0,    0
138260,19790914,   37,    0
138260,19790915,    0,    0
138260,19790916,   83,    0
138260,19790917,  185,    0
138260,19790918,   33,    0
138260,19790919,    0,    0
138260,19790920,   98,    0
138260,19790921,    7,    0
138260,19790922,    7,    0
138260,19790923,   17,    0
138260,19790924,    0,    0
138260,19790925,   41,    0
138260,19790926,  219,    0
138260,19790927,    0,    0
138260,19790928,    0,    0
138260,19790929,    0,    0
138260,19790930,    0,    0
138260,19791001,    0,    0
138260,19791002,    0,    0
138260,19791003,    0,    0
138260,19791004,    0,    0
138260,19791005,    0,    0
138260,19791006,    0,    0
138260,19791007,    0,    0
138260,19791008,    0,    0
138260,19791009,    0,    0
138260,19791010,    0,    0
138260,19791011,    0,    0
138260,19791012,    0,    0
138260,19791013,    0,    0
138260,19791014,    0,    0
138260,19791015,    0,    0
138260,19791016,    0,    0
138260,19791017,  140,    0
138260,19791018,  140,    0
138260,19791019,   68,    0
138260,19791020,    0,    0
138260,19791021,    0,    0
138260,19791022,    0,    0
138260,19791023,    0,    0
138260,19791024,    0,    0
138260,19791025,    0,    0
138260,19791026,    0,    0
138260,19791027,    0,    0
138260,19791028,    0,    0
138260,19791029,    0,    0
138260,19791030,    0,    0
138260,19791031,    0,    0
138260,19791101,   66,    0
138260,19791102,    0,    0
138260,19791103,   57,    0
