EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, KISA_D (STAID: 6130).
Blended and updated with sources: 138320 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138320,19790101,    2,    0
138320,19790102,   11,    0
138320,19790103,   29,    0
138320,19790104,    7,    0
138320,19790105,    0,    0
138320,19790106,    3,    0
138320,19790107,    3,    0
138320,19790108,    0,    0
138320,19790109,   91,    0
138320,19790110,   25,    0
138320,19790111,    4,    0
138320,19790112,   74,    0
138320,19790113,   21,    0
138320,19790114,   15,    0
138320,19790115,    9,    0
138320,19790116,    0,    0
138320,19790117,    5,    0
138320,19790118,    5,    0
138320,19790119,    7,    0
138320,19790120,    3,    0
138320,19790121,    8,    0
138320,19790122,    4,    0
138320,19790123,    7,    0
138320,19790124,   51,    0
138320,19790125,   25,    0
138320,19790126,   41,    0
138320,19790127,    3,    0
138320,19790128,    0,    0
138320,19790129,    0,    0
138320,19790130,  152,    0
138320,19790131,   54,    0
138320,19790201,   28,    0
138320,19790202,    0,    0
138320,19790203,   27,    0
138320,19790204,    0,    0
138320,19790205,    0,    0
138320,19790206,    0,    0
138320,19790207,    0,    0
138320,19790208,    0,    0
138320,19790209,    0,    0
138320,19790210,    0,    0
138320,19790211,    0,    0
138320,19790212,    2,    0
138320,19790213,    3,    0
138320,19790214,    1,    0
138320,19790215,    4,    0
138320,19790216,    0,    0
138320,19790217,    0,    0
138320,19790218,   53,    0
138320,19790219,   11,    0
138320,19790220,    0,    0
138320,19790221,    0,    0
138320,19790222,    0,    0
138320,19790223,    0,    0
138320,19790224,    0,    0
138320,19790225,    0,    0
138320,19790226,    0,    0
138320,19790227,    0,    0
138320,19790228,    0,    0
138320,19790301,   14,    0
138320,19790302,    3,    0
138320,19790303,    0,    0
138320,19790304,    0,    0
138320,19790305,    0,    0
138320,19790306,    0,    0
138320,19790307,    0,    0
138320,19790308,    0,    0
138320,19790309,   20,    0
138320,19790310,    0,    0
138320,19790311,    0,    0
138320,19790312,   78,    0
138320,19790313,   24,    0
138320,19790314,    0,    0
138320,19790315,    4,    0
138320,19790316,    3,    0
138320,19790317,    0,    0
138320,19790318,   10,    0
138320,19790319,    0,    0
138320,19790320,    0,    0
138320,19790321,    0,    0
138320,19790322,   13,    0
138320,19790323,   15,    0
138320,19790324,    0,    0
138320,19790325,   16,    0
138320,19790326,   60,    0
138320,19790327,    1,    0
138320,19790328,    9,    0
138320,19790329,    9,    0
138320,19790330,   12,    0
138320,19790331,   92,    0
138320,19790401,   52,    0
138320,19790402,   17,    0
138320,19790403,    0,    0
138320,19790404,    0,    0
138320,19790405,    1,    0
138320,19790406,    0,    0
138320,19790407,    0,    0
138320,19790408,    0,    0
138320,19790409,    0,    0
138320,19790410,    0,    0
138320,19790411,    0,    0
138320,19790412,    0,    0
138320,19790413,   36,    0
138320,19790414,    0,    0
138320,19790415,    0,    0
138320,19790416,    8,    0
138320,19790417,    7,    0
138320,19790418,    0,    0
138320,19790419,    0,    0
138320,19790420,   16,    0
138320,19790421,    0,    0
138320,19790422,    9,    0
138320,19790423,    8,    0
138320,19790424,   97,    0
138320,19790425,    0,    0
138320,19790426,    0,    0
138320,19790427,    0,    0
138320,19790428,    0,    0
138320,19790429,   46,    0
138320,19790430,   33,    0
138320,19790501,   10,    0
138320,19790502,   28,    0
138320,19790503,    8,    0
138320,19790504,    0,    0
138320,19790505,    0,    0
138320,19790506,    0,    0
138320,19790507,   11,    0
138320,19790508,    2,    0
138320,19790509,   12,    0
138320,19790510,   17,    0
138320,19790511,    0,    0
138320,19790512,    0,    0
138320,19790513,    0,    0
138320,19790514,    0,    0
138320,19790515,    0,    0
138320,19790516,    0,    0
138320,19790517,    4,    0
138320,19790518,   13,    0
138320,19790519,    0,    0
138320,19790520,    0,    0
138320,19790521,    4,    0
138320,19790522,   75,    0
138320,19790523,    0,    0
138320,19790524,  150,    0
138320,19790525,  156,    0
138320,19790526,    0,    0
138320,19790527,   71,    0
138320,19790528,    2,    0
138320,19790529,    0,    0
138320,19790530,    0,    0
138320,19790531,    0,    0
138320,19790601,    0,    0
138320,19790602,    0,    0
138320,19790603,    0,    0
138320,19790604,    0,    0
138320,19790605,    0,    0
138320,19790606,    0,    0
138320,19790607,    0,    0
138320,19790608,  117,    0
138320,19790609,   52,    0
138320,19790610,    0,    0
138320,19790611,    0,    0
138320,19790612,    2,    0
138320,19790613,    1,    0
138320,19790614,    0,    0
138320,19790615,   54,    0
138320,19790616,    0,    0
138320,19790617,    0,    0
138320,19790618,    0,    0
138320,19790619,   12,    0
138320,19790620,    0,    0
138320,19790621,    0,    0
138320,19790622,    0,    0
138320,19790623,    0,    0
138320,19790624,   84,    0
138320,19790625,   48,    0
138320,19790626,    5,    0
138320,19790627,    0,    0
138320,19790628,    0,    0
138320,19790629,    0,    0
138320,19790630,   37,    0
138320,19790701,   19,    0
138320,19790702,   10,    0
138320,19790703,    0,    0
138320,19790704,    7,    0
138320,19790705,    2,    0
138320,19790706,    1,    0
138320,19790707,    0,    0
138320,19790708,   42,    0
138320,19790709,   22,    0
138320,19790710,  217,    0
138320,19790711,   59,    0
138320,19790712,   35,    0
138320,19790713,   32,    0
138320,19790714,    0,    0
138320,19790715,    0,    0
138320,19790716,    0,    0
138320,19790717,    0,    0
138320,19790718,   49,    0
138320,19790719,   55,    0
138320,19790720,    0,    0
138320,19790721,    0,    0
138320,19790722,    1,    0
138320,19790723,   92,    0
138320,19790724,    1,    0
138320,19790725,    0,    0
138320,19790726,   49,    0
138320,19790727,    0,    0
138320,19790728,  138,    0
138320,19790729,  135,    0
138320,19790730,  290,    0
138320,19790731,   50,    0
138320,19790801,   44,    0
138320,19790802,    2,    0
138320,19790803,    0,    0
138320,19790804,    0,    0
138320,19790805,   54,    0
138320,19790806,    6,    0
138320,19790807,    0,    0
138320,19790808,    8,    0
138320,19790809,   13,    0
138320,19790810,  372,    0
138320,19790811,    4,    0
138320,19790812,    0,    0
138320,19790813,    0,    0
138320,19790814,    0,    0
138320,19790815,    0,    0
138320,19790816,    0,    0
138320,19790817,    0,    0
138320,19790818,    0,    0
138320,19790819,    0,    0
138320,19790820,    0,    0
138320,19790821,    0,    0
138320,19790822,    5,    0
138320,19790823,    0,    0
138320,19790824,    0,    0
138320,19790825,  185,    0
138320,19790826,  111,    0
138320,19790827,   29,    0
138320,19790828,    0,    0
138320,19790829,    0,    0
138320,19790830,    0,    0
138320,19790831,    0,    0
138320,19790901,    0,    0
138320,19790902,    0,    0
138320,19790903,  187,    0
138320,19790904,    2,    0
138320,19790905,    0,    0
138320,19790906,    1,    0
138320,19790907,    0,    0
138320,19790908,    0,    0
138320,19790909,   17,    0
138320,19790910,    0,    0
138320,19790911,    3,    0
138320,19790912,    5,    0
138320,19790913,    0,    0
138320,19790914,    0,    0
138320,19790915,    0,    0
138320,19790916,   15,    0
138320,19790917,   33,    0
138320,19790918,    0,    0
138320,19790919,    0,    0
138320,19790920,    1,    0
138320,19790921,    0,    0
138320,19790922,    0,    0
138320,19790923,    7,    0
138320,19790924,    0,    0
138320,19790925,    0,    0
138320,19790926,   20,    0
138320,19790927,    2,    0
138320,19790928,    4,    0
138320,19790929,    0,    0
138320,19790930,    0,    0
138320,19791001,    3,    0
138320,19791002,    0,    0
