EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, KILAGARDEN (STAID: 6168).
Blended and updated with sources: 138468 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138468,19790101,    6,    0
138468,19790102,   12,    0
138468,19790103,    0,    0
138468,19790104,    3,    0
138468,19790105,    4,    0
138468,19790106,    4,    0
138468,19790107,    9,    0
138468,19790108,    2,    0
138468,19790109,    0,    0
138468,19790110,    0,    0
138468,19790111,    0,    0
138468,19790112,   54,    0
138468,19790113,    5,    0
138468,19790114,    1,    0
138468,19790115,    0,    0
138468,19790116,    0,    0
138468,19790117,    0,    0
138468,19790118,    0,    0
138468,19790119,    0,    0
138468,19790120,    0,    0
138468,19790121,    0,    0
138468,19790122,    7,    0
138468,19790123,   15,    0
138468,19790124,   17,    0
138468,19790125,   54,    0
138468,19790126,   82,    0
138468,19790127,    0,    0
138468,19790128,    2,    0
138468,19790129,    0,    0
138468,19790130,   45,    0
138468,19790131,    0,    0
138468,19790201,   14,    0
138468,19790202,   10,    0
138468,19790203,   52,    0
138468,19790204,    0,    0
138468,19790205,    0,    0
138468,19790206,    0,    0
138468,19790207,    0,    0
138468,19790208,    0,    0
138468,19790209,    0,    0
138468,19790210,    0,    0
138468,19790211,    0,    0
138468,19790212,    2,    0
138468,19790213,    0,    0
138468,19790214,    0,    0
138468,19790215,    0,    0
138468,19790216,    0,    0
138468,19790217,    0,    0
138468,19790218,   69,    0
138468,19790219,    0,    0
138468,19790220,    0,    0
138468,19790221,    0,    0
138468,19790222,   26,    0
138468,19790223,    0,    0
138468,19790224,    0,    0
138468,19790225,    0,    0
138468,19790226,    0,    0
138468,19790227,    0,    0
138468,19790228,    0,    0
138468,19790301,    8,    0
138468,19790302,    8,    0
138468,19790303,    0,    0
138468,19790304,    0,    0
138468,19790305,    0,    0
138468,19790306,    0,    0
138468,19790307,    0,    0
138468,19790308,    1,    0
138468,19790309,   31,    0
138468,19790310,    0,    0
138468,19790311,   30,    0
138468,19790312,   21,    0
138468,19790313,    0,    0
138468,19790314,    0,    0
138468,19790315,    2,    0
138468,19790316,    0,    0
138468,19790317,    0,    0
138468,19790318,    0,    0
138468,19790319,    3,    0
138468,19790320,    0,    0
138468,19790321,    0,    0
138468,19790322,   16,    0
138468,19790323,   10,    0
138468,19790324,    0,    0
138468,19790325,    4,    0
138468,19790326,  108,    0
138468,19790327,    0,    0
138468,19790328,    0,    0
138468,19790329,    0,    0
138468,19790330,   21,    0
138468,19790331,    7,    0
138468,19790401,   36,    0
138468,19790402,    8,    0
138468,19790403,   33,    0
138468,19790404,    8,    0
138468,19790405,    0,    0
138468,19790406,    0,    0
138468,19790407,    0,    0
138468,19790408,    0,    0
138468,19790409,    0,    0
138468,19790410,    0,    0
138468,19790411,    0,    0
138468,19790412,    0,    0
138468,19790413,    0,    0
138468,19790414,    0,    0
138468,19790415,    0,    0
138468,19790416,   46,    0
138468,19790417,    0,    0
138468,19790418,    0,    0
138468,19790419,    0,    0
138468,19790420,   31,    0
138468,19790421,    7,    0
138468,19790422,   75,    0
138468,19790423,    8,    0
138468,19790424,   87,    0
138468,19790425,    3,    0
138468,19790426,    4,    0
138468,19790427,    0,    0
138468,19790428,    0,    0
138468,19790429,   95,    0
138468,19790430,   29,    0
138468,19790501,    0,    0
138468,19790502,   54,    0
138468,19790503,    0,    0
138468,19790504,    0,    0
138468,19790505,    2,    0
138468,19790506,    1,    0
138468,19790507,   16,    0
138468,19790508,   60,    0
138468,19790509,   69,    0
138468,19790510,    4,    0
138468,19790511,    0,    0
138468,19790512,    0,    0
138468,19790513,    0,    0
138468,19790514,    0,    0
138468,19790515,    0,    0
138468,19790516,    0,    0
138468,19790517,    1,    0
138468,19790518,    0,    0
138468,19790519,   33,    0
138468,19790520,    0,    0
138468,19790521,    0,    0
138468,19790522,   45,    0
138468,19790523,  138,    0
138468,19790524,   84,    0
138468,19790525,   18,    0
138468,19790526,   34,    0
