EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, TJALLMO (STAID: 6198).
Blended and updated with sources: 138616 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138616,19790101,    0,    0
138616,19790102,   10,    0
138616,19790103,    4,    0
138616,19790104,    0,    0
138616,19790105,    3,    0
138616,19790106,    5,    0
138616,19790107,    6,    0
138616,19790108,    0,    0
138616,19790109,   42,    0
138616,19790110,   21,    0
138616,19790111,    5,    0
138616,19790112,   28,    0
138616,19790113,   21,    0
138616,19790114,    7,    0
138616,19790115,    3,    0
138616,19790116,    6,    0
138616,19790117,    0,    0
138616,19790118,    0,    0
138616,19790119,    0,    0
138616,19790120,    4,    0
138616,19790121,    0,    0
138616,19790122,   12,    0
138616,19790123,   21,    0
138616,19790124,   39,    0
138616,19790125,   42,    0
138616,19790126,  128,    0
138616,19790127,    3,    0
138616,19790128,    4,    0
138616,19790129,    4,    0
138616,19790130,   24,    0
138616,19790131,   91,    0
138616,19790201,   21,    0
138616,19790202,    4,    0
138616,19790203,   92,    0
138616,19790204,    3,    0
138616,19790205,    0,    0
138616,19790206,    0,    0
138616,19790207,    0,    0
138616,19790208,    0,    0
138616,19790209,    0,    0
138616,19790210,    0,    0
138616,19790211,    0,    0
138616,19790212,    0,    0
138616,19790213,    0,    0
138616,19790214,    0,    0
138616,19790215,    0,    0
138616,19790216,    0,    0
138616,19790217,    0,    0
138616,19790218,   29,    0
138616,19790219,   25,    0
138616,19790220,    0,    0
138616,19790221,    0,    0
138616,19790222,    0,    0
138616,19790223,    0,    0
138616,19790224,    0,    0
138616,19790225,    0,    0
138616,19790226,    0,    0
138616,19790227,    0,    0
138616,19790228,    0,    0
138616,19790301,   16,    0
138616,19790302,   41,    0
138616,19790303,    0,    0
138616,19790304,    0,    0
138616,19790305,    0,    0
138616,19790306,    0,    0
138616,19790307,    0,    0
138616,19790308,    0,    0
138616,19790309,   21,    0
138616,19790310,    0,    0
138616,19790311,    0,    0
138616,19790312,   49,    0
138616,19790313,    4,    0
138616,19790314,    0,    0
138616,19790315,    0,    0
138616,19790316,    4,    0
138616,19790317,    0,    0
138616,19790318,    0,    0
138616,19790319,    0,    0
138616,19790320,    0,    0
138616,19790321,    0,    0
138616,19790322,   44,    0
138616,19790323,    0,    0
138616,19790324,    0,    0
138616,19790325,   50,    0
138616,19790326,   58,    0
138616,19790327,    5,    0
138616,19790328,   11,    0
138616,19790329,    2,    0
138616,19790330,   56,    0
138616,19790331,   39,    0
138616,19790401,   48,    0
138616,19790402,   11,    0
138616,19790403,    0,    0
138616,19790404,    0,    0
138616,19790405,    0,    0
138616,19790406,    0,    0
138616,19790407,    0,    0
138616,19790408,    0,    0
138616,19790409,    0,    0
138616,19790410,    0,    0
138616,19790411,   12,    0
138616,19790412,    0,    0
138616,19790413,   12,    0
138616,19790414,    0,    0
138616,19790415,    0,    0
138616,19790416,   33,    0
138616,19790417,    3,    0
138616,19790418,    0,    0
138616,19790419,    0,    0
138616,19790420,   22,    0
138616,19790421,    5,    0
138616,19790422,   24,    0
138616,19790423,    6,    0
138616,19790424,  168,    0
138616,19790425,    6,    0
138616,19790426,    4,    0
138616,19790427,    0,    0
138616,19790428,    3,    0
138616,19790429,   99,    0
138616,19790430,   70,    0
138616,19790501,    0,    0
138616,19790502,   47,    0
138616,19790503,   10,    0
138616,19790504,    0,    0
138616,19790505,    0,    0
138616,19790506,    0,    0
138616,19790507,   25,    0
138616,19790508,  113,    0
138616,19790509,  108,    0
138616,19790510,   50,    0
138616,19790511,    0,    0
138616,19790512,    0,    0
138616,19790513,    0,    0
138616,19790514,    3,    0
138616,19790515,    0,    0
138616,19790516,    8,    0
138616,19790517,    3,    0
138616,19790518,    4,    0
138616,19790519,   15,    0
138616,19790520,    0,    0
138616,19790521,    2,    0
138616,19790522,   39,    0
138616,19790523,    8,    0
138616,19790524,  128,    0
138616,19790525,  126,    0
138616,19790526,    6,    0
138616,19790527,    0,    0
138616,19790528,   49,    0
138616,19790529,    3,    0
138616,19790530,    6,    0
138616,19790531,    0,    0
138616,19790601,    0,    0
138616,19790602,    0,    0
138616,19790603,    0,    0
138616,19790604,    0,    0
138616,19790605,    0,    0
138616,19790606,    0,    0
138616,19790607,    0,    0
138616,19790608,   68,    0
138616,19790609,    7,    0
138616,19790610,    0,    0
138616,19790611,    0,    0
138616,19790612,    6,    0
138616,19790613,    5,    0
138616,19790614,    4,    0
138616,19790615,  125,    0
138616,19790616,    5,    0
138616,19790617,    0,    0
138616,19790618,    0,    0
138616,19790619,    2,    0
138616,19790620,    0,    0
138616,19790621,   27,    0
138616,19790622,   82,    0
138616,19790623,   40,    0
138616,19790624,    5,    0
138616,19790625,   57,    0
138616,19790626,    6,    0
138616,19790627,    5,    0
138616,19790628,    5,    0
138616,19790629,    5,    0
138616,19790630,   21,    0
138616,19790701,    5,    0
138616,19790702,   21,    0
138616,19790703,    6,    0
138616,19790704,    5,    0
138616,19790705,   28,    0
138616,19790706,    5,    0
138616,19790707,   28,    0
138616,19790708,   96,    0
138616,19790709,   11,    0
138616,19790710,   12,    0
138616,19790711,    0,    0
138616,19790712,    0,    0
138616,19790713,    8,    0
138616,19790714,    0,    0
138616,19790715,    5,    0
138616,19790716,    0,    0
138616,19790717,    0,    0
138616,19790718,   39,    0
138616,19790719,   21,    0
138616,19790720,   40,    0
138616,19790721,   29,    0
138616,19790722,   78,    0
138616,19790723,   28,    0
138616,19790724,  237,    0
138616,19790725,    0,    0
138616,19790726,  206,    0
138616,19790727,    0,    0
138616,19790728,   12,    0
138616,19790729,   45,    0
138616,19790730,  223,    0
138616,19790731,   10,    0
138616,19790801,   10,    0
138616,19790802,   32,    0
138616,19790803,    0,    0
138616,19790804,    0,    0
138616,19790805,    0,    0
138616,19790806,    5,    0
138616,19790807,    0,    0
138616,19790808,   40,    0
138616,19790809,   15,    0
138616,19790810,  135,    0
138616,19790811,    5,    0
138616,19790812,    0,    0
138616,19790813,    0,    0
138616,19790814,    0,    0
138616,19790815,    5,    0
138616,19790816,    0,    0
138616,19790817,    0,    0
138616,19790818,    0,    0
138616,19790819,    0,    0
138616,19790820,    0,    0
138616,19790821,    0,    0
138616,19790822,   12,    0
138616,19790823,    0,    0
138616,19790824,    3,    0
138616,19790825,   85,    0
138616,19790826,  243,    0
138616,19790827,   68,    0
138616,19790828,   23,    0
138616,19790829,    2,    0
138616,19790830,    0,    0
138616,19790831,    0,    0
138616,19790901,   47,    0
138616,19790902,   86,    0
138616,19790903,  119,    0
138616,19790904,    3,    0
138616,19790905,    0,    0
138616,19790906,    4,    0
138616,19790907,    0,    0
138616,19790908,    5,    0
138616,19790909,    0,    0
138616,19790910,    0,    0
138616,19790911,   41,    0
138616,19790912,    6,    0
138616,19790913,   10,    0
138616,19790914,    0,    0
138616,19790915,    0,    0
138616,19790916,   28,    0
138616,19790917,   55,    0
138616,19790918,    6,    0
138616,19790919,    0,    0
138616,19790920,   38,    0
138616,19790921,   12,    0
138616,19790922,    0,    0
138616,19790923,    4,    0
138616,19790924,   14,    0
138616,19790925,    6,    0
138616,19790926,   90,    0
138616,19790927,   24,    0
138616,19790928,    5,    0
138616,19790929,    0,    0
138616,19790930,    0,    0
138616,19791001,    0,    0
138616,19791002,    0,    0
138616,19791003,    0,    0
138616,19791004,    0,    0
138616,19791005,    0,    0
138616,19791006,    0,    0
138616,19791007,    0,    0
138616,19791008,    0,    0
138616,19791009,    0,    0
138616,19791010,    5,    0
138616,19791011,    0,    0
138616,19791012,    3,    0
138616,19791013,    0,    0
138616,19791014,    8,    0
138616,19791015,  101,    0
138616,19791016,   68,    0
138616,19791017,    8,    0
138616,19791018,   49,    0
138616,19791019,   39,    0
138616,19791020,    0,    0
138616,19791021,    0,    0
138616,19791022,    0,    0
138616,19791023,    0,    0
138616,19791024,    0,    0
138616,19791025,    0,    0
138616,19791026,    0,    0
138616,19791027,    0,    0
138616,19791028,    0,    0
138616,19791029,    0,    0
138616,19791030,    0,    0
138616,19791031,    5,    0
138616,19791101,    8,    0
138616,19791102,    0,    0
138616,19791103,   28,    0
138616,19791104,   40,    0
138616,19791105,    6,    0
138616,19791106,   48,    0
138616,19791107,    3,    0
138616,19791108,    0,    0
138616,19791109,   16,    0
138616,19791110,    3,    0
138616,19791111,   30,    0
138616,19791112,   48,    0
138616,19791113,   61,    0
138616,19791114,   16,    0
138616,19791115,    3,    0
138616,19791116,  192,    0
138616,19791117,   16,    0
138616,19791118,   34,    0
138616,19791119,  116,    0
138616,19791120,    0,    0
138616,19791121,    0,    0
138616,19791122,    0,    0
138616,19791123,   88,    0
138616,19791124,    4,    0
138616,19791125,   70,    0
138616,19791126,  117,    0
138616,19791127,    0,    0
138616,19791128,    8,    0
138616,19791129,    0,    0
