EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SVANEHOLM (STAID: 6252).
Blended and updated with sources: 138794 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138794,19790101,    0,    0
138794,19790102,    0,    0
138794,19790103,    0,    0
138794,19790104,    0,    0
138794,19790105,    0,    0
138794,19790106,   23,    0
138794,19790107,    0,    0
138794,19790108,   13,    0
138794,19790109,    0,    0
138794,19790110,    0,    0
138794,19790111,    0,    0
138794,19790112,   76,    0
138794,19790113,    7,    0
138794,19790114,    0,    0
138794,19790115,    0,    0
138794,19790116,    0,    0
138794,19790117,    0,    0
138794,19790118,    3,    0
138794,19790119,    6,    0
138794,19790120,    0,    0
138794,19790121,    6,    0
138794,19790122,    0,    0
138794,19790123,    9,    0
138794,19790124,   12,    0
138794,19790125,   41,    0
138794,19790126,   66,    0
138794,19790127,    5,    0
138794,19790128,    0,    0
138794,19790129,    3,    0
138794,19790130,    0,    0
138794,19790131,    0,    0
138794,19790201,   22,    0
138794,19790202,   18,    0
138794,19790203,   35,    0
138794,19790204,    0,    0
138794,19790205,    0,    0
138794,19790206,    0,    0
138794,19790207,    0,    0
138794,19790208,    0,    0
138794,19790209,    0,    0
138794,19790210,    0,    0
138794,19790211,    0,    0
138794,19790212,    0,    0
138794,19790213,    0,    0
138794,19790214,    0,    0
138794,19790215,    0,    0
138794,19790216,    0,    0
138794,19790217,    0,    0
138794,19790218,  132,    0
138794,19790219,   13,    0
138794,19790220,    0,    0
138794,19790221,    8,    0
138794,19790222,    0,    0
138794,19790223,    0,    0
138794,19790224,    0,    0
138794,19790225,    0,    0
138794,19790226,    0,    0
138794,19790227,    0,    0
138794,19790228,    2,    0
138794,19790301,    7,    0
138794,19790302,   28,    0
138794,19790303,   25,    0
138794,19790304,    0,    0
138794,19790305,    0,    0
138794,19790306,    0,    0
138794,19790307,   29,    0
138794,19790308,    3,    0
138794,19790309,  131,    0
138794,19790310,    0,    0
