EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, HOGBODA (STAID: 6325).
Blended and updated with sources: 139022 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139022,19790101,    0,    0
139022,19790102,    0,    0
139022,19790103,    0,    0
139022,19790104,    0,    0
139022,19790105,    9,    0
139022,19790106,   10,    0
139022,19790107,    0,    0
139022,19790108,    6,    0
139022,19790109,    0,    0
139022,19790110,    0,    0
139022,19790111,    0,    0
139022,19790112,  110,    0
139022,19790113,    9,    0
139022,19790114,    0,    0
139022,19790115,    0,    0
139022,19790116,    0,    0
139022,19790117,    0,    0
139022,19790118,    0,    0
139022,19790119,    0,    0
139022,19790120,    4,    0
139022,19790121,    5,    0
139022,19790122,    0,    0
139022,19790123,   12,    0
139022,19790124,    6,    0
139022,19790125,   30,    0
139022,19790126,   48,    0
139022,19790127,    0,    0
139022,19790128,    5,    0
139022,19790129,    2,    0
139022,19790130,    0,    0
139022,19790131,    0,    0
139022,19790201,   50,    0
139022,19790202,   29,    0
139022,19790203,   63,    0
139022,19790204,    0,    0
139022,19790205,    0,    0
139022,19790206,    0,    0
139022,19790207,    0,    0
139022,19790208,    0,    0
139022,19790209,    0,    0
139022,19790210,    0,    0
139022,19790211,    0,    0
139022,19790212,    0,    0
139022,19790213,    0,    0
139022,19790214,    0,    0
139022,19790215,    0,    0
139022,19790216,    0,    0
139022,19790217,    0,    0
139022,19790218,  120,    0
139022,19790219,   16,    0
139022,19790220,    0,    0
139022,19790221,    3,    0
139022,19790222,   12,    0
139022,19790223,    0,    0
139022,19790224,    0,    0
139022,19790225,    0,    0
139022,19790226,    0,    0
139022,19790227,    0,    0
139022,19790228,    0,    0
139022,19790301,    0,    0
139022,19790302,   10,    0
139022,19790303,   15,    0
139022,19790304,    0,    0
139022,19790305,    0,    0
139022,19790306,    0,    0
139022,19790307,   20,    0
139022,19790308,    0,    0
139022,19790309,  111,    0
139022,19790310,    3,    0
139022,19790311,    6,    0
139022,19790312,   51,    0
139022,19790313,    0,    0
139022,19790314,    0,    0
139022,19790315,    0,    0
139022,19790316,    0,    0
139022,19790317,    0,    0
139022,19790318,    0,    0
139022,19790319,    0,    0
139022,19790320,    0,    0
139022,19790321,    0,    0
139022,19790322,   70,    0
139022,19790323,   25,    0
139022,19790324,    0,    0
139022,19790325,  123,    0
139022,19790326,  145,    0
139022,19790327,   60,    0
139022,19790328,    2,    0
139022,19790329,    5,    0
139022,19790330,   20,    0
139022,19790331,    0,    0
139022,19790401,   63,    0
139022,19790402,   53,    0
139022,19790403,    4,    0
139022,19790404,   12,    0
139022,19790405,    0,    0
139022,19790406,    0,    0
139022,19790407,    0,    0
139022,19790408,    0,    0
139022,19790409,    0,    0
139022,19790410,    0,    0
139022,19790411,    0,    0
139022,19790412,    0,    0
139022,19790413,    0,    0
139022,19790414,    0,    0
139022,19790415,    0,    0
139022,19790416,   40,    0
139022,19790417,    0,    0
139022,19790418,    0,    0
139022,19790419,    0,    0
139022,19790420,   75,    0
139022,19790421,   33,    0
139022,19790422,   14,    0
139022,19790423,   13,    0
139022,19790424,  175,    0
139022,19790425,   54,    0
139022,19790426,   19,    0
139022,19790427,   13,    0
139022,19790428,    0,    0
139022,19790429,   14,    0
139022,19790430,  166,    0
139022,19790501,    3,    0
139022,19790502,  115,    0
139022,19790503,    0,    0
139022,19790504,    6,    0
139022,19790505,    5,    0
139022,19790506,    0,    0
139022,19790507,   17,    0
139022,19790508,   29,    0
139022,19790509,   46,    0
139022,19790510,    3,    0
139022,19790511,    0,    0
139022,19790512,    0,    0
139022,19790513,    0,    0
139022,19790514,    0,    0
139022,19790515,    6,    0
139022,19790516,    0,    0
139022,19790517,   22,    0
139022,19790518,    0,    0
139022,19790519,   42,    0
139022,19790520,    0,    0
139022,19790521,    0,    0
139022,19790522,   36,    0
139022,19790523,   83,    0
139022,19790524,   35,    0
139022,19790525,   96,    0
139022,19790526,    5,    0
139022,19790527,   76,    0
139022,19790528,  283,    0
139022,19790529,   24,    0
139022,19790530,    0,    0
139022,19790531,    0,    0
139022,19790601,    0,    0
139022,19790602,    0,    0
139022,19790603,    0,    0
139022,19790604,    0,    0
139022,19790605,    0,    0
139022,19790606,    0,    0
139022,19790607,    0,    0
139022,19790608,    0,    0
139022,19790609,   42,    0
