EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, DALA-JARNA (STAID: 6442).
Blended and updated with sources: 139400 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139400,19790101,    0,    0
139400,19790102,    6,    0
139400,19790103,    0,    0
139400,19790104,    3,    0
139400,19790105,    2,    0
139400,19790106,   17,    0
139400,19790107,    5,    0
139400,19790108,    4,    0
139400,19790109,    0,    0
139400,19790110,    0,    0
139400,19790111,    6,    0
139400,19790112,   67,    0
139400,19790113,   17,    0
139400,19790114,    0,    0
139400,19790115,    0,    0
139400,19790116,    0,    0
139400,19790117,    0,    0
139400,19790118,    0,    0
139400,19790119,    0,    0
139400,19790120,    0,    0
139400,19790121,    4,    0
139400,19790122,    2,    0
139400,19790123,   37,    0
139400,19790124,    8,    0
139400,19790125,   11,    0
139400,19790126,   40,    0
139400,19790127,    2,    0
139400,19790128,    7,    0
139400,19790129,    0,    0
139400,19790130,    0,    0
139400,19790131,   11,    0
139400,19790201,   35,    0
139400,19790202,    0,    0
139400,19790203,  100,    0
139400,19790204,    0,    0
139400,19790205,    0,    0
139400,19790206,    0,    0
139400,19790207,    0,    0
139400,19790208,    0,    0
139400,19790209,    0,    0
139400,19790210,    0,    0
139400,19790211,    0,    0
139400,19790212,    2,    0
139400,19790213,    0,    0
139400,19790214,    0,    0
139400,19790215,    0,    0
139400,19790216,    0,    0
139400,19790217,    0,    0
139400,19790218,    7,    0
139400,19790219,   30,    0
139400,19790220,    0,    0
139400,19790221,    0,    0
139400,19790222,   15,    0
139400,19790223,    3,    0
139400,19790224,    0,    0
139400,19790225,    0,    0
