EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, KINDSJON_D (STAID: 6452).
Blended and updated with sources: 139432 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139432,19790101,    6,    0
139432,19790102,    2,    0
139432,19790103,    0,    0
139432,19790104,    0,    0
139432,19790105,    6,    0
139432,19790106,   36,    0
139432,19790107,    1,    0
139432,19790108,    4,    0
139432,19790109,    0,    0
139432,19790110,    4,    0
139432,19790111,   19,    0
139432,19790112,   40,    0
139432,19790113,    9,    0
139432,19790114,    0,    0
139432,19790115,    0,    0
139432,19790116,    0,    0
139432,19790117,    0,    0
139432,19790118,    0,    0
139432,19790119,    0,    0
139432,19790120,    0,    0
139432,19790121,    5,    0
139432,19790122,    7,    0
139432,19790123,   32,    0
139432,19790124,    4,    0
139432,19790125,    3,    0
139432,19790126,   21,    0
139432,19790127,    4,    0
139432,19790128,    5,    0
139432,19790129,    3,    0
139432,19790130,    0,    0
139432,19790131,    9,    0
139432,19790201,   32,    0
139432,19790202,   24,    0
139432,19790203,   74,    0
139432,19790204,    0,    0
139432,19790205,    0,    0
139432,19790206,    0,    0
139432,19790207,   39,    0
139432,19790208,    0,    0
139432,19790209,    0,    0
139432,19790210,    0,    0
139432,19790211,    0,    0
139432,19790212,    0,    0
139432,19790213,    0,    0
139432,19790214,    0,    0
139432,19790215,    0,    0
139432,19790216,    0,    0
139432,19790217,    0,    0
139432,19790218,   16,    0
139432,19790219,    7,    0
139432,19790220,    0,    0
139432,19790221,    0,    0
139432,19790222,   10,    0
139432,19790223,    0,    0
139432,19790224,    0,    0
139432,19790225,    0,    0
139432,19790226,    0,    0
139432,19790227,    7,    0
139432,19790228,    6,    0
139432,19790301,    7,    0
139432,19790302,   42,    0
139432,19790303,    0,    0
139432,19790304,    0,    0
139432,19790305,    0,    0
139432,19790306,    0,    0
139432,19790307,  103,    0
139432,19790308,   14,    0
139432,19790309,  144,    0
139432,19790310,   32,    0
139432,19790311,    6,    0
139432,19790312,   31,    0
139432,19790313,    0,    0
139432,19790314,    0,    0
139432,19790315,    0,    0
139432,19790316,    0,    0
139432,19790317,    0,    0
139432,19790318,    0,    0
139432,19790319,    9,    0
139432,19790320,    6,    0
139432,19790321,    0,    0
139432,19790322,   42,    0
139432,19790323,    0,    0
139432,19790324,    0,    0
139432,19790325,   65,    0
139432,19790326,  143,    0
139432,19790327,   62,    0
139432,19790328,    4,    0
139432,19790329,    0,    0
139432,19790330,   13,    0
139432,19790331,    0,    0
139432,19790401,   54,    0
139432,19790402,   23,    0
139432,19790403,   14,    0
139432,19790404,    4,    0
139432,19790405,    0,    0
139432,19790406,    0,    0
139432,19790407,    0,    0
139432,19790408,    0,    0
139432,19790409,    0,    0
139432,19790410,    0,    0
139432,19790411,    0,    0
139432,19790412,    0,    0
139432,19790413,    9,    0
139432,19790414,    0,    0
139432,19790415,    0,    0
139432,19790416,    3,    0
139432,19790417,    0,    0
139432,19790418,    0,    0
139432,19790419,    0,    0
139432,19790420,   52,    0
139432,19790421,   15,    0
139432,19790422,   73,    0
139432,19790423,   18,    0
139432,19790424,  109,    0
139432,19790425,  142,    0
139432,19790426,   62,    0
139432,19790427,   16,    0
139432,19790428,    3,    0
139432,19790429,   49,    0
139432,19790430,   34,    0
139432,19790501,   31,    0
139432,19790502,   73,    0
139432,19790503,   36,    0
139432,19790504,    9,    0
139432,19790505,   26,    0
139432,19790506,    0,    0
139432,19790507,    9,    0
139432,19790508,    0,    0
139432,19790509,    4,    0
139432,19790510,    0,    0
139432,19790511,    0,    0
139432,19790512,    0,    0
139432,19790513,    0,    0
139432,19790514,    0,    0
139432,19790515,    0,    0
139432,19790516,    0,    0
139432,19790517,   23,    0
139432,19790518,    1,    0
139432,19790519,   29,    0
139432,19790520,    0,    0
139432,19790521,    8,    0
139432,19790522,   13,    0
139432,19790523,   61,    0
139432,19790524,   27,    0
139432,19790525,    1,    0
139432,19790526,    9,    0
139432,19790527,  254,    0
139432,19790528,   71,    0
139432,19790529,  123,    0
139432,19790530,    0,    0
139432,19790531,    0,    0
139432,19790601,    0,    0
139432,19790602,    0,    0
139432,19790603,    0,    0
139432,19790604,    0,    0
139432,19790605,    0,    0
139432,19790606,    0,    0
139432,19790607,    0,    0
139432,19790608,  137,    0
139432,19790609,    5,    0
139432,19790610,    0,    0
139432,19790611,    0,    0
139432,19790612,    0,    0
139432,19790613,   32,    0
139432,19790614,   19,    0
139432,19790615,    0,    0
139432,19790616,   18,    0
139432,19790617,    0,    0
139432,19790618,    2,    0
139432,19790619,   12,    0
139432,19790620,    0,    0
139432,19790621,    0,    0
