EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, ULVSJON (STAID: 6565).
Blended and updated with sources: 139780 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139780,19790101,    2,    0
139780,19790102,    2,    0
139780,19790103,    0,    0
139780,19790104,    0,    0
139780,19790105,   20,    0
139780,19790106,   10,    0
139780,19790107,   17,    0
139780,19790108,    0,    0
139780,19790109,    0,    0
139780,19790110,    0,    0
139780,19790111,    9,    0
139780,19790112,   70,    0
139780,19790113,   10,    0
139780,19790114,    0,    0
139780,19790115,    5,    0
139780,19790116,    0,    0
139780,19790117,    0,    0
139780,19790118,    0,    0
139780,19790119,    0,    0
139780,19790120,    5,    0
139780,19790121,    6,    0
139780,19790122,    0,    0
139780,19790123,   16,    0
139780,19790124,   36,    0
139780,19790125,    8,    0
139780,19790126,   25,    0
139780,19790127,   18,    0
139780,19790128,    0,    0
139780,19790129,    0,    0
139780,19790130,    0,    0
139780,19790131,   56,    0
139780,19790201,   28,    0
139780,19790202,    0,    0
139780,19790203,   14,    0
139780,19790204,    0,    0
139780,19790205,    0,    0
139780,19790206,    0,    0
139780,19790207,    1,    0
139780,19790208,    0,    0
139780,19790209,    4,    0
139780,19790210,    0,    0
139780,19790211,   19,    0
139780,19790212,   21,    0
139780,19790213,    0,    0
139780,19790214,    0,    0
139780,19790215,    0,    0
139780,19790216,    0,    0
139780,19790217,    0,    0
139780,19790218,    0,    0
139780,19790219,   19,    0
139780,19790220,    0,    0
139780,19790221,    0,    0
139780,19790222,    0,    0
139780,19790223,    0,    0
139780,19790224,    0,    0
139780,19790225,    0,    0
139780,19790226,    0,    0
139780,19790227,   24,    0
139780,19790228,    0,    0
139780,19790301,    0,    0
139780,19790302,   19,    0
139780,19790303,    0,    0
139780,19790304,    0,    0
139780,19790305,    0,    0
139780,19790306,    0,    0
139780,19790307,    0,    0
139780,19790308,    0,    0
139780,19790309,  190,    0
139780,19790310,   19,    0
