EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, PUOTTAURE (STAID: 6839).
Blended and updated with sources: 140682 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140682,19790101,    0,    0
140682,19790102,    0,    0
140682,19790103,    0,    0
140682,19790104,    0,    0
140682,19790105,    0,    0
140682,19790106,    9,    0
140682,19790107,   62,    0
140682,19790108,    7,    0
140682,19790109,    0,    0
140682,19790110,    8,    0
140682,19790111,    3,    0
140682,19790112,    9,    0
140682,19790113,   43,    0
140682,19790114,    0,    0
140682,19790115,   65,    0
140682,19790116,    9,    0
140682,19790117,   16,    0
140682,19790118,    0,    0
140682,19790119,    0,    0
140682,19790120,    0,    0
140682,19790121,    7,    0
140682,19790122,   27,    0
140682,19790123,   29,    0
140682,19790124,   15,    0
140682,19790125,   23,    0
140682,19790126,    6,    0
140682,19790127,    0,    0
140682,19790128,    0,    0
140682,19790129,    0,    0
140682,19790130,    2,    0
140682,19790131,    0,    0
140682,19790201,   51,    0
140682,19790202,   70,    0
140682,19790203,   10,    0
140682,19790204,   19,    0
140682,19790205,    9,    0
140682,19790206,   97,    0
140682,19790207,    8,    0
140682,19790208,    0,    0
140682,19790209,    5,    0
140682,19790210,    5,    0
140682,19790211,   10,    0
140682,19790212,    0,    0
140682,19790213,    0,    0
140682,19790214,    0,    0
140682,19790215,    0,    0
140682,19790216,    0,    0
140682,19790217,    0,    0
140682,19790218,    0,    0
140682,19790219,    7,    0
140682,19790220,    7,    0
140682,19790221,    0,    0
140682,19790222,    0,    0
140682,19790223,   23,    0
140682,19790224,   13,    0
140682,19790225,    0,    0
140682,19790226,    0,    0
140682,19790227,    0,    0
140682,19790228,   43,    0
140682,19790301,    0,    0
140682,19790302,    5,    0
140682,19790303,    9,    0
140682,19790304,    0,    0
140682,19790305,    3,    0
140682,19790306,    0,    0
140682,19790307,   37,    0
140682,19790308,    9,    0
140682,19790309,   23,    0
140682,19790310,   15,    0
140682,19790311,   31,    0
140682,19790312,   26,    0
140682,19790313,   21,    0
140682,19790314,   11,    0
140682,19790315,    0,    0
140682,19790316,    0,    0
140682,19790317,    0,    0
140682,19790318,    3,    0
140682,19790319,   17,    0
140682,19790320,    9,    0
140682,19790321,    7,    0
140682,19790322,   12,    0
140682,19790323,   20,    0
140682,19790324,   92,    0
140682,19790325,    6,    0
140682,19790326,   93,    0
140682,19790327,   39,    0
140682,19790328,    3,    0
140682,19790329,    0,    0
140682,19790330,    2,    0
140682,19790331,    6,    0
140682,19790401,    3,    0
140682,19790402,   22,    0
140682,19790403,    3,    0
140682,19790404,    0,    0
140682,19790405,    2,    0
140682,19790406,    0,    0
140682,19790407,    0,    0
140682,19790408,   15,    0
140682,19790409,    3,    0
140682,19790410,   28,    0
140682,19790411,   13,    0
140682,19790412,    5,    0
140682,19790413,    0,    0
140682,19790414,   12,    0
140682,19790415,    0,    0
140682,19790416,    0,    0
140682,19790417,    4,    0
140682,19790418,    3,    0
140682,19790419,    0,    0
140682,19790420,    0,    0
140682,19790421,    0,    0
140682,19790422,    0,    0
140682,19790423,    0,    0
140682,19790424,    0,    0
140682,19790425,   23,    0
140682,19790426,    0,    0
140682,19790427,   17,    0
140682,19790428,    3,    0
140682,19790429,   58,    0
140682,19790430,   65,    0
140682,19790501,   26,    0
140682,19790502,    0,    0
140682,19790503,   67,    0
140682,19790504,    3,    0
140682,19790505,    8,    0
140682,19790506,    0,    0
140682,19790507,    0,    0
140682,19790508,    0,    0
140682,19790509,    0,    0
140682,19790510,    0,    0
140682,19790511,    0,    0
140682,19790512,    0,    0
140682,19790513,   32,    0
140682,19790514,    0,    0
140682,19790515,    0,    0
140682,19790516,   28,    0
140682,19790517,  112,    0
140682,19790518,    0,    0
140682,19790519,    3,    0
140682,19790520,    0,    0
140682,19790521,    5,    0
140682,19790522,   54,    0
140682,19790523,    0,    0
140682,19790524,   70,    0
140682,19790525,   89,    0
140682,19790526,    0,    0
140682,19790527,   36,    0
140682,19790528,  154,    0
140682,19790529,    0,    0
140682,19790530,    0,    0
140682,19790531,    0,    0
140682,19790601,   21,    0
140682,19790602,    0,    0
140682,19790603,    0,    0
140682,19790604,    0,    0
140682,19790605,    0,    0
140682,19790606,    0,    0
140682,19790607,    5,    0
140682,19790608,    0,    0
140682,19790609,    0,    0
140682,19790610,    0,    0
140682,19790611,    0,    0
140682,19790612,    0,    0
140682,19790613,    0,    0
140682,19790614,   56,    0
140682,19790615,    7,    0
140682,19790616,    3,    0
140682,19790617,    0,    0
140682,19790618,    0,    0
140682,19790619,    0,    0
140682,19790620,    7,    0
140682,19790621,   32,    0
140682,19790622,    0,    0
140682,19790623,    0,    0
140682,19790624,    6,    0
140682,19790625,   15,    0
140682,19790626,   22,    0
140682,19790627,   18,    0
140682,19790628,   33,    0
140682,19790629,   70,    0
140682,19790630,    0,    0
140682,19790701,    5,    0
140682,19790702,    3,    0
140682,19790703,    0,    0
140682,19790704,    0,    0
140682,19790705,    2,    0
140682,19790706,    0,    0
140682,19790707,   15,    0
140682,19790708,    0,    0
140682,19790709,    0,    0
140682,19790710,    0,    0
140682,19790711,  123,    0
140682,19790712,   85,    0
140682,19790713,  453,    0
140682,19790714,   82,    0
140682,19790715,    0,    0
140682,19790716,    0,    0
140682,19790717,    0,    0
140682,19790718,    2,    0
140682,19790719,  172,    0
140682,19790720,   92,    0
140682,19790721,   25,    0
140682,19790722,   72,    0
140682,19790723,  102,    0
140682,19790724,   11,    0
140682,19790725,    0,    0
140682,19790726,    4,    0
140682,19790727,   13,    0
140682,19790728,    0,    0
140682,19790729,    0,    0
140682,19790730,    0,    0
140682,19790731,    6,    0
140682,19790801,  116,    0
140682,19790802,  304,    0
140682,19790803,  146,    0
140682,19790804,    7,    0
140682,19790805,   14,    0
140682,19790806,    0,    0
140682,19790807,    0,    0
140682,19790808,    0,    0
140682,19790809,    0,    0
140682,19790810,   19,    0
140682,19790811,   91,    0
140682,19790812,   12,    0
140682,19790813,   77,    0
140682,19790814,    0,    0
140682,19790815,   15,    0
140682,19790816,    0,    0
140682,19790817,    0,    0
140682,19790818,    0,    0
140682,19790819,    0,    0
140682,19790820,    0,    0
140682,19790821,    0,    0
140682,19790822,    5,    0
140682,19790823,    0,    0
140682,19790824,    2,    0
140682,19790825,    0,    0
