EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, TARENDO (STAID: 6885).
Blended and updated with sources: 140834 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140834,19790101,    0,    0
140834,19790102,    0,    0
140834,19790103,    0,    0
140834,19790104,    0,    0
140834,19790105,    0,    0
140834,19790106,   18,    0
140834,19790107,   40,    0
140834,19790108,   11,    0
140834,19790109,    0,    0
140834,19790110,    6,    0
140834,19790111,    3,    0
140834,19790112,   10,    0
140834,19790113,   52,    0
140834,19790114,    2,    0
140834,19790115,   38,    0
140834,19790116,   11,    0
140834,19790117,   24,    0
140834,19790118,    6,    0
140834,19790119,    0,    0
140834,19790120,    0,    0
140834,19790121,   20,    0
140834,19790122,   11,    0
140834,19790123,   38,    0
140834,19790124,    9,    0
140834,19790125,   16,    0
140834,19790126,    0,    0
140834,19790127,    0,    0
140834,19790128,    0,    0
140834,19790129,    0,    0
140834,19790130,    3,    0
140834,19790131,    0,    0
140834,19790201,   28,    0
140834,19790202,   40,    0
140834,19790203,   29,    0
140834,19790204,   28,    0
140834,19790205,    7,    0
140834,19790206,   60,    0
140834,19790207,   21,    0
140834,19790208,    8,    0
140834,19790209,    4,    0
140834,19790210,    0,    0
140834,19790211,    0,    0
140834,19790212,    0,    0
140834,19790213,    0,    0
140834,19790214,    0,    0
140834,19790215,    0,    0
140834,19790216,    0,    0
140834,19790217,    0,    0
140834,19790218,    0,    0
140834,19790219,    0,    0
140834,19790220,    2,    0
140834,19790221,    4,    0
140834,19790222,    0,    0
140834,19790223,   39,    0
140834,19790224,   13,    0
140834,19790225,   47,    0
140834,19790226,    0,    0
140834,19790227,    0,    0
140834,19790228,   44,    0
140834,19790301,    1,    0
140834,19790302,    3,    0
140834,19790303,   16,    0
140834,19790304,    0,    0
140834,19790305,    0,    0
140834,19790306,    0,    0
140834,19790307,   36,    0
140834,19790308,    8,    0
140834,19790309,   28,    0
140834,19790310,    2,    0
